"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"구 례 군 청",공공용,전라남도 구례군 구례읍 봉성로 1,,35.20190636,127.4639001,264,320,Y,주민비상대피,061-782-2014,구례군청,2020-12-16
KT구례지점,공공용,전라남도 구례군 구례읍 봉덕정길 11,,35.20709451,127.4631412,270,327,Y,주민비상대피,061-781-0007,구례군청,2020-12-16
"농협구례군지부",공공용,전라남도 구례군 구례읍 봉성로 65,,35.20814327,127.4642353,148,179,Y,주민비상대피,061-782-2052,구례군청,2020-12-16
"종합사회복지관",공공용,전라남도 구례군 구례읍 구례로 508,,35.20659086,127.4700147,894,1083,Y,주민비상대피,061-780-2186,구례군청,2020-12-16
"공 설 운 동 장",공공용,전라남도 구례군 구례읍 서시천로 106,,35.2166161,127.4668741,1000,1212,Y,주민비상대피,061-780-2194,구례군청,2020-12-16
"명 지 아 파 트",공공용,전라남도 구례군 구례읍 동편제길 42,,35.21559674,127.4595327,1567,1899,Y,주민비상대피,061-782-0587,구례군청,2020-12-16
"목 련 파 크",공공용,전라남도 구례군 구례읍 봉성로 16-7,,35.20391465,127.4652385,343,415,Y,주민비상대피,061-782-7836,구례군청,2020-12-16
"구 례 축 협",공공용,전라남도 구례군 구례읍 봉성로 48,,35.20654912,127.4647377,340,412,Y,주민비상대피,061-782-2603,구례군청,2020-12-16
"효 사 랑 병 원",공공용,전라남도 구례군 구례읍 봉동길 31,,35.20992443,127.4710215,471,570,Y,주민비상대피,061-782-7575,구례군청,2020-12-16
"동 방 빌 라",공공용,전라남도 구례군 구례읍 구례2길 44,,35.21021496,127.4634473,852,1032,Y,주민비상대피,061-782-0587,구례군청,2020-12-16
"지리산요양병원",공공용,전라남도 구례군 구례읍 구례로 28,,35.16665822,127.4551845,991,1200,Y,주민비상대피,061-902-0606,구례군청,2020-12-16
"송 원 마 트",공공용,전라남도 구례군 구례읍 구례1길 48,,35.20936654,127.4663083,1348,1633,Y,주민비상대피,061-782-5484,구례군청,2020-12-16
"섬지뜰아파트",공공용,전라남도 구례군 구례읍 구례2길 105,,35.21552237,127.4628705,1222,1480,Y,주민비상대피,061-783-8008,구례군청,2020-12-16
"산이고은아피트",공공용,전라남도 구례군 구례읍 수달생태로25-5,,35.20233025,127.4675599,1000,1212,Y,주민비상대피,061-782-8400,구례군청,2020-12-16
