"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"한국대나무박물관",공공용,전라남도 담양군 담양읍 죽향문화로 35,,35.30934385,126.9764073,2385,216,Y,전시장,061-380-3346,전라남도 담양군,2020-09-15
"농업기술센터",공공용,전라남도 담양군 담양읍 면앙정로 730,,35.31185272,126.9741809,199,240,Y,"식당, 전기실",061-380-3346,전라남도 담양군,2020-09-15
"문화회관",공공용,전라남도 담양군 담양읍 지침6길 29,,35.31642259,126.9855879,362,440,Y,연습실,061-380-3346,전라남도 담양군,2020-09-15
"담양군청",공공용,전라남도 담양군 담양읍 추성로 1371,,35.3206499973,126.9885731566,486,588,Y,식당,061-380-3346,전라남도 담양군,2020-09-15
"전남도립대학",공공용,전라남도 담양군 담양읍 죽녹원로 152,,35.3265254838,126.9925942582,1184,636,Y,창고,061-380-3346,전라남도 담양군,2020-09-15
"담양소방서",공공용,전라남도 담양군 담양읍 추성로 1232,,35.3181713,126.9730808675,324,392,Y,창고,061-380-3346,전라남도 담양군,2020-09-15
"담양보건소",공공용,전라남도 담양군 담양읍 완동길 10-11,,35.3250431,126.9812927,125,152,Y,사무실,061-380-3346,전라남도 담양군,2020-09-15
"한국농촌공사담양지사",공공용,전라남도 담양군 담양읍 삼거리길 12-27,,35.31020653,126.9822745,363,440,Y,사무실,061-380-3346,전라남도 담양군,2020-09-15
"산림조합",공공용,전라남도 담양군 담양읍 삼거리길 12-21,,35.31015252,126.9827826,194,236,Y,창고,061-380-3346,전라남도 담양군,2020-09-15
"광주중앙신협백동지점",공공용,전라남도 담양군 담양읍 삼거리길 8-10,,35.3102728,126.9818792,551,668,Y,뷔페식당,061-380-3346,전라남도 담양군,2020-09-15
"축협백동지소",공공용,전라남도 담양군 담양읍 삼거리길 4,,35.31088788,126.9818653,505,612,Y,피로연식당,061-380-3346,전라남도 담양군,2020-09-15
"담양전화국K T",공공용,전라남도 담양군 담양읍 추성로 1372,,35.3197144,126.9884925,438,528,Y,기계실,061-380-3346,전라남도 담양군,2020-09-15
"담양경찰서",공공용,전라남도 담양군 담양읍 무정로 15,,35.3099330945,126.9824522320,109,132,Y,구내식당 및 기계실,061-380-3346,전라남도 담양군,2020-09-15
"한전담양지사",공공용,전라남도 담양군 담양읍 무정로 25,,35.3093763,126.9840633,106,128,Y,구내식당,061-380-3346,전라남도 담양군,2020-09-15
"청전A 102동",공공용,전라남도 담양군 담양읍 미리산길 2,,35.30845127,126.9864444,916,1108,Y,창고,061-380-3346,전라남도 담양군,2020-09-15
"청전A 101동",공공용,전라남도 담양군 담양읍 미리산길 2,,35.30845127,126.9864444,785,948,Y,창고,061-380-3346,전라남도 담양군,2020-09-15
"비둘기아파트",공공용,전라남도 담양군 담양읍 지침6길 43,,35.3172231,126.9866347,341,412,Y,창고,061-380-3346,전라남도 담양군,2020-09-15
"레인보우아파트",공공용,전라남도 담양군 담양읍 미리산길 67,,35.3138685,126.9859465,1122,1360,Y,지하실,061-380-3346,전라남도 담양군,2020-09-15
"담양종합체육관",공공용,전라남도 담양군 담양읍 죽녹원로 134,,35.32503613,126.9891208,3449,4180,Y,기계실,061-380-3346,전라남도 담양군,2020-09-15
"주공아파트",공공용,전라남도 담양군 담양읍 미리산길 34,,35.3108092,126.9867168,396,480,Y,지하실,061-380-3346,전라남도 담양군,2020-09-15
