"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"목포카톨릭회관 지하",공공용,"전라남도 목포시 영산로 325(용당동,목포카톨릭회관)",,34.806018,126.4010729436,417,344,N,,061-270-3363,전라남도 목포시청,2020-10-08
"초원용해빌라",공공용,"전라남도 목포시 산정로238번길 56(용당동,초원용해빌라)",,34.810106,126.3943898628,278,229,Y,,061-270-3363,전라남도 목포시청,2020-10-08
"목포시청 민방위비상대피시설",공공용,"전라남도 목포시 양을로 203(용당동,목포시청)",,34.8115341357,126.3912845125,804,663,Y,,061-270-3363,전라남도 목포시청,2020-10-08
"거성파크 2차 지하",공공용,"전라남도 목포시 산정로238번길 35(용당동,거성파크2차)",,34.809911,126.392241,387,319,N,,061-270-3363,전라남도 목포시청,2020-10-08
"용당유통프라자",공공용,"전라남도 목포시 산정로128번길 33(용당동,용당유통프리자)",,34.801722,126.395983,692,571,Y,,061-270-3363,전라남도 목포시청,2020-10-08
"목포시립도서관",공공용,전라남도 목포시 용당로 160번길 32,,34.8034727433,126.4030673907,1285,1060,Y,,061-270-3363,전라남도 목포시청,2020-10-08
"종원나이스빌 101동 지하",공공용,"전라남도 목포시 양을로 121(산정동,종원나이스빌)",,34.8072370301,126.3842650189,1587,1309,N,,061-270-3363,전라남도 목포시청,2020-10-08
"종원나이스빌 102동 지하",공공용,"전라남도 목포시 양을로 121(산정동,종원나이스빌)",,34.8072370301,126.3842650189,886,731,N,,061-270-3363,전라남도 목포시청,2020-10-08
"종원나이스빌 103동 지하",공공용,"전라남도 목포시 양을로 121(산정동,종원나이스빌)",,34.8072370301,126.3842650189,1230,1015,N,,061-270-3363,전라남도 목포시청,2020-10-08
"종원나이스빌 104동 지하",공공용,"전라남도 목포시 양을로 121(산정동,종원나이스빌)",,34.8072370301,126.3842650189,1114,919,N,,061-270-3363,전라남도 목포시청,2020-10-08
