"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"일로역 지하인도",공공용,전라남도 무안군 삼향읍 국사로 5-11,,34.8484027207,126.4777285598,350,150,Y,기타,061-450-4230,무안군 삼향읍사무소,2020-07-10
"일로제일교회",공공용,전라남도 무안군 일로읍 일로중앙로 19-10,,34.8503785904,126.4904829643,389,100,Y,교육장,061-450-4220,무안군 일로읍사무소,2020-07-10
"근화비올레",공공용,전라남도 무안군 삼향읍 남악5로 22번길 10,,34.8072700147,126.4710026236,23688,19542,Y,지하주차장,061-450-4230,무안군 삼향읍사무소,2020-07-10
"세영리첼",공공용,전라남도 무안군 삼향읍 남악4로 34번길 31,,34.8095078378,126.4698866914,13224,10909,Y,지하주차장,061-450-4230,무안군 삼향읍사무소,2020-07-10
"남악모아엘가",공공용,전라남도 무안군 삼향읍 남악4로 34번길 8,,34.8082703059,126.4672236355,18037,14880,Y,지하주차장,061-450-4230,무안군 삼향읍사무소,2020-07-10
"근화베아채스위트",공공용,전라남도 무안군 삼향읍 남악5로 22번길 20,,34.8070411171,126.4730936279,19965,16471,Y,지하주차장,061-450-4230,무안군 삼향읍사무소,2020-07-10
"제일풍경채 리버파크 아파트",공공용,전라남도 무안군 삼향읍 남악5로 72번길 81-30,,34.8104148038,126.4803727356,16057,13240,Y,지하주차장,061-450-4230,무안군 삼향읍사무소,2020-07-10
"남악 골드디움",공공용,전라남도 무안군 삼향읍 남악5로 72번길 81-21,,34.8106300113,126.4792653654,10217,8420,Y,지하주차장,061-450-4230,무안군 삼향읍사무소,2020-07-10
"남악 리젠시빌",공공용,전라남도 무안군 삼향읍 남악4로 60번길 14,,34.8106713618,126.4679863299,4459,3670,Y,지하주차장,061-450-4230,무안군 삼향읍사무소,2020-07-10
"농협중앙회 전남본부",공공용,전라남도 무안군 삼향읍 후광대로 264,,34.8138989521,126.4607477647,1064,870,Y,지하주차장,061-450-4230,무안군 삼향읍사무소,2020-07-10
