"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"푸르지오아파트",공공용,전라남도 목포시 남악1로 51 (옥암동 옥암 푸르지오),전라남도 목포시 옥암동 1174번지,34.8094620,126.4446820,1209,2532,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"옥암주공아파트",공공용,전라남도 목포시 당가두로38번길 11 (옥암동 주공아파트),전라남도 목포시 옥암동 1150번지,34.8102880,126.4394430,1556,5120,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"용해포미주공1단지아파트(2)",공공용,전라남도 목포시 포미로 23 (용해동 포미타운주공1단지),전라남도 목포시 용해동 973번지,34.8179530,126.3960380,1644,1992,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"용해포미주공1단지아파트(1)",공공용,전라남도 목포시 포미로 23 (용해동 포미타운주공1단지),전라남도 목포시 용해동 973번지,34.8179530,126.3960380,4393,5324,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"제일2차아파트(지하1층)",공공용,전라남도 목포시 신흥로 113 (옥암동),전라남도 목포시 옥암동 984번지,34.8072120,126.4315780,2413,2920,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"제일2차아파트(지하2층)",공공용,전라남도 목포시 신흥로 113 (옥암동),전라남도 목포시 옥암동 984번지,34.8072120,126.4315780,2711,3280,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"제일3차아파트(지하1층)",공공용,전라남도 목포시 하당로289번길 6 (옥암동 제일3차풍경채아파트),전라남도 목포시 옥암동 916번지 3호,34.8123980,126.4275890,2473,2992,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"제일3차아파트(지하2층)",공공용,전라남도 목포시 하당로289번길 6 (옥암동 제일3차풍경채아파트),전라남도 목포시 옥암동 916번지 3호,34.8123980,126.4275890,2929,3544,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"용해포미주공3단지아파트",공공용,전라남도 목포시 관해로5번길 29 (용해동 포미타운주공3단지),전라남도 목포시 용해동 1032번지,34.8190190,126.3996030,1454,1199,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"신안비치팔레스1차아파트",공공용,전라남도 목포시 청호로 206 (산정동 신안비치팔레스),전라남도 목포시 산정동 1152번지,34.8084820,126.3710970,2714,2239,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"신안비치팔레스2차아파트",공공용,전라남도 목포시 청호로220번길 5 (산정동 신안비치팔레스2차아파트),전라남도 목포시 산정동 1112번지 11호,34.8095660,126.3699280,711,5413,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"연산주공5단지아파트",공공용,전라남도 목포시 원산중앙로 109-1 (연산동 연산주공5단지아파트),전라남도 목포시 연산동 1261번지,34.8140300,126.3815130,2171,2632,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
"목포시청",공공용,전라남도 목포시 양을로 203 (용당동),전라남도 목포시 용당동 1188번지 2호,34.8115360,126.3912770,804,973,Y,교육장,061-270-3267,전라남도 목포시청,2019-06-11
KT목포지사하당분국,공공용,전라남도 목포시 통일대로119번길 81 (옥암동 전화국),전라남도 목포시 옥암동 980번지,34.8083660,126.4322990,1927,2332,Y,지하주차장,061-270-3267,전라남도 목포시청,2019-06-11
