"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"삼성생명",공공용,"전라남도 순천시 중앙로 101 (행동, 삼성생명빌딩)",전라남도 순천시 행동 79번지 2호,34.9547227178,127.4836310418,1758,2130,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"중흥1차아파트",공공용,"전라남도 순천시 장선배기길 105 (조례동, 중흥1차아파트)",전라남도 순천시 조례동 1630번지,34.9517340664,127.5311355831,1652.9,2000,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"부영5차아파트",공공용,"전라남도 순천시 장선배기길 77 (조례동, 부영5차아파트)",전라남도 순천시 조례동 1612번지,34.9534714188,127.5303635726,2809.93,3400,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"동신1차아파트",공공용,"전라남도 순천시 장선배기길 55 (조례동, 동신1차아파트)",전라남도 순천시 조례동 1610번지,34.9547293419,127.5296287353,3305.8,4000,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"중흥2차아파트",공공용,"전라남도 순천시 장선배기길 63 (조례동, 중흥2차아파트)",전라남도 순천시 조례동 1611번지,34.9539376173,127.5302382647,2214.89,2680,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"대주아파트",공공용,"전라남도 순천시 지봉로 485 (조례동, 대주아파트)",전라남도 순천시 조례동 1608번지,34.9562171271,127.5289317009,3305.8,4000,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"장천동사무소",공공용,"전라남도 순천시 중앙로 22 (장천동, 장천동주민자치센터)",전라남도 순천시 장천동 83번지 8호,34.9485069921,127.4867659781,213.23,216,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"부영8차아파트",공공용,"전라남도 순천시 조례못등길 13 (조례동, 부영8차아파트)",전라남도 순천시 조례동 1609번지,34.9547491240,127.5270079881,2644.64,3200,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"송촌프라임",공공용,"전라남도 순천시 왕궁길 95 (조례동, 왕지송촌프라임아파트)",전라남도 순천시 조례동 1800번지,34.9591344172,127.5333870844,3305.8,4000,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"제일대승주캠퍼스",공공용,전라남도 순천시 승주읍 승평길 21 (순천제일대학승주캠퍼스),전라남도 순천시 승주읍 55번지,35.0200825738,127.3748191917,165.29,200,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"동원빌라",공공용,"전라남도 순천시 서문로 51-11 (옥천동, 동원빌라아트)",전라남도 순천시 옥천동 187번지 1호,34.9507716274,127.4774294275,691.14,837,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"청호빌라",공공용,"전라남도 순천시 옥천길 211 (옥천동, 대림청호빌라)",전라남도 순천시 옥천동 189번지 1호,34.9511711215,127.4770617117,683.22,828,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
KT북순천지점,공공용,"전라남도 순천시 중앙로 260 (석현동, KT북순천지점)",전라남도 순천시 석현동 87번지,34.9692620131,127.4842698945,1553.73,1880,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
"순천경찰서",공공용,전라남도 순천시 조비길 2 (석현동),전라남도 순천시 석현동 425번지,34.9720871382,127.4816104456,429.75,520,Y,기타,061-749-5667,전라남도 순천시청,2020-07-01
