"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"광림교회",공공용,전라남도 여수시 오림3길 12 (오림동),전라남도 여수시 오림동 399-9,34.7577059962,127.7139427915,992,1202,Y,종교시설,061-659-3142,여수시청,2021-07-01
"동서볼링장",공공용,전라남도 여수시 장군산길 67 (오림동),전라남도 여수시 오림동 408-21,34.7560834677,127.7164933520,436,529,Y,상가시설,061-659-3142,여수시청,2021-07-01
"럭키광무아파트",공공용,전라남도 여수시 좌수영로 191 (광무동),전라남도 여수시 광무동 915-3,34.7552696040,127.7233988202,1037,1257,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"삼익멘션",공공용,"전라남도 여수시 오림3길 12-12 (오림동, 삼익맨션)",전라남도 여수시 오림동 399-13,34.7576320096,127.7129551411,106,128,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"상공회의소",공공용,"전라남도 여수시 좌수영로 55 (광무동, 여수상공회의소)",전라남도 여수시 광무동 119-3,34.7453131933,127.7280209443,132,160,Y,상가시설,061-659-3142,여수시청,2021-07-01
"시민회관",공공용,"전라남도 여수시 좌수영로 69 (광무동, 시민회관)",전라남도 여수시 광무동 42-4,34.7470923758,127.7279290972,331,401,Y,기타,061-659-3142,여수시청,2021-07-01
"시외버스터미널",공공용,"전라남도 여수시 좌수영로 268 (오림동, 여수버스터미널)",전라남도 여수시 오림동 390,34.7582999491,127.7164708868,100,121,Y,상가시설,061-659-3142,여수시청,2021-07-01
"알리안츠생명",공공용,"전라남도 여수시 좌수영로 67 (광무동, 국민건강보험공단여수지사)",전라남도 여수시 광무동 42-18,34.7464725771,127.7282305239,221,268,Y,상가시설,061-659-3142,여수시청,2021-07-01
"오림동 부영아파트 305동",공공용,"전라남도 여수시 장군산길 42 (오림동, 부영아파트3단지)",전라남도 여수시 오림동 409-2,34.7560315161,127.7152106953,100,121,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"오림동 부영아파트 310동",공공용,"전라남도 여수시 장군산길 42 (오림동, 부영아파트3단지)",전라남도 여수시 오림동 409-2,34.7560315161,127.7152106953,100,121,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"오림동 준성에버빌",공공용,"전라남도 여수시 진남체육관길 41 (오림동, 준성에버빌)",전라남도 여수시 오림동 353,34.7607822288,127.7200431801,1172,1421,Y,아파트 지하주차장,061-659-3142,여수시청,2021-07-01
"전남병원",공공용,"전라남도 여수시 좌수영로 49 (광무동, 여수전남병원)",전라남도 여수시 광무동 175-1,34.7451209708,127.7281943095,942,1142,Y,의료시설,061-659-3142,여수시청,2021-07-01
"전남병원 장례식장",공공용,"전라남도 여수시 광무1길 28-6 (광무동, 전남병원장례식장)",전라남도 여수시 광무동 175,34.7454530015,127.7278547628,539,653,Y,의료시설,061-659-3142,여수시청,2021-07-01
"진남지하도",공공용,전라남도 여수시 좌수영로 129 (광무동),전라남도 여수시 광무동 24,34.7518883373,127.7274615975,106,128,Y,기타,061-659-3142,여수시청,2021-07-01
"국동 경남아파트 101동",공공용,"전라남도 여수시 구봉길 29 (국동, 경남아파트)",전라남도 여수시 국동 1104,34.7299293718,127.7116154066,123,149,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"국동 구봉아파트 101동",공공용,"전라남도 여수시 구봉길 41 (국동, 국동시영아파트)",전라남도 여수시 국동 1103,34.7292305779,127.7108485294,297,360,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"국동 귀인아파트 501동",공공용,"전라남도 여수시 구봉길 43 (국동, 귀인아파트)",전라남도 여수시 국동 1107,34.7312083725,127.7116915525,581,704,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"국동 대주아파트 101동",공공용,"전라남도 여수시 신월로 686 (국동, 대주아파트)",전라남도 여수시 국동 543,34.7316759087,127.7188175872,364,441,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"국동 라인아파트 101동",공공용,"전라남도 여수시 구봉길 79 (국동, 국동라인1차아파트)",전라남도 여수시 국동 857,34.7346242262,127.7130317587,951,1153,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"국동 서희스타힐스아파트 101동",공공용,"전라남도 여수시 신월로 655 (국동, 서희스타힐스)",전라남도 여수시 국동 438,34.7303579130,127.7148301594,8467,10263,Y,아파트 지하주차장,061-659-3142,여수시청,2021-07-01
"국동 중앙아파트 1동",공공용,"전라남도 여수시 구봉산길 52 (국동, 국동중앙아파트)",전라남도 여수시 국동 800,34.7375933541,127.7160410658,793,961,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"국동라인1차아파트 지하주차장",공공용,"전라남도 여수시 구봉길 79(국동, 라인아파트)",전라남도 여수시 국동 857,34.7346242262,127.7130317587,950,1056,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"무지개아파트",공공용,"전라남도 여수시 남산로 54 (남산동, 무지개아파트)",전라남도 여수시 남산동 379-1,34.7353140710,127.7322202399,307,372,Y,아파트 지하공간,061-659-3142,여수시청,2021-07-01
"사랑재활용양병원",공공용,"전라남도 여수시 봉산남3길 9 (봉산동, 병원)",전라남도 여수시 봉산동 267-40,34.7342148337,127.7207925131,891,1080,Y,의료시설,061-659-3142,여수시청,2021-07-01
"여수남산초등학교",공공용,"전라남도 여수시 남산북10길 8 (남산동, 남산초등학교)",전라남도 여수시 남산동 765,34.7373076315,127.7299172723,299,362,Y,교육시설,061-659-3142,여수시청,2021-07-01
"영락교회",공공용,"전라남도 여수시 봉산새철3길 2 (봉산동, 영락교회)",전라남도 여수시 봉산동 484-1,34.7373455062,127.7241460262,455,552,Y,종교시설,061-659-3142,여수시청,2021-07-01
"돌산청솔아파트 101동",공공용,전라남도 여수시 돌산읍 강남8길 20 (청솔1차아파트),전라남도 여수시 돌산읍 우두리 1046-1,34.7185546939,127.7477505579,527,639,Y,아파트 지하주차장,061-659-3142,여수시청,2021-07-01
"돌산청솔아파트 102동",공공용,전라남도 여수시 돌산읍 강남8길 20 (청솔1차아파트),전라남도 여수시 돌산읍 우두리 1046-1,34.7185546939,127.7477505579,527,639,Y,아파트 지하주차장,061-659-3142,여수시청,2021-07-01
"돌산청솔아파트 103동",공공용,전라남도 여수시 돌산읍 강남8길 20 (청솔1차아파트),전라남도 여수시 돌산읍 우두리 1046-1,34.7185546939,127.7477505579,527,639,Y,아파트 지하주차장,061-659-3142,여수시청,2021-07-01
"돌산청솔아파트 104동",공공용,전라남도 여수시 돌산읍 강남8길 20 (청솔1차아파트),전라남도 여수시 돌산읍 우두리 1046-1,34.7185546939,127.7477505579,527,639,Y,아파트 지하주차장,061-659-3142,여수시청,2021-07-01
"돌산청솔아파트 105동",공공용,전라남도 여수시 돌산읍 강남8길 20 (청솔1차아파트),전라남도 여수시 돌산읍 우두리 1046-1,34.7185546939,127.7477505579,409,496,Y,아파트 지하주차장,061-659-3142,여수시청,2021-07-01
"돌산청솔아파트 106동",공공용,전라남도 여수시 돌산읍 강남8길 20 (청솔1차아파트),전라남도 여수시 돌산읍 우두리 1046-1,34.7185546939,127.7477505579,409,496,Y,아파트 지하주차장,061-659-3142,여수시청,2021-07-01
