"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"근형퍼스트빌아파트",공공용,전라남도 영광군 영광읍 중앙로 97 (근형퍼스트빌아파트),,35.268020,126.510181,1122,1360,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"한전영광지점",공공용,전라남도 영광군 영광읍 천년로 1464,,35.273165,126.503660,742,900,Y,기타,061-350-5732,전라남도 영광군청,2020-09-16
"영광군청",공공용,전라남도 영광군 영광읍 중앙로 203,,35.276895,126.512347,214,260,Y,기타,061-350-5732,전라남도 영광군청,2020-09-16
"영광경찰서",공공용,전라남도 영광군 영광읍 중앙로 211 (영광경찰서),,35.278158,126.512482,422,512,Y,교육장,061-350-5732,전라남도 영광군청,2020-09-16
"영광군청 신관",공공용,전라남도 영광군 영광읍 중앙로 203,,35.276895,126.512347,445,540,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"영광교육청",공공용,전라남도 영광군 영광읍 중앙로 204,,35.277047,126.513069,191,232,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"영광우체국",공공용,전라남도 영광군 영광읍 중앙로 200 (영광우체국),,35.276604,126.512729,382,464,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
KT영광지점,공공용,전라남도 영광군 영광읍 물무로2길 3 (KT),,35.277874,126.506706,382,464,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"정주새마을금고",공공용,전라남도 영광군 영광읍 물무로 84,,35.276773,126.509248,320,388,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"영진파크맨션",공공용,전라남도 영광군 영광읍 대하길4길 21 (영진파크맨션),,35.276242,126.498760,1633,1979,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"장산타워맨션",공공용,전라남도 영광군 영광읍 신남로 246-6 (장산타워맨션),,35.274171,126.508632,749,908,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"영진근로복지아파트",공공용,전라남도 영광군 영광읍 옥당로 94 (영진근로복지아파트),,35.272128,126.504761,437,529,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"영광스포티움",공공용,전라남도 영광군 영광읍 월현로 170,,35.289134,126.494083,1387,1681,Y,체육관,061-350-5732,전라남도 영광군청,2020-09-16
"도동휴먼시아아파트 102동",공공용,전라남도 영광군 영광읍 물무로 227 (도동휴먼시아),,35.270248,126.515014,1898,2301,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"도동휴먼시아아파트 104동",공공용,전라남도 영광군 영광읍 물무로 227 (도동휴먼시아),,35.270248,126.515014,1898,2301,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"한국수력원자력아파트 사택 118동",공공용,전라남도 영광군 홍농읍 홍농로 546 (한수원사원아파트),,35.402850,126.451840,8788,10652,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"모두원아파트",공공용,전라남도 영광군 영광읍 천년로 1440-26 (모두원웰리스),,35.270964,126.502737,3328,4034,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"숲안애 2차",공공용,전라남도 영광군 영광읍 천년로13길 2-14 (숲안애2차아파트),,35.272530,126.505018,5008,6070,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"영광기독병원",공공용,전라남도 영광군 영광읍 신남로 265,,35.274946,126.510917,312,378,Y,교육장,061-350-5732,전라남도 영광군청,2020-09-16
"리치웨딩홀",공공용,전라남도 영광군 영광읍 물무로 154,,35.276155,126.516843,660,800,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"신풍e팰리스",공공용,전라남도 영광군 영광읍 중앙로 155-1 (영광신풍E-팰리스),,35.272818,126.511665,503,610,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"한전문화회관",공공용,전라남도 영광군 영광읍 천년로 1464,,35.273165,126.503660,990,1200,Y,교육장,061-350-5732,전라남도 영광군청,2020-09-16
"영광종합병원",공공용,전라남도 영광군 영광읍 와룡로 3,,35.284106,126.498042,825,1000,Y,기타,061-350-5732,전라남도 영광군청,2020-09-16
"한국수력원자력아파트 사택 124동",공공용,전라남도 영광군 홍농읍 홍농로 546,,35.402850,126.451840,914,1107,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"옥당마을아파트",공공용,전라남도 영광군 영광읍 백산길 43 (옥당마을),,35.280552,126.502122,3129,3792,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
"숲안애아파트 5차",공공용,전라남도 영광군 영광읍 물무로 7,,35.278536,126.500788,2872,3481,Y,주차장,061-350-5732,전라남도 영광군청,2020-09-16
