"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"영암군청",정부지원,전라남도 영암군 영암읍 군청로 1,전라남도 영암군 영암읍 동무리 158,34.800133,126.696889,171.9,120,Y,주차장,061-470-2137,영암군청,2020-07-13
"농협 영암군지부",공공용,전라남도 영암군 영암읍 중앙로 43,전라남도 영암군 영암읍 동무리 144-1,34.800242,126.6976928369,119.01,144,Y,창고,061-470-1419,농협 영암군지부,2020-07-13
"한국농촌공사 영암지사",정부지원,전라남도 영암군 영암읍 교동로 59,전라남도 영암군 영암읍 교동리 369-1,34.796892,126.691581,115.7,80,Y,휴게실,061-470-5524,한국농촌공사 영암지사,2020-07-13
KT 영암지점,공공용,전라남도 영암군 영암읍 서남역로 2,전라남도 영암군 영암읍 서남리 51-2,34.7981040053,126.6949776401,935.54,1134,Y,주차장,061-472-4499,KT 영암지점,2020-07-13
"영암군청(별관)",정부지원,전라남도 영암군 영암읍 군청로 1,전라남도 영암군 영암읍 동무리 158,34.800133,126.696889,568.6,397,Y,식당,061-470-2137,영암군청(별관),2020-07-13
"무등파크맨션",공공용,전라남도 영암군 영암읍 성밖로 18,전라남도 영암군 영암읍 교동리 45,34.7959225832,126.6964149527,763.64,925,Y,창고,061-473-9874,무등파크맨션,2020-07-13
"영암우체국",정부지원,전라남도 영암군 영암읍 남문로 13,전라남도 영암군 영암읍 서남리 28-2,34.7979311487,126.6979549203,267.77,187,Y,주차장,061-470-5132,영암우체국,2020-07-13
"영암교육지원청",정부지원,전라남도 영암군 영암읍 월출로 84,전라남도 영암군 영암읍 망호리 753,34.801912,126.686371,171.9,119,Y,휴게실,061-470-4156,영암교육지원청,2020-07-13
"보건소",정부지원,전라남도 영암군 영암읍 오리정길 39,전라남도 영암군 영암읍 춘양리 525,34.7953394140,126.7033413951,436.37,304,Y,주차장,061-470-6525,보건소,2020-07-13
"삼호2차 임대아파트",공공용,전라남도 영암군 삼호읍 신항로 63-7,전라남도 영암군 삼호읍 용당리 2179-1,34.7443184186,126.3805126752,3054.56,2135,Y,주차장,061-461-0077,삼호2차 임대아파트,2020-07-13
"삼호3차 임대아파트",공공용,전라남도 영암군 삼호읍 신항로 123-7,전라남도 영암군 삼호읍 용당리 2177-1,34.7479929846,126.3756582834,6872.76,4805,Y,주차장,061-461-1023,삼호3차 임대아파트,2020-07-13
"종원아파트",공공용,전라남도 영암군 삼호읍 세가래1길 17,전라남도 영암군 삼호읍 용앙리 222-9,34.747704,126.4732825433,1993.4,1393,Y,주차장,061-462-8556,종원아파트,2020-07-13
"영암 소방서",정부지원,전라남도 영암군 삼호읍 나불로 192,전라남도 영암군 삼호읍 나불리 338-3,34.7667236619,126.4392869463,168.6,117,Y,식당,061-460-0751,영암 소방서,2020-07-13
"퀸스빌 아파트 201동",공공용,전라남도 영암군 삼호읍 삼호중앙로 129,전라남도 영암군 삼호읍 용앙리 390-1,34.7455555233,126.4642150736,2637,3196,Y,주차장,061-464-0477,퀸스빌 아파트 201동,2020-07-13
"퀸스빌 아파트 203동",공공용,전라남도 영암군 삼호읍 삼호중앙로 129,전라남도 영암군 삼호읍 용앙리 390-1,34.7455555233,126.4642150736,2637,3196,Y,주차장,061-464-0477,퀸스빌 아파트 203동,2020-07-13
"현대삼호중공업㈜",공공용,전라남도 영암군 삼호읍 대불로 93,전라남도 영암군 삼호읍 용당리 2172-5,34.7384450675,126.3872509124,1000,1212,N,주차장,061-460-2212,현대삼호중공업㈜,2020-07-13
"현대삼호중공업㈜",공공용,전라남도 영암군 삼호읍 대불로 93,전라남도 영암군 삼호읍 용당리 2172-5,34.7384450675,126.3872509124,725,879,N,주차장,061-460-2212,현대삼호중공업㈜,2020-07-13
"현대삼호중공업㈜",공공용,전라남도 영암군 삼호읍 대불로 93,전라남도 영암군 삼호읍 용당리 2172-5,34.7384450675,126.3872509124,188,228,N,주차장,061-460-2212,현대삼호중공업㈜,2020-07-13
"현대삼호중공업㈜",공공용,전라남도 영암군 삼호읍 대불로 93,전라남도 영암군 삼호읍 용당리 2172-5,34.7384450675,126.3872509124,615,745,N,주차장,061-460-2212,현대삼호중공업㈜,2020-07-13
"현대삼호중공업㈜",공공용,전라남도 영암군 삼호읍 대불로 93,전라남도 영암군 삼호읍 용당리 2172-5,34.7384450675,126.3872509124,470,570,N,주차장,061-460-2212,현대삼호중공업㈜,2020-07-13
"현대삼호중공업㈜",공공용,전라남도 영암군 삼호읍 대불로 93,전라남도 영암군 삼호읍 용당리 2172-5,34.7384450675,126.3872509124,389,472,N,주차장,061-460-2212,현대삼호중공업㈜,2020-07-13
