"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"장성군청",공공용,전라남도 장성군 장성읍 영천로 200,전라남도 장성군 장성읍 영천리 1061-2,35.3019123132,126.7848767321,1833,2221,Y,,,장성군청,2021-03-09
"장성군보건소",공공용,전라남도 장성군 장성읍 청운11길 13,전라남도 장성군 장성읍 영천리 1475-4,35.3045411419,126.7824534712,263,318,Y,,,장성군청,2021-03-09
"장성군문화시설사업소",공공용,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.3022676587,126.7678846351,2606,3158,Y,,,장성군청,2021-03-09
"장성경찰서",공공용,전라남도 장성군 장성읍 영천로 164,전라남도 장성군 장성읍 영천리 1022-2,35.2997110840,126.7819655977,438,530,Y,,,장성경찰서,2021-03-09
"광주은행 장성지점",공공용,전라남도 장성군 장성읍 영천로 168,전라남도 장성군 장성읍 영천리 1019-2,35.3002920056,126.782519,474,574,Y,,,광주은행,2021-03-09
"농협중앙회장성군지부",공공용,전라남도 장성군 장성읍 영천로 144,전라남도 장성군 장성읍 영천리 944-2,35.2985514231,126.781574,413,500,Y,,,농협은행,2021-03-09
"영천휴먼시아아파트",공공용,전라남도 장성군 장성읍 문화로 21-34,전라남도 장성군 장성읍 영천리 1660,35.2975946148,126.775974,1226,1486,Y,,,LH공사,2021-03-09
"부강아파트",공공용,전라남도 장성군 장성읍 오동촌길 16,전라남도 장성군 장성읍 영천리 845-1,35.3038027503,126.7912398645,304,368,Y,,,부강아파트관리사무소,2021-03-09
"장성공립전문요양병원",공공용,전라남도 장성군 장성읍 강변안길 100,전라남도 장성군 장성읍 기산리 489-5,35.3023174556,126.7774499329,425,515,Y,,,공립요양병원,2021-03-09
"삼호센트럴타워",공공용,전라남도 장성군 장성읍 영천로 183,전라남도 장성군 장성읍 영천리 1054-1,35.3017600386,126.783465,1810,2190,Y,,,삼호센트럴타워,2021-03-09
"부강아파트2차",공공용,전라남도 장성군 장성읍 수산길 14,전라남도 장성군 장성읍 유탕리 1422,35.3221430885,126.799521,887,1075,Y,,,부강아파트관리사무소,2021-03-09
"금광아파트",공공용,전라남도 장성군 삼계면 사창로 64-72,,35.2630395503,126.6716598635,1260,1527,Y,,,금강아파트,2021-03-09
"상무아파트100동",공공용,전라남도 장성군 삼계면 능성로 548,,35.2605998055,126.6771537633,660,800,Y,,,상무아파트,2021-03-09
"상무아파트200동",공공용,전라남도 장성군 삼계면 능성로 548,,35.2605998055,126.6771537633,660,800,Y,,,상무아파트,2021-03-09
"상무아파트독신자숙소",공공용,전라남도 장성군 삼계면 능성로 548,,35.2605998055,126.6771537633,660,800,Y,,,상무아파트,2021-03-09
"장성 청담웰피아",공공용,전라남도 장성군 장성읍 역전로 191,전라남도 장성군 장성읍 영천리 1662,35.3055508394,126.7856453502,2948,3573,Y,,,장성 청담웰피아,2021-03-09
"해광 샹그릴라",공공용,,전라남도 장성군 장성읍 영천리 1663,35.2938154664,126.7751378084,3805,4612,Y,,,해광 샹그릴라,2021-03-09
