"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"문화예술회관",공공용,전라남도 장흥군 장흥읍 읍성로 96,전라남도 장흥군 장흥읍 남동리 60,34.6766446,126.8982642,2085,2523,Y,기계실,061-862-6071,문화예술회관,2021-07-13
"장흥지원",공공용,전라남도 장흥군 장흥읍 읍성로 121-1,전라남도 장흥군 장흥읍 남동리 88,34.67848087,126.8963378,152,60,Y,보일러실,061-860-1500,장흥지원,2021-07-13
"장흥지청",공공용,전라남도 장흥군 장흥읍 읍성로 121-1,,34.67848087,126.8963378,130,60,Y,보일러실,061-860-4200,장흥지청,2021-07-13
"장흥군청",공공용,전라남도 장흥군 장흥읍 장흥로 21,,34.68216335,126.9065384,175,212,Y,구내식당,061-863-7071,장흥군청,2021-07-13
"장흥종합병원",공공용,전라남도 장흥군 장흥읍 흥성로 74,전라남도 장흥군 장흥읍 건산리 383-5,34.6770898,126.9108913,645,780,Y,"구내식당,보일러실",061-862-8300,장흥종합병원,2021-07-13
"우리병원",공공용,전라남도 장흥군 장흥읍 흥성로 83,전라남도 장흥군 장흥읍 건산리 402-1,34.67838076,126.9111794,364,440,Y,"구내식당,보일러실",061-862-6262,우리병원,2021-07-13
"군민회관",공공용,전라남도 장흥군 장흥읍 흥성로 55,전라남도 장흥군 장흥읍 건산리 379-1,34.6766454,126.9087722,116,140,Y,체육관(지하),061-860-0447,군민회관,2021-07-13
"농협군지부",공공용,전라남도 장흥군 장흥읍 장흥로 17,전라남도 장흥군 장흥읍 건산리 715-4,34.6810745,126.9066532,460,556,Y,지하주차장,061-862-7811,농협군지부,2021-07-13
"미래1차아파트",공공용,전라남도 장흥군 장흥읍 건산로1길 16,전라남도 장흥군 장흥읍 건산리 473-1,34.6797894,126.9101202,737,892,Y,지하주차장,061-862-8700,미래1차아파트,2021-07-13
"공공도서관",공공용,전라남도 장흥군 장흥읍 중앙로2길 33,전라남도 장흥군 장흥읍 원도리 304-3,34.6814189,126.9104251,86,104,Y,"보일러실,창고",061-862-3555,공공도서관,2021-07-13
"미래2차아파트",공공용,전라남도 장흥군 장흥읍 동교로 43,전라남도 장흥군 장흥읍 건산리 685-4,34.68412674,126.9043515,274,332,Y,지하주차장,061-862-8255,미래2차아파트,2021-07-13
"우체국",공공용,전라남도 장흥군 장흥읍 장흥로 15,전라남도 장흥군 장흥읍 건산리 715-8,34.68094808,126.9063894,172,208,Y,"창고,보일러실",061-860-2100,우체국,2021-07-13
"신동현아파트",공공용,전라남도 장흥군 장흥읍 동교로 57-12,전라남도 장흥군 장흥읍 건산리 687-1,34.6855508,126.903418,1000,1208,Y,창고,061-863-6171,신동현아파트,2021-07-13
"미래3차아파트",공공용,전라남도 장흥군 장흥읍 동부로 67-5,전라남도 장흥군 장흥읍 건산리 129,34.67896396,126.9148612,949,1148,Y,주차장,061-862-9536,미래3차아파트,2021-07-13
"계명아파트",공공용,전라남도 장흥군 장흥읍 장흥대로 3492,전라남도 장흥군 장흥읍 건산리 767,34.67534809,126.9059656,1923,2328,Y,주차장,061-863-2879,계명아파트,2021-07-13
"교육청",공공용,전라남도 장흥군 장흥읍 동교로 64-17,전라남도 장흥군 장흥읍 건산리 611-4,34.6864566,126.9050451,225,272,Y,"인쇄실,보일러실",061-860-1245,교육청,2021-07-13
"유림회관",공공용,전라남도 장흥군 장흥읍 흥성로 17,전라남도 장흥군 장흥읍 건산리 211-14,34.6740791,126.9061719,295,356,Y,식당,,유림회관,2021-07-13
"제일선교원",공공용,전라남도 장흥군 장흥읍 동부로 31-16,,34.6810961,126.9120568,372,448,Y,예배실,061-863-7484,제일선교원,2021-07-13
"진송관광호텔",공공용,전라남도 장흥군 장흥읍 동교2길 1,전라남도 장흥군 장흥읍 건산리 743-1,34.67775684,126.9061331,738,892,Y,주차장,061-864-7775,진송관광호텔,2021-07-13
"성은연립",공공용,전라남도 장흥군 장흥읍 우드랜드길 136,전라남도 장흥군 장흥읍 우산리 16-1,34.67169792,126.9312001,834,1008,Y,주차장,,성은연립,2021-07-13
"장흥종합병원",공공용,전라남도 장흥군 장흥읍 흥성로 74,,34.6770898,126.9108913,334,404,Y,장례식장,061-684-4444,장흥종합병원,2021-07-13
"솔뫼타운102동",공공용,전라남도 장흥군 장흥읍 건산남부길 31,전라남도 장흥군 장흥읍 건산리 413,34.67807593,126.9134218,345,417,Y,지하대피소,061-863-4799,솔뫼타운102동,2021-07-13
"솔뫼타운101동",공공용,전라남도 장흥군 장흥읍 건산남부길 31,전라남도 장흥군 장흥읍 건산리 413,34.67807593,126.9134218,343,417,Y,지하대피소,061-863-4799,솔뫼타운101동,2021-07-13
"수창아파트",공공용,전라남도 장흥군 장흥읍 북부로 39,전라남도 장흥군 장흥읍 건산리 670,34.68533312,126.9069888,1986,2400,Y,주차장,061-864-4479,수창아파트,2021-07-13
"청소년수련관",공공용,전라남도 장흥군 장흥읍 흥성로 37-23,전라남도 장흥군 장흥읍 건산리 761-2,34.67517912,126.9066161,181,219,Y,체육관,061-863-0250,청소년수련관,2021-07-13
"유치면사무소",공공용,전라남도 장흥군 유치면 유치로 22,전라남도 장흥군 유치면 원등리 76,34.80223354,126.8385178,161,60,Y,휴게실,061-860-0608,유치면사무소,2021-07-13
"종합사회복지관",공공용,전라남도 장흥군 장흥읍 흥성로 37-24,전라남도 장흥군 장흥읍 건산리 761,34.67551116,126.9070702,438,530,Y,기계실,061-864-4804,종합사회복지관,2021-07-13
