"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"진도우체국",공공용,전라남도 진도군 진도읍 남동1길 63,전라남도 진도군 진도읍 487번지,34.48103996,126.2650156,332,402,Y,진도우체국,061-544-2001,진도우체국,2021-01-26
"지산면사무소",공공용,전라남도 진도군 지산면 지산민속로 9,전라남도 진도군 지산면 341번지 1호,34.42586922,126.1672597,86,104,Y,지산면사무소,061-540-6751,지산면,2021-01-26
"향토문화회관",공공용,전라남도 진도군 진도읍 진도대로 7187,전라남도 진도군 진도읍 1189번지,34.47881463,126.2692611,542,656,Y,향토문화회관,061-540-6251,시설관리사업소,2021-01-26
KT진도지점,공공용,전라남도 진도군 진도읍 교동5길 10,전라남도 진도군 진도읍 466번지 1호,34.48490918,126.2618289,577,699,Y,KT진도지점,061-540-6866,진도군,2021-01-26
"서진도농협",공공용,전라남도 진도군 임회면 십일시길 48,전라남도 진도군 임회면 351번지 2호,34.4086174,126.1929242,529,641,Y,서진도농협,061-540-6866,진도군,2021-01-26
"(구)옥주신협",공공용,전라남도 진도군 진도읍 쌍정2길 39,전라남도 진도군 진도읍 23번지 1호,34.48316163,126.2651002,251,304,Y,(구)옥주신협,061-540-6866,진도군,2021-01-26
"교직원사택",공공용,전라남도 진도군 진도읍 남동2길 12,전라남도 진도군 진도읍 596번지 7호,34.48230811,126.2615627,192,232,Y,교직원사택,061-540-6866,진도군,2021-01-26
"농협중앙회",공공용,전라남도 진도군 진도읍 철마길 16,전라남도 진도군 진도읍 35번지 4호,34.48525447,126.2645869,192,232,Y,농협중앙회,061-540-6866,진도군,2021-01-26
"진도청년회의소",공공용,전라남도 진도군 진도읍 서문길 8-21,전라남도 진도군 진도읍 46번지 1호,34.48516204,126.2635034,172,208,Y,진도청년회의소,061-540-6866,진도군,2021-01-26
"진도중앙교회",공공용,전라남도 진도군 진도읍 서문길 8-6,전라남도 진도군 진도읍 47번지 9호,34.484875,126.2627977,499,604,Y,진도중앙교회,061-540-6866,진도군,2021-01-26
"진도농협",공공용,전라남도 진도군 진도읍 교동3길 41,전라남도 진도군 진도읍 489번지 1호,34.48425164,126.2615698,165,200,Y,진도농협,061-540-6866,진도군,2021-01-26
"옥주맨션",공공용,전라남도 진도군 진도읍 동외3길 16,전라남도 진도군 진도읍 783번지 3호,34.48294431,126.2690094,145,175,Y,옥주맨션,061-540-6866,진도군,2021-01-26
"계명아파트",공공용,전라남도 진도군 진도읍 쌍정2길 12-7,전라남도 진도군 진도읍 117번지,34.48204721,126.2666943,152,184,Y,계명아파트,061-540-6866,진도군,2021-01-26
"청와아파트",공공용,전라남도 진도군 진도읍 동외3길 21,전라남도 진도군 진도읍 712번지,34.48323363,126.2699225,350,424,Y,청와아파트,061-540-6866,진도군,2021-01-26
"전남병원",공공용,전라남도 진도군 진도읍 남문길 12-11,전라남도 진도군 진도읍 778번지 15호,34.47927346,126.2651119,439,532,Y,전남병원,061-540-6866,진도군,2021-01-26
"현대빌라트",공공용,전라남도 진도군 진도읍 동외3길 26,전라남도 진도군 진도읍 799번지,34.48283555,126.2702233,249,301,Y,현대빌라트,061-540-6866,진도군,2021-01-26
"진도군청",공공용,전라남도 진도군 진도읍 철마길 25,전라남도 진도군 진도읍 64번지 1호,34.48683211,126.2635764,1408,1706,Y,진도군청,061-540-6866,진도군,2021-01-26
"서울웨딩홀",공공용,전라남도 진도군 진도읍 동외1길 6-4,전라남도 진도군 진도읍 1185번지 1호,34.48086119,126.2686637,561,680,Y,서울웨딩홀,061-540-6866,진도군,2021-01-26
"대일아파트",공공용,전라남도 진도군 진도읍 교동2길 20,전라남도 진도군 진도읍 570번지 1호,34.48389612,126.2569762,525,636,Y,대일아파트,061-540-6866,진도군,2021-01-26
"세림아름누리",공공용,전라남도 진도군 진도읍 남산2길 36,전라남도 진도군 진도읍 131번지 5호,34.47472003,126.2628646,99,120,Y,세림아름누리,061-540-6866,진도군,2021-01-26
"진도읍사무소",공공용,전라남도 진도군 진도읍 남동1길 46,전라남도 진도군 진도읍 776번지 1호,34.48078119,126.2629108,66,80,Y,진도읍사무소,061-540-6501,진도읍,2021-01-26
"다우아르미안아파트",공공용,전라남도 진도군 진도읍 쌍정1길 6-45,전라남도 진도군 진도읍 1023번지,34.47915301,126.2664592,774,938,Y,다우아르미안아파트,061-540-6866,진도군,2021-01-26
"쏠비치호텔리조트진도",공공용,전라남도 진도군 의신면 송군길 30-40,전라남도 진도군 의신면 287번지 6호,34.40076037,126.326314,617,747,Y,쏠비치호텔리조트진도,061-540-6866,진도군,2021-01-26
