"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"함평군민회관",공공용,전라남도 함평군 함평읍 남일길 52 (함평군민복지회관),전라남도 함평군 함평읍 154번지 1호,35.06471485,126.5149919,236,288,Y,,061-320-1992,전라남도 함평군,2020-09-22
"농협군지부",공공용,전라남도 함평군 함평읍 중앙길 128 (농협중앙회함평군지부),전라남도 함평군 함평읍 919번지,35.065028,126.520771,597,724,Y,,061-320-1992,전라남도 함평군,2020-09-22
"보건소",공공용,전라남도 함평군 함평읍 중앙길 54-8 (함평보건소),전라남도 함평군 함평읍 253번지,35.06189599,126.5242477,124,152,Y,,061-320-1992,전라남도 함평군,2020-09-22
"한국수자원공사 함평수도관리단",공공용,전라남도 함평군 함평읍 기산길 176 (한국수자원공사함평수도서비스센터),전라남도 함평군 함평읍 569번지,35.07269284,126.5211239,86,104,Y,,061-320-1992,전라남도 함평군,2020-09-22
KT함평빌딩,공공용,전라남도 함평군 함평읍 중앙길 64 (KT함평지점),전라남도 함평군 함평읍 994번지 1호,35.06292941,126.5229876,252,304,Y,,061-320-1992,전라남도 함평군,2020-09-22
"성심병원",공공용,전라남도 함평군 함평읍 영수길 132 (함평성심병원),전라남도 함평군 함평읍 198번지 3호,35.0623140352,126.5201499908,413,500,Y,,061-320-1992,전라남도 함평군,2020-09-22
"함평우체국",공공용,전라남도 함평군 함평읍 광남길 66 (함평우체국),전라남도 함평군 함평읍 145번지,35.06353477,126.519256,272,328,Y,,061-320-1992,전라남도 함평군,2020-09-22
"전남유리",공공용,전라남도 함평군 함평읍 중앙길 21,전라남도 함평군 함평읍 179번지 10호,35.0611012955,126.5234542,198,240,Y,,061-320-1992,전라남도 함평군,2020-09-22
"함평군청",공공용,전라남도 함평군 함평읍 중앙길 200 (함평군청),전라남도 함평군 함평읍 123번지 1호,35.0658483478,126.5162188133,330,400,Y,,061-320-1992,전라남도 함평군,2020-09-22
"엑스포공원 주제영상관",공공용,"전라남도 함평군 함평읍 곤재로 27 (함평엑스포공원,사업소)",전라남도 함평군 함평읍 1153번지 1호,35.0581392332,126.5226055585,670,812,Y,,061-320-1992,전라남도 함평군,2020-09-22
"농어촌공사함평지사",공공용,전라남도 함평군 함평읍 기산길 29-10 (한국농어촌공사함평지사),전라남도 함평군 함평읍 17번지,35.067049,126.516211,134,162,Y,,061-320-1992,전라남도 함평군,2020-09-22
"라뷔랑아파트 101동 지하",공공용,전라남도 함평군 함평읍 내대화길 112-11 (함평거송라뷔랑아파트),전라남도 함평군 함평읍 305번지,35.0620245,126.5157246,615,750,Y,,061-320-1992,전라남도 함평군,2020-09-22
"주공아파트 104동 지하",공공용,전라남도 함평군 함평읍 교광길 13-8 (함평내교주공아파트),전라남도 함평군 함평읍 855번지,35.06206765,126.5177541320,545,660,Y,,061-320-1992,전라남도 함평군,2020-09-22
"주공아파트 101동 지하",공공용,전라남도 함평군 함평읍 교광길 13-8 (함평내교주공아파트),전라남도 함평군 함평읍 855번지,35.062081,126.5177541320,545,660,Y,,061-320-1992,전라남도 함평군,2020-09-22
"주공아파트 102동 지하",공공용,전라남도 함평군 함평읍 교광길 13-8 (함평내교주공아파트),전라남도 함평군 함평읍 855번지,35.062025,126.5177541320,545,660,Y,,061-320-1992,전라남도 함평군,2020-09-22
"주공아파트 103동 지하",공공용,"전라남도 함평군 함평읍 교광길 13-8, 103동 (함평내교주공아파트)",전라남도 함평군 함평읍 855번지,35.06206765,126.5177541320,545,660,Y,,061-320-1992,전라남도 함평군,2020-09-22
"라뷔랑아파트 102동 지하",공공용,전라남도 함평군 함평읍 내대화길 112-11 (함평거송라뷔랑아파트),전라남도 함평군 함평읍 305번지,35.0620245,126.5157246,410,500,Y,,061-320-1992,전라남도 함평군,2020-09-22
