"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"금영 아파트",공공용,전라남도 해남군 해남읍 동초길 69 (금영아파트),전라남도 해남군 해남읍 해리 337,34.56711037,126.604034,1117,1352,Y,기타,061-530-5834,해남군청 안전도시과,2021-03-12
"백두 아파트",공공용,전라남도 해남군 해남읍 북부순환로 6 (백두임대아파트),전라남도 해남군 해남읍 해리 159-1,34.57142202,126.6099604,1395,5580,Y,주차장,061-530-5834,해남군청 안전도시과,2021-03-12
"명지 아파트",공공용,전라남도 해남군 해남읍 교육청길 26 (명지아파트),전라남도 해남군 해남읍 해리 684,34.56913124,126.608203,1190,1440,Y,주차장,061-530-5834,해남군청 안전도시과,2021-03-12
"신명 아파트",공공용,전라남도 해남군 해남읍 남동천길 100 (신명아파트),전라남도 해남군 해남읍 남외리 98,34.56934535,126.5923789,730,884,Y,기타,061-530-5834,해남군청 안전도시과,2021-03-12
"해남군청",공공용,전라남도 해남군 해남읍 군청길 4 (해남군청),전라남도 해남군 해남읍 성내리 4-2,34.57315324,126.5989754,1705,6820,Y,기타,061-530-5834,해남군청 안전도시과,2021-03-12
"주공2차",공공용,전라남도 해남군 해남읍 구교3길 26 (구교2주공아파트),전라남도 해남군 해남읍 구교리 918,34.57893761,126.592125,1400,1697,Y,지하주차장,061-530-5834,해남군청 안전도시과,2021-03-12
"공간 아파트",공공용,전라남도 해남군 해남읍 구교2길 42 (공간아파트),전라남도 해남군 해남읍 구교리 81-9,34.57878332,126.5934336,1200,1455,Y,지하주차장,061-530-5834,해남군청 안전도시과,2021-03-12
"백두 3차",공공용,전라남도 해남군 해남읍 교육청길 23 (백두3차아파트),전라남도 해남군 해남읍 해리 214,34.56974881,126.6096359,2100,2545,Y,지하주차장,061-530-5834,해남군청 안전도시과,2021-03-12
"다우아르미안아파트",공공용,전라남도 해남군 해남읍 동초길 15 (다우아르미안),전라남도 해남군 해남읍 해리 503,34.57252962,126.6050417,930,1127,Y,기타,061-530-5834,해남군청 안전도시과,2021-03-12
"해남문화예술회관",공공용,전라남도 해남군 해남읍 군청길 4 (해남군청),전라남도 해남군 해남읍 성내리 4,34.57323755,126.5999449,7000,8485,Y,체육관,061-530-5834,해남군청 안전도시과,2021-03-12
KT 해남지사,공공용,전라남도 해남군 해남읍 중앙1로 21 (한국통신),전라남도 해남군 해남읍 해리 409-2,34.57064337,126.6060927,1477,1790,Y,주차장,061-530-5834,해남군청 안전도시과,2021-03-12
"하늘연가",공공용,전라남도 해남군 해남읍 구교3길 37 (하늘연가아파트),전라남도 해남군 해남읍 구교리 552,34.58036251,126.5901606,3300,4000,Y,지하주차장,061-530-5834,해남군청 안전도시과,2021-03-12
