"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"화순군청 구내식당",공공용,전라남도 화순군 화순읍 동헌길 23,전라남도 화순군 화순읍 훈리 35,35.06455885,126.9861688215,214,259,Y,식당,061-379-3791,전라남도 화순군청,2020-12-18
"화순군민회관",공공용,전라남도 화순군 화순읍 진각로 85,전라남도 화순군 화순읍 광덕리 88,35.05831397,126.9851617,132,160,Y,회의실,061-379-3791,전라남도 화순군청,2020-12-18
"화순읍사무소",공공용,전라남도 화순군 화순읍 중앙로 20-4,전라남도 화순군 화순읍 삼천리 623,35.06012746,126.984544,132,160,Y,행사장,061-379-3791,전라남도 화순군청,2020-12-18
"화순군청 의회동 지하주차장",공공용,전라남도 화순군 화순읍 동헌길 23,전라남도 화순군 화순읍 훈리 35,35.06455885,126.9861688215,1049.69,1272,Y,주차장,061-379-3791,전라남도 화순군청,2020-12-18
"하니움 문화스포츠센터 지하2층",공공용,전라남도 화순군 화순읍 학포로 2698,전라남도 화순군 화순읍 대리 501,35.0501240781,126.9686132573,2924,3544,Y,회의장,061-379-3791,전라남도 화순군청,2020-12-18
"광덕택지지구 지하공영주차장",공공용,전라남도 화순군 화순읍 만연로 40,전라남도 화순군 화순읍 만연리 219,35.05980717,126.9903269,4635.54,5618,Y,주차장,061-379-3791,전라남도 화순군청,2020-12-18
"부영2차지하주차장",정부지원,전라남도 화순군 화순읍 광덕로 155,전라남도 화순군 화순읍 광덕리 300,35.05880488,126.9908312,2437.05,2954,Y,주차장,061-379-3791,전라남도 화순군청,2020-12-18
"부영3차지하주차장",정부지원,전라남도 화순군 화순읍 광덕로 180,전라남도 화순군 화순읍 만연리 243,35.06084574,126.9929972,8304.33,10065,Y,주차장,061-379-3791,전라남도 화순군청,2020-12-18
"부영5차지하주차장",정부지원,전라남도 화순군 화순읍 광덕로 202,전라남도 화순군 화순읍 만연리 244,35.06223746,126.9930585,6104.76,7399,Y,주차장,061-379-3791,전라남도 화순군청,2020-12-18
"부영6차지하주차장",정부지원,전라남도 화순군 화순읍 광덕로 215,전라남도 화순군 화순읍 신기리 405-3,35.06475395,126.9908043,7836,9498,Y,주차장,061-379-3791,전라남도 화순군청,2020-12-18
"금호아파트지하주차장",정부지원,전라남도 화순군 화순읍 광덕로 203,전라남도 화순군 화순읍 만연리 237-1,35.06230581,126.9907651,5600,6787,Y,주차장,061-379-3791,전라남도 화순군청,2020-12-18
