"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"고창중앙교회(지하 집회실)",공공용,"전북 고창군 고창읍 고인돌대로 1792, 고창중앙교회",고창읍 읍내리 687,35.4352816,126.7057121,330,400,N,기타,063-561-3056,전라북도 고창군청,2020-11-30
"동방호텔(지하식당)",공공용,"전라북도 고창군 고창읍 중거리당산로 42, 동방호텔",덕산리 189-5,35.42456713,126.6942507,633,768,Y,기타,000-000-0000,전라북도 고창군청,2020-11-30
"유정요양병원(지하 물리치료실)",공공용,"전북 고창군 고창읍 보릿골로 8, 유정요양병원",덕산리 192-21,35.439823,126.6936248,743,900,Y,기타,063-561-3355,전라북도 고창군청,2020-11-30
"고창부안축협(지하 주차장)",공공용,전북 고창군 고창읍 중앙로 214,고창읍 읍내리 863-48,35.43580629,126.7020847,198,240,Y,지하주차장,063-560-3000,전라북도 고창군청,2020-11-30
"고창신용협동조합(지하 주차장)",공공용,전북 고창군 고창읍 동리로 46,고창읍 읍내리 576-5,35.43647437,126.6938797,330,400,Y,지하주차장,063-561-4400,전라북도 고창군청,2020-11-30
"고창병원(지하 물리치료실)",공공용,전북 고창군 고창읍 화신1길 9,고창읍 읍내리 663,35.43891078,126.7111395,1760,2128,Y,지하주차장,063-560-5600,전라북도 고창군청,2020-11-30
"고창성북교회(지하 집회실 )",공공용,"전북 고창군 고창읍 중앙로 273, 고창성북교회",고창읍 교촌리 81-1,35.43872828,126.7102062,1386,1680,N,기타,063-561-3010,전라북도 고창군청,2020-11-30
"성산현대아파트(지하 주차장)",공공용,"전북 고창군 고창읍 보릿골로 195, 성산현대아파트",고창읍 석교리 10-8,35.43237116,126.7220256,1843,2500,Y,지하주차장,063-561-1866,전라북도 고창군청,2020-11-30
"성산아파트(지하 주차장)",공공용,"전북 고창군 고창읍 동리로 172-14, 성산아파트",고창읍 읍내리 56-2,35.44222719,126.6934218,2821,3412,Y,지하주차장,063-564-0577,전라북도 고창군청,2020-11-30
"선운프라자아파트(103동)",공공용,"전북 고창군 고창읍 보릿골로 191, 선운프라자아파트",고창읍 석교리 10-3,35.42912211,126.6991669,1646,1992,Y,지하주차장,063-564-8998,전라북도 고창군청,2020-11-30
"고창군청(지하식당)",공공용,전북 고창군 고창읍 중앙로 245,고창읍 교촌리 275-3,35.43059933,126.7090857,2320,2808,Y,기타,063-560-2661,전라북도 고창군청,2020-11-30
"청소년수련관(수영장)",공공용,전북 고창군 고창읍 운동장길 36,고창읍 월암리 316,35.44122802,126.6989457,1185,1432,Y,체육관,063-560-8934,전라북도 고창군청,2020-11-30
"제일아파트(102동 지하 주차장)",공공용,"전북 고창군 고창읍 월곡로 83, 온천마을제일아파트",고창읍 월곡리 586,35.43879076,126.6931749,1312,1590,Y,주차장,063-561-5056,전라북도 고창군청,2020-11-30
"상원모양맨션(지하 주차장)",공공용,전북 고창군 고창읍 중거리당산로 108 상원모양맨션,고창읍 읍내리 410-9,35.43388719,126.6944313,1141,1380,Y,지하주차장,063-564-8823,전라북도 고창군청,2020-11-30
"월곡주공아파트(102동앞 지하 주차장)",공공용,"전북 고창군 고창읍 월곡1길 43, 월곡주공아파트",고창읍 월곡리 585,35.44226626,126.6946112,2083,2520,Y,주차장,063-561-0397,전라북도 고창군청,2020-11-30
"휴먼시아아파트(102동앞 지하주차장)",공공용,"전북 고창군 고창읍 성산로 19, 고창읍내 휴먼시아",고창읍 읍내리 1222,35.43289194,126.6972147,354,420,Y,지하주차장,063-562-2230,전라북도 고창군청,2020-11-30
"진흥하이츠2차(지하 주차장)",공공용,"전북 고창군 고창읍 모양성로 108, 진흥하이츠2차아파트",고창읍 교촌리 224-3,35.43496213,126.6989646,388,470,Y,지하주차장,063-561-1802,전라북도 고창군청,2020-11-30
"다솜가(지하 주차장)",공공용,"전북 고창군 고창읍 소반2길 15, 다솜가연립주택",고창읍 교촌리 231,35.42615897,126.6950067,389,472,Y,지하주차장,000-000-0000,전라북도 고창군청,2020-11-30
"아르미안아파트(지하 주차장)",공공용,"전북 고창군 고창읍 천변남로 12, 아르미안아파트",고창읍 읍내리 609,35.43905752,126.6974515,1182,1430,Y,지하주차장,063-561-1938,전라북도 고창군청,2020-11-30
