"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"옥구읍사무소",공공용,전라북도 군산시 옥구읍 옥구로 6,전라북도 군산시 옥구읍 선제리 98-11,35.922887,126.685392,653,791,Y,지하창고,063-454-3833,전라북도 군산시청,2020-12-07
"대광 로제비앙 아파트",공공용,전라북도 군산시 월명로 55,전라북도 군산시 옥산면 당북리 1048,35.949046,126.714138,6628,8033,Y,지하주차장,063-454-3833,전라북도 군산시청,2020-12-07
"힐스테이트 은파 아파트",공공용,전라북도 군산시 옥산면 월명로 45,전라북도 군산시 옥산면 당북리 1046,35.947625,126.714821,7132,8644,Y,지하주차장,063-454-3833,전라북도 군산시청,2020-12-07
"해망굴",공공용,,전라북도 군산시 해망동 100-21,35.989020,126.699423,826,1001,Y,지하차보도,063-454-3833,전라북도 군산시청,2020-12-07
"희망루 아파트",공공용,전라북도 군산시 월명로 586-4,전라북도 군산시 해망동 1017,35.988060,126.697687,1485,1800,Y,지하주차장,063-454-3833,전라북도 군산시청,2020-12-07
"민방위대피소",공공용,전라북도 군산시 중앙로 170,전라북도 군산시 중앙로1가 13-1,35.987981,126.712548,661,801,N,다층건물,063-454-3833,전라북도 군산시청,2020-12-07
"교보생명",공공용,전라북도 군산시 대학로 35,전라북도 군산시 중앙로1가 14-12,35.986538,126.711629,3877,4699,Y,지하주차장,063-454-3833,전라북도 군산시청,2020-12-07
"현대 오솔 아파트",공공용,전라북도 군산시 월명로 496,전라북도 군산시 월명동 15-1,35.984991,126.707068,2195,2660,Y,지하주차장,063-454-3833,전라북도 군산시청,2020-12-07
"클래시움 아파트",공공용,전라북도 군산시 월명1길 3,전라북도 군산시 월명동 23-1,35.984835,126.706633,2936,3558,Y,아파트 지하층,063-454-3833,전라북도 군산시청,2020-12-07
"금광 삼성아파트",공공용,전라북도 군산시 대학로 114-1,전라북도 군산시 금광동 172,35.981046,126.706285,4066,4928,Y,지하주차장,063-454-3833,전라북도 군산시청,2020-12-07
"삼학 대우아파트",공공용,전라북도 군산시 축동로 188,전라북도 군산시 삼학동 811-1,35.976714,126.709881,1487,1802,Y,지하주차장,063-454-3833,전라북도 군산시청,2020-12-07
"삼학 주공아파트",공공용,전라북도 군산시 미원로 61,전라북도 군산시 삼학동 888,35.978828,126.711233,2564,3107,Y,지하주차장,063-454-3833,전라북도 군산시청,2020-12-07
"현대 세솔아파트",공공용,전라북도 군산시 풍문2길 35,전라북도 군산시 장재동 212,35.978738,126.719125,4739,5744,Y,지하주차장,063-454-3833,전라북도 군산시청,2020-12-07
