"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"현대아파트",공공용,전라북도 남원시 동문로 83 (동충동),전라북도 남원시 동충동 330번지,35.4133863,127.3854408,2850,3455,Y,지하주차장,063-632-7738,현대아파트 관리사무소,2020-10-28
"한신아파트",공공용,전라북도 남원시 노송로 1229 (노암동),전라북도 남원시 노암동 260번지,35.39408186,127.375725,2238,2713,Y,지하주차장,063-632-1019,한신아파트 관리사무소,2020-10-28
"켄싱턴리조트",공공용,전라북도 남원시 소리길 66 (어현동),전라북도 남원시 어현동 37번지 122호,35.4024376739,127.3851822996,807,978,Y,지하주차장,063-636-7007,켄싱턴리조트,2020-10-28
"지리산낙협",공공용,"전라북도 남원시 의총로 28 (금동, 농협)",전라북도 남원시 금동 280번지 24호,35.403025,127.3763651061,331,401,Y,지하주차장,063-631-4541,지리산낙협,2020-10-28
"중앙하이츠콘도",공공용,"전라북도 남원시 장승안길 2-9 (산곡동, 중앙하이츠콘도)",전라북도 남원시 산곡동 15번지 2호,35.4201160050,127.3735840627,4130,5006,Y,"회의실, 행사장",063-626-8080,중앙하이츠콘도,2020-10-28
"전라북도 공무원교육원",공공용,전라북도 남원시 산성길 87 (산곡동),전라북도 남원시 산곡동 23번지,35.4218209156,127.3715732780,2756,3340,Y,체육관,063-290-5100,전라북도공무원교육원,2020-10-28
"스탠다드차타드은행",공공용,"전라북도 남원시 남문로 445 (하정동, 스탠다드차타드은행)",전라북도 남원시 하정동 104번지,35.4066190835,127.380119,592,718,Y,지하주차장,063-625-2907,스탠다드차타드은행 남원지점,2020-10-28
"비안아파트",공공용,전라북도 남원시 노송로 1237 (노암동),전라북도 남원시 노암동 220번지 1호,35.394719,127.3762225386,1144,1387,Y,지하주차장,063-632-7213,비안아파트 관리사무소,2020-10-28
"비사벌아파트",공공용,전라북도 남원시 광천남길 410 (왕정동),전라북도 남원시 왕정동 113번지 1호,35.40867559,127.3723658,1851,2244,Y,지하주차장,063-626-8788,비사벌아파트 관리사무소,2020-10-28
"부영5차아파트 507동",공공용,전라북도 남원시 오들1길 26 (도통동),전라북도 남원시 도통동 576번지,35.41677819,127.3989689,2545,3085,Y,지하주차장,063-635-5393,부영 5차 아파트 관리사무소,2020-10-28
"부영5차아파트 506동",공공용,전라북도 남원시 오들1길 26 (도통동),전라북도 남원시 도통동 576번지,35.41677819,127.3989689,2588,3137,Y,지하주차장,063-635-5393,부영 5차 아파트 관리사무소,2020-10-28
"부영5차아파트 504동",공공용,전라북도 남원시 오들1길 26 (도통동),전라북도 남원시 도통동 576번지,35.41677819,127.3989689,2678,3246,Y,지하주차장,063-635-5393,부영 5차 아파트 관리사무소,2020-10-28
"부영3차아파트 305동",공공용,전라북도 남원시 오들1길 82 (월락동),전라북도 남원시 월락동 642번지,35.41930684,127.4018177,2671,3238,Y,지하주차장,063-636-5391,부영 3차 아파트 관리사무소,2020-10-28
"부영3차아파트 303동",공공용,전라북도 남원시 오들1길 82 (월락동),전라북도 남원시 월락동 642번지,35.41930684,127.401831,2377,2881,Y,지하주차장,063-636-5391,부영 3차 아파트 관리사무소,2020-10-28
"부영2차아파트 208동",공공용,전라북도 남원시 오들1길 97 (월락동),전라북도 남원시 월락동 638번지,35.420469,127.4018012,2350,2848,Y,지하주차장,063-635-5391,부영 2차 아파트 관리사무소,2020-10-28
"부영2차아파트 207동",공공용,전라북도 남원시 오들1길 97 (월락동),전라북도 남원시 월락동 638번지,35.4204101,127.4018012,2264,2744,Y,지하주차장,063-633-5391,부영 2차 아파트 관리사무소,2020-10-28
"부영2차아파트 206동",공공용,"전라북도 남원시 오들1길 97 (월락동, 부영2차아파트)",전라북도 남원시 월락동 638번지,35.4204101009,127.4018018305,1990,2412,Y,지하주차장,063-633-5391,부영 2차 아파트 관리사무소,2020-10-28
"부영2차아파트 205동",공공용,"전라북도 남원시 오들1길 97 (월락동, 부영2차아파트)",전라북도 남원시 월락동 638번지,35.4204101009,127.4018018305,2367,2869,Y,지하주차장,063-633-5391,부영 2차 아파트 관리사무소,2020-10-28
