"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"주공2차아파트",공공용,전라북도 부안군 부안읍 석정로 286,전라북도 부안군 부안읍 봉덕리 909,35.71997561,126.7371528,1818,2203,N,"창고, 기계실",063-582-7944,관리사무소,2021-06-21
"주공3차아파트",공공용,전라북도 부안군 부안읍 부풍로 122,전라북도 부안군 부안읍 서외리 630,35.72028907,126.7305515,3124,3786,N,"창고, 기계실",063-582-7831,관리사무소,2021-06-21
"진성아파트",공공용,전라북도 부안군 부안읍 진성길11,전라북도 부안군 부안읍 봉덕리 793-4,35.724655,126.7383841,1081,1310,Y,주차장,063-581-0291,관리사무소,2021-06-21
"주공1차아파트",공공용,전라북도 부안군 부안읍 학동길 4,전라북도 부안군 부안읍 봉덕리 873,35.72378931,126.7402482,2420,2933,Y,주차장,063-583-0462,관리사무소,2021-06-21
"예술회관",공공용,전라북도 부안군 부안읍 예술회관길 11,전라북도 부안군 부안읍 서외리 455-51,35.72430809,126.7254759,1098,1330,N,"창고, 기계실",063-580-3921,부안군청(문화체육시설사업소),2021-06-21
"대림아파트",공공용,전라북도 부안군 부안읍 낭주길 5,전라북도 부안군 부안읍 선은리 258-1,35.72915617,126.7380732,992,1202,N,"창고, 기계실",063-581-1317,관리사무소,2021-06-21
"동원아파트",공공용,전라북도 부안군 부안읍 학동길11-6,전라북도 부안군 부안읍 봉덕리 814,35.7245024,126.7390168,2248,2724,Y,창고,063-581-1317,관리사무소,2021-06-21
"상원아파트",공공용,전라북도 부안군 부안읍 상원길 19,전라북도 부안군 부안읍 동중리 106,35.73059898,126.7384266,774,938,Y,창고,063-581-2381,관리사무소,2021-06-21
"하이안아파트",공공용,전라북도 부안군 부안읍 오리정로 172,전라북도 부안군 부안읍 봉덕리 910,35.72204369,126.7415713,3620,4387,Y,주차장,063-581-3299,관리사무소,2021-06-21
"부안군청",공공용,전라북도 부안군 부안읍 당산로 91,전라북도 부안군 부안읍 동중리 222-1,35.7317814,126.7330775,8834,10707,Y,주차장,063-580-4805,부안군청(재무과),2021-06-21
"현대아파트",공공용,전라북도 부안군 부안읍 봉신길 19,전라북도 부안군 부안읍 봉덕리 626-4,35.72006055,126.7331561,1924,2332,Y,주차장,063-584-6474,관리사무소,2021-06-21
"미소가애(주공4차)",공공용,전라북도 부안군 부안읍 석정로 262,전라북도 부안군 부안읍 봉덕리 912,35.72238033,126.7355622,6000,7273,Y,주차장,063-583-8041,관리사무소,2021-06-21
"송림아파트",공공용,전라북도 부안군 변산면 지서로 80,전라북도 부안군 변산면 지서리 408,35.66471344,126.5281505,2621,3176,Y,주차장,063-584-9395,관리사무소,2021-06-21
"대명리조트",공공용,전라북도 부안군 변산면 변산해변로51,전라북도 부안군 변산면 격포리 257,35.63192913,126.4701361,14833,17979,Y,주차장,063-585-4888,대명리조트,2021-06-21
"양우아파트",공공용,전라북도 부안군 변산면 격포윗길20,전라북도 부안군 변산면 격포리 272-21,35.62475034,126.4740615,1400,1696,Y,주차장,063-584-2239,관리사무소,2021-06-21
