"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"광명메이루즈아파트",공공용,전라북도 순창군 순창읍 장류로 422,전라북도 순창군 순창읍 남계리 990,35.3752750278,127.1490489721,1694,2053,Y,지하주차장,063-650-1811,광명메이루즈아파트,2019-06-30
"옥천인재숙",공공용,전라북도 순창군 순창읍 옥천로 145-8,전라북도 순창군 순창읍 복실리 132,35.3850672659,127.1398383,234,283,Y,기타,063-650-1213,옥천인재숙,2019-06-30
"대신아파트",공공용,전라북도 순창군 순창읍 장류로 296,전라북도 순창군 순창읍 순화리 465,35.3759944234,127.1351357150,413,500,Y,기타,063-650-1811,대신아파트,2019-06-30
"신안프라자",공공용,전라북도 순창군 순창읍 장류로 347,전라북도 순창군 순창읍 순화리 112,35.3769045,127.140353,1030,1248,Y,지하주차장,063-650-1811,신안프라자,2019-06-30
"순창요양병원",공공용,전라북도 순창군 순창읍 순창로 105,전라북도 순창군 순창읍 가남리 507,35.3650706229,127.1411913877,319,387,Y,기타,063-650-1811,순창요양병원,2019-06-30
"순창농협남계지점",공공용,전라북도 순창군 순창읍 장류로 388,전라북도 순창군 순창읍 남계리 227,35.3758824095,127.1446921597,228,275,Y,기타,063-650-1811,순창농협남계지점,2019-06-30
"순창경찰서",공공용,전라북도 순창군 순창읍 장류로 311,전라북도 순창군 순창읍 순화리 479,35.3770202107,127.1366693251,158,192,Y,체육관,063-650-1311,순창경찰서,2019-06-30
"장류연구소",공공용,전라북도 순창군 순창읍 민속마을길 61,전라북도 순창군 순창읍 백산리 744,35.3664548813,127.1061363429,216,262,Y,"회의, 교육",063-650-5411,장류사업소,2019-06-30
"순창읍사무소",공공용,전라북도 순창군 순창읍 장류로 407-7,전라북도 순창군 순창읍 남계리 966,35.3769647932,127.1470227539,80,97,Y,기타,063-650-5701,순창읍사무소,2019-06-30
"순창(구)보건의료원",공공용,전라북도 순창군 순창읍 순창로 127,전라북도 순창군 순창읍 가남리 541,35.3664304285,127.1406743860,437,530,Y,기타,063-650-1513,보건의료원 보건사업과,2019-06-30
"해태아파트",공공용,전라북도 순창군 순창읍 남계로 96,전라북도 순창군 순창읍 남계리 248,35.3752058839,127.1466277934,790,958,Y,기타,063-650-1811,해태아파트관리사무소,2019-06-30
"대석아파트",공공용,전라북도 순창군 순창읍 양지길 81,전라북도 순창군 순창읍 남계리 353,35.374747,127.1474181,2195,2661,Y,지하주차장,063-650-1811,대석아파트관리사무소,2019-06-30
"순창축협",공공용,전라북도 순창군 순창읍 옥천로 41,전라북도 순창군 순창읍 순화리 123,35.3763957122,127.140471,309,374,Y,기타,063-650-1811,순창축협,2019-06-30
"순창군청",공공용,전라북도 순창군 순창읍 경천로 33,전라북도 순창군 순창읍 순화리 315-4,35.3744560442,127.1373693012,494,598,Y,기타,063-650-1350,순창군청,2019-06-30
