"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"명진로얄2차아파트",공공용,전라북도 완주군 봉동읍 봉동동서로 76,전라북도 완주군 봉동읍 장기리 273,35.93581848,127.1613268,1486,1801,Y,지하주차장,063-261-3972,명진로얄2차아파트,2021-06-29
"한신아파트",공공용,전라북도 완주군 봉동읍 봉동로19(봉동한신아파트),전라북도 완주군 봉동읍 신성리 819- 14,35.92727637,127.165396,2164,2623,Y,지하주차장,063-261-9393,한신아파트,2021-06-29
LS엠트론기술교육아카데미,공공용,전라북도 완주군 봉동읍 봉동로 396,전라북도 완주군 봉동읍 은하리 1030-54,35.9549232,127.1485961,961.99,1166,Y,교육장,063-714-3514,LS엠트론기술교육아카데미,2021-06-29
"현대자동차",공공용,전라북도 완주군 봉동읍 완주산단5로 163,전라북도 완주군 봉동읍 용암리 762,35.94895368,127.1361933,5304,6429,Y,식당,063-260-6673,현대자동차,2021-06-29
"우석대학교",공공용,전라북도 완주군 삼례읍 삼례로 443,전라북도 완주군 삼례읍 후정리 490,35.91154173,127.0676946,1224,1484,Y,강의실,063-290-1153,우석대학교,2021-06-29
"삼례도서관",공공용,전라북도 완주군 삼례읍 삼봉로 215-12,전라북도 완주군 삼례읍 신금리 산 71- 1,35.9205239,127.0932702,229,277,Y,식당,063-290-2642,삼례도서관,2021-06-29
"대명아파트",공공용,전라북도 완주군 삼례읍 충혼길 50,전라북도 완주군 삼례읍 후정리 106,35.90422931,127.0703071,2131,2583,Y,지하주차장,063-291-7027,대명아파트,2021-06-29
"우성아파트",공공용,전라북도 완주군 삼례읍 삼례로 333,전라북도 완주군 삼례읍 삼례리 863-6,35.90748235,127.0740809,2401,2910,Y,지하주차장,063-291-0756,우성아파트,2021-06-29
"대영아파트",공공용,전라북도 완주군 삼례읍 왕궁로 10,전라북도 완주군 삼례읍 삼례리 297-10,35.91674618,127.0811759,5481.02,6644,Y,지하주차장,063-291-7256,대영아파트,2021-06-29
"동원맨션아파트",공공용,전라북도 완주군 삼례읍 삼봉로 111(동원맨션아파트),전라북도 완주군 삼례읍 삼례리 297-2,35.9167311,127.0817495,1171,1419,Y,지하주차장,063-291-0710,동원맨션아파트,2021-06-29
"덕천하이트아파트",공공용,전라북도 완주군 용진읍 가목길 21(덕천하이트아파트),전라북도 완주군 용진읍 신지리 877,35.92375598,127.1719083,1781,2159,Y,지하실,063-261-0820,덕천하이트아파트,2021-06-29
"대영아파트",공공용,전라북도 완주군 용진읍 완주로 812(대영아파트),전라북도 완주군 용진읍 신지리 1581-1,35.93458687,127.1758104,3607,4372,Y,지하실,063-262-1007,대영아파트,2021-06-29
"원주아파트",공공용,전라북도 완주군 용진읍 완주로 716(봉동원주임대아파트),전라북도 완주군 용진읍 신지리 876-4,35.92491871,127.1730721,1264,1535,Y,지하실,063-261-4292,원주아파트,2021-06-29
"봉동첨담코아루1차아파트",공공용,전라북도 완주군 봉동읍 둔산3로 63(전부첨단코아루아파트),전라북도 완주군 봉동읍 둔산리 898-2,35.96155688,127.1260517,3517,4263,Y,지하주차장,063-263-2643,봉동첨담코아루1차아파트,2021-06-29
"봉동첨담코아루2차아파트",공공용,전라북도 완주군 봉동읍 둔산1로 130(전주첨단코아루2차아파트),전라북도 완주군 봉동읍 둔산리 873-3,35.96228463,127.1230154,4771,5783,Y,지하주차장,063-263-1470,봉동첨담코아루2차아파트,2021-06-29
"벽산e-솔레힐아파트",공공용,전라북도 완주군 봉동읍 둔산3로 119-7(전주과학산업단지 벽산e-솔렌스힐아파트),전라북도 완주군 봉동읍 둔산리 873-2,35.96396559,127.125479,2875,3484,Y,지하주차장,063-262-2410,벽산e-솔레힐아파트,2021-06-29
"라송센트럴카운티아파트",공공용,전라북도 완주군 봉동읍 둔산1로 107(라송 센트럴카운티),전라북도 완주군 봉동읍 둔산리 871-1,35.96004018,127.1216063,8235,9982,Y,지하주차장,063-263-3539,라송센트럴카운티아파트,2021-06-29
"모아엘가아파트",공공용,전라북도 완주군 봉동읍 둔산1로 131(모아엘가),전라북도 완주군 봉동읍 둔산리 864-5,35.96423994,127.1216171,4990,6048,Y,지하주차장,063-263-8331,모아엘가아파트,2021-06-29
"완주봉동주공1차아파트",공공용,전라북도 완주군 봉동읍 봉동중앙로 53-18(봉동주공아파트),전라북도 완주군 봉동읍 낙평리 1242,35.930576,127.1592146,2878,3488,Y,지하주차장,063-261-8005,완주봉동주공1차아파트,2021-06-29
"완주봉동주공2차아파트",공공용,전라북도 완주군 봉동읍 봉동중앙로 53-20(봉동주공아파트),전라북도 완주군 봉동읍 낙평리 1245,35.92990383,127.1577821,3356,4068,Y,지하주차장,063-261-8005,완주봉동주공2차아파트,2021-06-29
"이서이노힐스아파트",공공용,전라북도 완주군 이서면 갈산1로 71(이노힐스아파트),전라북도 완주군 이서면 갈산리 645,35.83745169,127.0531144,3079,3732,Y,지하주차장,063-227-0766,이서이노힐스아파트,2021-06-29
"에코르1단지아파트",공공용,전라북도 완주군 이서면 출판로 25(혁신도시 에코르 1단지 아파트),전라북도 완주군 이서면 갈산리 637,35.83978668,127.0554846,2720,3296,Y,지하주차장,063-213-5992,에코르1단지아파트,2021-06-29
LH9단지아파트,공공용,전라북도 완주군 이서면 갈산1로 72(전북혁신엘에이치아파트 9단지),전라북도 완주군 이서면 갈산리 646,35.83672307,127.0540082,1350,1636,Y,지하주차장,063-225-5520,LH9단지아파트,2021-06-29
LH10단지아파트,공공용,전라북도 완주군 이서면 갈산1로 12(전북혁신엘에이치아파트 10단지),전라북도 완주군 이서면 갈산리 650,35.83457399,127.0550693,2174,2635,Y,지하주차장,063-226-7100,LH10단지아파트,2021-06-29
"에코르2단지아파트",공공용,전라북도 완주군 이서면 지사제로 29(혁신도시 에코르 2단지 아파트),전라북도 완주군 이서면 용서리 783,35.82720509,127.0219655,4316,5231,Y,지하주차장,063-237-5992,에코르2단지아파트,2021-06-29
"에코르3단지아파트",공공용,전라북도 완주군 이서면 반교로 51(혁신도시에코르 3단지파파트),전라북도 완주군 이서면 용서리 785,35.82566176,127.0239039,3892,4717,Y,지하주차장,063-223-2682,에코르3단지아파트,2021-06-29
"전라북도 도립미술관",공공용,"전라북도 완주군 구이면 모악산길 111-6, 전북도립미술관",전라북도 완주군 구이면 원기리 1068,35.7277055629,127.1069244838,1286,1558,Y,,063-290-6888,전라북도 도립미술관,2021-06-29
"고산면행정복지센터",공공용,전라북도 완주군 고산면 고산로 69-13,전라북도 완주군 고산면 읍내리 715,35.9764471791,127.2052651839,455,551,Y,,063-290-3634,고산면행정복지센터,2021-06-29
"고산 농협",공공용,전라북도 완주군 고산면 고산로 77,전라북도 완주군 고산면 읍내리 881,35.9756782885,127.2055555708,488,591,Y,,063-260-7500,고산 농협,2021-06-29
"신세대 지큐빌 아파트",공공용,전라북도 완주군 상관면 신리로 97,전라북도 완주군 상관면 신리 607,35.7706877101,127.2077822128,4166,5049,Y,,063-232-2406,신세대 지큐빌 아파트,2021-06-29
