"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"성호아파트",공공용,전라북도 익산시 동서로27길 6,전라북도 익산시 남중동 537-2,35.953582,126.9600207,443,536,N,,,익산시청,2020-09-18
"국민생활관",공공용,전라북도 익산시 인북로32길32,전라북도 익산시 남중동 86-225,35.9470385367,126.9598687,1349,1635,N,,,익산시청,2020-09-18
"이화아파트",공공용,전라북도 익산시 익산대로 255,전라북도 익산시 남중동 455-5,35.948714,126.949693,800,969,Y,,,익산시청,2020-09-18
"교보생명",공공용,전라북도 익산시 인북로 209,전라북도 익산시 남중동 222-2,35.9474878,126.9563428683,1349,1635,Y,,,익산시청,2020-09-18
"익산시청 구내식당",공공용,전라북도 익산시 인북로32길1,전라북도 익산시 남중동 60,35.9475877803,126.9578594506,254,307,N,,,익산시청,2020-09-18
"신일아파트1동",공공용,전라북도 익산시 인북로9길 19,전라북도 익산시 남중동 370-4,35.9524912133,126.9562357686,575,696,Y,,,익산시청,2020-09-18
"신일아파트2동",공공용,전라북도 익산시 인북로9길 19,전라북도 익산시 남중동 370-4,35.9524912133,126.9562357686,489,592,Y,,,익산시청,2020-09-18
"여울휴먼시아2단지",공공용,전라북도 익산시 동천로 25,전라북도 익산시 동산동 1139,35.929554,126.9644519,8809,10677,Y,,,익산시청,2020-09-18
"라인아파트",공공용,전라북도 익산시 동천로 81-12,전라북도 익산시 금강동 923,35.9302223,126.9713443842,4856,5886,Y,,,익산시청,2020-09-18
"여울휴먼시아3단지",공공용,전라북도 익산시 동천로1길 7,전라북도 익산시 동산동 1140,35.9302409,126.9669958,4276,5183,Y,,,익산시청,2020-09-18
"우남남부아파트",공공용,전라북도 익산시 목천로 346,전라북도 익산시 동산동 609-42,35.92675957,126.9588241,1835,2224,Y,,,익산시청,2020-09-18
"제일1차아파트",공공용,전라북도 익산시 서동로18길 46-1,전라북도 익산시 동산동 1053-1,35.93304099,126.9636125,5666,6867,Y,,,익산시청,2020-09-18
"대신쉐르빌아파트",공공용,전라북도 익산시 약촌로 31,전라북도 익산시 금강동 364-1,35.9369248444,126.9777835607,6073,7361,Y,,,익산시청,2020-09-18
"마동 우림그린아파트",공공용,전라북도 익산시 서동로 164,전라북도 익산시 마동 70-1,35.93630507,126.969254,2847,3450,Y,,,익산시청,2020-09-18
"모현 우림한솔아파트",공공용,전라북도 익산시 동서로 146-8,전라북도 익산시 모현동1가 19,35.95404221,126.9498408377,4988,6046,Y,,,익산시청,2020-09-18
"모현 현대3차아파트",공공용,전라북도 익산시 배산로 91-9,전라북도 익산시 모현동 1가 677-2,35.94498847,126.9385521554,2969,3598,Y,,,익산시청,2020-09-18
"모현 현대2차아파트",공공용,전라북도 익산시 배산로14길 9,전라북도 익산시 모현동 1가 303-1,35.94556668,126.9413736,6169,7477,Y,,,익산시청,2020-09-18
"모현 현대4차아파트",공공용,전라북도 익산시 배산로16길 33,전라북도 익산시 모현동 1가 296-2,35.9469464186,126.943117,516,625,Y,,,익산시청,2020-09-18
"모현 명일아파트",공공용,전라북도 익산시 배산로24길 64,전라북도 익산시 모현동 1가 111-1,35.94966154,126.9484022,1855,2248,Y,,,익산시청,2020-09-18
"모현 현대6차아파트",공공용,전라북도 익산시 선화로 100-12,전라북도 익산시 모현동 1가 335-2,35.948091,126.9405586001,1775,2151,Y,,,익산시청,2020-09-18
"모현 현대5차아파트",공공용,전라북도 익산시 선화로 8길 12,전라북도 익산시 모현동 1가 302-20,35.94745957,126.9419619,1021,1237,Y,,,익산시청,2020-09-18
"모현 이편한세상아파트",공공용,전라북도 익산시 선화로10길 17,전라북도 익산시 모현동 1가 954,35.94747246,126.9464219,39598,47997,Y,,,익산시청,2020-09-18
"모현 배산제일2차아파트",공공용,전라북도 익산시 선화로19길 28,전라북도 익산시 모현동 1가 48-4,35.95347863,126.9471051,1468,1779,Y,,,익산시청,2020-09-18
"모현 배산휴먼시아4단지",공공용,전라북도 익산시 선화로1길 25-14,전라북도 익산시 모현동 2가 674,35.95269545,126.9376784189,3728,4518,Y,,,익산시청,2020-09-18
"모현 배산휴먼시아5단지",공공용,전라북도 익산시 선화로1길 57-32,전라북도 익산시 모현동 2가 577,35.95672837,126.9357476,1110,1345,Y,,,익산시청,2020-09-18
"모현 중앙하이츠아파트",공공용,전라북도 익산시 선화로5길 45,전라북도 익산시 모현동 1가 525-2,35.9522361917,126.9429954306,3114,3774,Y,,,익산시청,2020-09-18
"하나리움아파트",공공용,전라북도 익산시 궁동로 151-7,전라북도 익산시 부송동 1210,35.9636324867,126.9877458103,13755,16671,Y,,,익산시청,2020-09-18
"공설운동장 실내체육관",공공용,전라북도 익산시 무왕로1397,전라북도 익산시 부송동 180,35.9679853952,127.0090425604,10879,13186,Y,,,익산시청,2020-09-18
"우남콤비타운",공공용,전라북도 익산시 무왕로26길 11-5,전라북도 익산시 부송동 216-2,35.95936277,126.9998847,8251,10001,Y,,,익산시청,2020-09-18
"동아1차아파트",공공용,전라북도 익산시 무왕로26길 32,전라북도 익산시 부송동 231-4,35.95839301,126.9976411,8490,10290,Y,,,익산시청,2020-09-18
