"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"전주역 지하도",공공용,"전라북도 전주시 덕진구 동부대로 680 (우아동3가, 전주역)",전라북도 전주시 덕진구 우아동3가 235-10,35.8496886398,127.1634723993,228,276,Y,보행도로,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"송천동자이APT",공공용,"전라북도 전주시 덕진구 두간6길 10 (송천동1가, GS자이)",전라북도 전주시 덕진구 송천동1가 806,35.8661996841,127.119483,7710,9345,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"송천2동주민센터",공공용,"전라북도 전주시 덕진구 두간9길 6 (송천동1가, 송천2동주민센터)",전라북도 전주시 덕진구 송천동1가 829-1,35.8649033492,127.1155836953,204,247,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"대창아파트",공공용,"전라북도 전주시 덕진구 반월4길 15 (반월동, 대창아파트)",전라북도 전주시 덕진구 반월동 422-1,35.8749957865,127.0712822646,3596,4359,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"영무예다음아파트",공공용,"전라북도 전주시 덕진구 반월4길 16 (반월동, 영무예다음아파트)",전라북도 전주시 덕진구 반월동 217-4,35.87525796,127.0729391,2178,2640,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"삼오아파트",공공용,"전라북도 전주시 덕진구 반월5길 8 (반월동, 삼오아파트)",전라북도 전주시 덕진구 반월동 374-4,35.872756,127.0684809,2716,3292,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"건지산이지움아파트",공공용,전라북도 전주시 덕진구 백동2길 11 (인후동2가),전라북도 전주시 덕진구 인후동2가 1561-1,35.845614,127.1475256629,8000,9697,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"전북은행 본점",공공용,전라북도 전주시 덕진구 백제대로 566 (금암동),전라북도 전주시 덕진구 금암동 669-2,35.8397168286,127.1314062044,5675,6879,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"타이어뱅크(뱅크빌딩)",공공용,전라북도 전주시 덕진구 백제대로 751 (인후동2가),전라북도 전주시 덕진구 인후동2가 1573-1,35.8466521,127.150722,4770,5782,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"덕진구청",공공용,"전라북도 전주시 덕진구 벚꽃로 55 (진북동, 덕진구청)",전라북도 전주시 덕진구 진북동 416-12,35.8293594,127.1351740323,5858,7101,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"송천주공아파트",공공용,"전라북도 전주시 덕진구 붓내3길 29 (송천동2가, 주공아파트)",전라북도 전주시 덕진구 송천동2가 1268,35.8693141888,127.1244969738,8192,9929,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"전주지방검찰청",공공용,"전라북도 전주시 덕진구 사평로 25 (덕진동1가, 전주지방검찰청)",전라북도 전주시 덕진구 덕진동1가 1416-1,35.8406801725,127.1202243004,323,392,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"전주지방법원",공공용,"전라북도 전주시 덕진구 사평로 25 (덕진동1가, 전주지방법원)",전라북도 전주시 덕진구 덕진동1가 1416-1,35.8406801725,127.1202243004,484,587,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"전주시청소년자유센터",공공용,"전라북도 전주시 덕진구 서귀로 107 (팔복동3가, 전주시청소년자유센터)",전라북도 전주시 덕진구 팔복동3가 404,35.851444,127.087033,287,348,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"선변오지오아파트 101동",공공용,"전라북도 전주시 덕진구 석소2길 30 (우아동2가, 오지오아파트)",전라북도 전주시 덕진구 우아동2가 869,35.8353003504,127.1691406630,5390,6533,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"아중현대아파트",공공용,"전라북도 전주시 덕진구 석소로 55 (인후동1가, 아중현대아파트)",전라북도 전주시 덕진구 인후동1가 858-2,35.83271004,127.1653235,8527,10335,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"호성주공아파트",공공용,"전라북도 전주시 덕진구 소리로 179 (호성동1가, 주공아파트)",전라북도 전주시 덕진구 호성동1가 900,35.8580373172,127.1500757712,5743,6961,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"영창드림맨션아파트",공공용,"전라북도 전주시 덕진구 솔내6길 7 (송천동1가, 영창드림맨션아파트)",전라북도 전주시 덕진구 송천동1가 123-12,35.85876799,127.1224832,787,954,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
"송천동 현대2차아파트",공공용,"전라북도 전주시 덕진구 솔내로 124 (송천동1가, 현대2차아파트)",전라북도 전주시 덕진구 송천동1가 141,35.86127163,127.1277129,4344,5265,Y,주차장,063-270-6264,전라북도 전주시청 덕진구청 건설과,2020-08-31
