"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"목화예식장",공공용,전라북도 진안군 진안읍 진장로 19,전라북도 진안군 진안읍 군상리 282-1,35.7928140258,127.4331314,254,308,Y,식당,063-430-2532,전라북도 진안군청,2020-09-09
"진안청소년수련관",공공용,전라북도 진안군 진안읍 진무로 1054-14,전라북도 진안군 진안읍 군하리 233,35.7882576642,127.4264498,150,181,Y,요리체험실,063-430-2532,전라북도 진안군청,2020-09-09
"문예체육회관",공공용,전라북도 진안군 진안읍 진무로 1054-38,전라북도 진안군 진안읍 군하리 34,35.78633728,127.4265178,2310,2800,Y,주차장,063-430-2532,전라북도 진안군청,2020-09-09
"진안군청",공공용,전라북도 진안군 진안읍 중앙로 67,전라북도 진안군 진안읍 군하리 97-4,35.7912555026,127.4246670319,317,384,Y,식당,063-430-2532,전라북도 진안군청,2020-09-09
"진안경찰서",공공용,전라북도 진안군 진안읍 우화산길 3,전라북도 진안군 진안읍 군상리 954-2,35.7914870992,127.4259485564,70,85,Y,체력단련실,063-430-2532,전라북도 진안군청,2020-09-09
"한국전력공사",공공용,전라북도 진안군 진안읍 대괭이길 7-21,전라북도 진안군 진안읍 군하리 121-2,35.790772,127.4215996666,104,126,Y,식당,063-430-2532,전라북도 진안군청,2020-09-09
"진안읍사무소",공공용,전라북도 진안군 진안읍 대성길 3,전라북도 진안군 진안읍 군하리 143,35.7892688746,127.4231804177,102,123,Y,체력단련실,063-430-2532,전라북도 진안군청,2020-09-09
"대아월랑아파트",공공용,전라북도 진안군 진안읍 대광1길 4,전라북도 진안군 진안읍 군하리 387-5,35.78730574,127.4207446,1917,2323,Y,주차장,063-430-2532,전라북도 진안군청,2020-09-09
"진안군의료원",공공용,전라북도 진안군 진안읍 진무로 1145,전라북도 진안군 진안읍 군상리 90-144,35.79524837,127.4316375480,555,673,Y,창고,063-430-2532,전라북도 진안군청,2020-09-09
"진안성당",공공용,전라북도 진안군 진안읍 대광길 22,전라북도 진안군 진안읍 군하리 421-1,35.78816358,127.420789,688,833,Y,식당,063-430-2532,전라북도 진안군청,2020-09-09
kt진안지점,공공용,전라북도 진안군 진안읍 중앙로 78,전라북도 진안군 진안읍 군상리 947-1,35.7914683810,127.426537,1194,1447,Y,주차장,063-430-2532,전라북도 진안군청,2020-09-09
"진안우체국",공공용,전라북도 진안군 진안읍 진무로 1114,전라북도 진안군 진안읍 군상리 403-4,35.791957,127.4304041452,191,231,Y,창고,063-430-2532,전라북도 진안군청,2020-09-09
"홍삼스파",공공용,전라북도 진안군 진안읍 외사양길 16-10,전라북도 진안군 진안읍 단양리 744,35.776138,127.4175227,508,616,Y,창고,063-430-2532,전라북도 진안군청,2020-09-09
"홍삼빌",공공용,전라북도 진안군 진안읍 외사양길 16-14,전라북도 진안군 진안읍 단양리 743,35.776736,127.4168357,340,413,Y,창고,063-430-2532,전라북도 진안군청,2020-09-09
