"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"대정농협",공공용,제주특별자치도 서귀포시 대정읍 하모중앙로 70,,33.22190336,126.2518555,588.43,713,Y,주차장,064-760-4052,대정읍,2021-06-30
"성환아파트",공공용,제주특별자치도 서귀포시 대정읍 하모중앙로68번길 5,,33.22204804,126.251399,1011.99,1227,Y,주차장,064-760-4052,대정읍,2021-06-30
"캐논스빌리지1단지",공공용,제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 46,,33.29540793,126.2903056,105.38,128,Y,계절창고,064-760-4052,대정읍,2021-06-30
"청소년수련관",공공용,제주특별자치도 서귀포시 대정읍 동일하모로149번길 21-8,,33.22788674,126.2477297,988,1198,Y,체력단련실.식당 등,064-760-4052,대정읍,2021-06-30
NLCS-JEJU,공공용,제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 33,,33.29684105,126.2918094129,5468.11,6628,Y,주차장,064-760-4052,대정읍,2021-06-30
"브랭섬홀아시아",공공용,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234,,33.28997008,126.2872664,12202,14790,Y,주차장.체육관,064-760-4052,대정읍,2021-06-30
"한국국제학교",공공용,제주특별자치도 서귀포시 대정읍 글로벌에듀로260번길 34,,33.28909474,126.2843063,2154,2611,Y,주차장,064-760-4052,대정읍,2021-06-30
"남원읍사무소",공공용,제주특별자치도 서귀포시 남원읍 태위로 695,,33.27989564,126.7206785,1107,1342,Y,주차장,064-760-4152,남원읍,2021-06-30
"수협남원지소",공공용,제주특별자치도 서귀포시 남원읍 태위로 698,,33.279479,126.7210792,360.33,437,Y,창고,064-760-4152,남원읍,2021-06-30
"남원농협",공공용,제주특별자치도 서귀포시 남원읍 태위로 678,,33.27889111,126.7188694,387,469,Y,창고,064-760-4152,남원읍,2021-06-30
"남원생활체육관",공공용,제주특별자치도 서귀포시 남원읍 태위로 551-27,,33.27740522,126.7033506,188,228,Y,창고,064-760-4152,남원읍,2021-06-30
"서귀포동부보건소",공공용,제주특별자치도 서귀포시 남원읍 태위로 527,,33.27562882,126.7034172,93,113,Y,창고,064-760-4152,남원읍,2021-06-30
"남원에덴아파트",공공용,제주특별자치도 서귀포시 남원읍 남원광지로 5,,33.27835435,126.7122033,1283,1555,Y,주차장,064-760-4152,남원읍,2021-06-30
"금호리조트㈜제주",공공용,제주특별자치도 서귀포시 남원읍 태위로 522-15,,33.2737253,126.7037302,1419,1720,Y,주차장,064-760-4152,남원읍,2021-06-30
"성산포수협어민복지회관",공공용,제주특별자치도 서귀포시 성산읍 동류암로 36번길 5,,33.44966851,126.9161251,170.65,207,Y,태권도장,064-760-4253,성산읍,2021-06-30
"성산포수협신산지소",공공용,제주특별자치도 서귀포시 성산읍 일주동로 5113,,33.3803898,126.8764284,154,186,Y,사무실,064-760-4253,성산읍,2021-06-30
"성산농협신산지소",공공용,제주특별자치도 서귀포시 성산읍 일주동로 5114,,33.3804736,126.8758776,252.33,306,Y,창고,064-760-4253,성산읍,2021-06-30
"동명아파트",공공용,제주특별자치도 서귀포시 성산읍 고성동서로56번길 10,,33.44985779,126.9136208,722.49,876,Y,주차장,064-760-4253,성산읍,2021-06-30
"동부소방서",공공용,제주특별자치도 서귀포시 성산읍 일주동로4120번길 7,,33.460229,126.9096477,408.9,496,Y,사무실,064-760-4253,성산읍,2021-06-30
"안덕농협",공공용,제주특별자치도 서귀포시 안덕면 화순로 104,,33.24679952,126.3351814,449,544,Y,창고,064-760-4354,안덕면,2021-06-30
"산방도서관",공공용,제주특별자치도 서귀포시 안덕면 화순서서로 44,,33.2550127,126.3306509,187.7,228,Y,창고,064-760-4354,안덕면,2021-06-30
"표선면사무소",공공용,제주특별자치도 서귀포시 표선면 표선중앙로 74,,33.32667927,126.8310104,193,234,Y,체력단력실,064-760-4455,표선면,2021-06-30
"표선리사무소(복지회관)",공공용,제주특별자치도 서귀포시 표선면 표선동서로 234,,33.3247359,126.8323521,83,101,Y,창고,064-760-4455,표선면,2021-06-30
"표선해비치호텔&리조트",공공용,제주특별자치도 서귀포시 표선면 민속해안로 537,,33.32304283,126.8441927,7923,9604,Y,주차장,064-760-4455,표선면,2021-06-30
"뉴서울호텔",공공용,제주특별자치도 서귀포시 천지연로29번길 8,,33.2413732,126.5629877,211.57,256,Y,음식점,064-760-4511,송산동,2021-06-30
"백호빌딩",공공용,제주특별자치도 서귀포시 칠십리로91번길 20,,33.2412250142,126.5634928122,409.92,496,Y,주차장,064-760-4503,송산동,2021-06-30
"장원주상복합건물",공공용,제주특별자치도 서귀포시 칠십리로 145,,33.24437791,126.5689429,1679.35,2036,Y,주차장,064-760-4511,송산동,2021-06-30
"서귀포칼호텔",공공용,제주특별자치도 서귀포시 칠십리로 242,,33.24432465,126.5807935,6558.71,7950,Y,창고,064-760-4511,송산동,2021-06-30
"명지아파트",공공용,제주특별자치도 서귀포시 동부로12번길 9,,33.24680498,126.5699483,264.46,321,Y,주차장,064-760-4536,정방동,2021-06-30
"대림빌라",공공용,제주특별자치도 서귀포시 동부로12번길 6,,33.2460301,126.5701279,885.95,1074,Y,주차장,064-760-4536,정방동,2021-06-30
"디아일랜드블루호텔",공공용,제주특별자치도 서귀포시 태평로431번길 3,,33.2458191,126.5657778,1119.8,1357,Y,주차장,064-760-4536,정방동,2021-06-30
"더퍼스트70호텔",공공용,제주특별자치도 서귀포시 명동로 46,,33.24725224,126.5668712,4534.13,5496,Y,주차장,064-760-4536,정방동,2021-06-30
"선경오피스텔",공공용,제주특별자치도 서귀포시 중정로 123,,33.2488186,126.5694834,2788.35,3380,Y,주차장,064-760-4573,중앙동,2021-06-30
"태흥장호텔",공공용,제주특별자치도 서귀포시 중정로91번길 54,,33.2516861,126.5619963,312.58,379,Y,주차장,064-760-4573,중앙동,2021-06-30
"서귀포 중앙우체국",공공용,제주특별자치도 서귀포시 중정로 57,,33.24806117,126.5622583,360,436,Y,상황실.문서고,064-760-4573,중앙동,2021-06-30
"국민은행",공공용,제주특별자치도 서귀포시 중정로 55,,33.2478785,126.5622256,421.8,511,Y,주차장,064-760-4573,중앙동,2021-06-30
KT서귀포지점,공공용,제주특별자치도 서귀포시 중앙로42번길 7,,33.2486533,126.5623162,330,400,Y,주차장,064-760-4573,중앙동,2021-06-30
