"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"도두동주민센터",공공용,제주특별자치도 제주시 도두1길 9-1,,33.502892,126.4680923875,49,59,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"제주학생문화원",공공용,제주특별자치도 제주시 연삼로 489,,33.5012716092,126.5403630559,66,80,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"한경면사무소",공공용,제주특별자치도 제주시 한경면 두신로 84,,33.350167,126.1841057168,68.8,83,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"이호동주민센터",공공용,제주특별자치도 제주시 백포서길 9,,33.499814,126.458106,77.08,93,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"추자면사무소",공공용,제주특별자치도 제주시 추자면 추자로 26,,33.9635313351,126.296089,86.6,105,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"우도면사무소",공공용,제주특별자치도 제주시 우도면 우도로 153,,33.5064709731,126.9529776654,86.6,105,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"구좌농협",공공용,제주특별자치도 제주시 구좌읍 구좌로 81,,33.5212619564,126.8591816991,97.7,118,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"제원아파트 나동",공공용,제주특별자치도 제주시 신광로6길 13,,33.4877837455,126.4889734960,98,118,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"제주특별자치도청",공공용,제주특별자치도 제주시 문연로 6,,33.4882207230,126.4977224908,102,123,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"삼양동 주민센터",공공용,제주특별자치도 제주시 지석13길 6,,33.5218064121,126.5855868274,106.4,128,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"명신마을회관",공공용,제주특별자치도 제주시 명신1길 19,,33.500022,126.500914,122,147,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"하이제주",공공용,제주특별자치도 제주시 선반남2길 29,,33.512631,126.562642,121.9,147,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"양돈축협한림지소",공공용,제주특별자치도 제주시 한림읍 한림중앙로 37,,33.411447,126.265436,131,158,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"제주소방서",공공용,제주특별자치도 제주시 중앙로 342,,33.490861,126.536611,132.2,160,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"삼부장미아파트 나동",공공용,제주특별자치도 제주시 선사로6길 58,,33.5273423132,126.5910505359,132.2,160,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"이도2동사무소",공공용,제주특별자치도 제주시 오복3길 8,,33.497058,126.5353011571,135.5,164,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"제주종합경기장야구장",공공용,제주특별자치도 제주시 서광로2길 24,,33.4950621500,126.5187974581,148.8,180,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"화북시장아파트",공공용,제주특별자치도 제주시 진동로5길 31,,33.5218055745,126.566378,158.7,192,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"진영빌라",공공용,제주특별자치도 제주시 용화로 35,,33.509972,126.507283,160,193,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"용화빌라",공공용,제주특별자치도 제주시 용화로 5,,33.510106,126.5041008828,165.28,200,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"동명리사무소",공공용,제주특별자치도 제주시 한림읍 한림중앙로 62,,33.4092792356,126.265497,168.8,204,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"진영연립",공공용,제주특별자치도 제주시 용화로 37,,33.509939,126.507531,177.96,215,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"화북교회",공공용,제주특별자치도 제주시 진남로6길 31,,33.5216175327,126.5652046177,181.2,219,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"제주지방법원",공공용,제주특별자치도 제주시 남광북5길 3,,33.4940945564,126.535614,185,224,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"한영운수",공공용,제주특별자치도 제주시 선반로10길 22,,33.513522,126.5664850546,185,224,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"서원그린빌",공공용,제주특별자치도 제주시 전농로 3,,33.504644,126.513681,190.9,231,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
YMCA신협,공공용,제주특별자치도 제주시 서사로 12-1,,33.511264,126.5193073959,191.74,232,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"퍼펙트당구장",공공용,제주특별자치도 제주시 용담로 121,,33.510117,126.514708,192.14,232,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"원신사라맨션",공공용,제주특별자치도 제주시 임항로 252-14,,33.518372,126.538117,191.7,232,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"김시호씨 소유 개인주택",공공용,제주특별자치도 제주시 조천읍 신북로 509,,33.5423850813,126.664411,195.04,236,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"보림아파트",공공용,제주특별자치도 제주시 진남로8길 20,,33.520828,126.567339,195,236,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"동방운수",공공용,제주특별자치도 제주시 선반로2길 5-3,,33.514344,126.560014,198.3,240,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"삼부빌라",공공용,제주특별자치도 제주시 진서로6길 17,,33.522364,126.5645852658,198,240,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"돌문화공원관리사무소",공공용,제주특별자치도 제주시 조천읍 남조로 2023,,33.4513637573,126.6567108939,200,242,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"상하수도본부",공공용,제주특별자치도 제주시 조천읍 중산간동로 601,,33.4995583353,126.6501371572,200,242,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"노형맨션",공공용,제주특별자치도 제주시 정존3길 12,,33.483003,126.473342,200,242,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"하와이관광호텔",공공용,제주특별자치도 제주시 사장3길 32,,33.483119,126.4914797426,204.05,247,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"농협서사라지점",공공용,제주특별자치도 제주시 서사로 56,,33.5075648514,126.5196722445,205,248,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"성화연립",공공용,제주특별자치도 제주시 성화로1길 5-2,,33.5103341562,126.504017,211.85,256,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
"인구보건복지협회 제주지회",공공용,제주특별자치도 제주시 신대로13길 21,,33.487825,126.498881,213.12,258,Y,,064-728-3783,제주특별자치도 제주시청,2020-06-29
