"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"해미르 아파트(전동지하)",공공용,충청남도 계룡시 신도안면 신도안3길 55,충청남도 계룡시 신도안면 남서리 1340번지,36.2979111,127.2423007,10909,9000,Y,주차장,042-551-1514,계룡시청,2019-06-24
"엄사상점가 공영주차장(지하)",공공용,충청남도 계룡시 엄사면 번영1길 5-17,충청남도 계룡시 엄사면 엄사리 181번지 1호,36.2891123204,127.242826949,4242,3500,Y,주차장,042-840-2263,계룡시청,2019-06-24
"계룡포스코 더샵아파트(전동지하)",공공용,충청남도 계룡시 두마면 사계로 101,충청남도 계룡시 두마면 두계리 67번지,36.2679501,127.2710869,4000,3300,Y,주차장,042-840-9707,계룡시 아파트 관리사무소,2019-06-24
"대림e편한세상아파트(전동지하)",공공용,충청남도 계룡시 두마면 사계로 51,충청남도 계룡시 두마면 두계리 116번지,36.269825,127.2651129,4848,4000,Y,주차장,042-551-0880,계룡시 아파트 관리사무소,2019-06-24
"삼진아파트(지하주차장)",공공용,충청남도 계룡시 엄사면 번영3길 73-12,충청남도 계룡시 엄사면 엄사리 226번지 4호,36.2815913,127.2385390,3636,3000,Y,주차장,042-841-6895,계룡시 아파트 관리사무소,2019-06-24
"대동황토방아파트(전동지하)",공공용,충청남도 계룡시 엄사면 번영3길 91,충청남도 계룡시 엄사면 유동리 14번지 6호,36.2803316,127.2377309,7272,6000,Y,주차장,042-541-2166,계룡시 아파트 관리사무소,2019-06-24
"금암지하보도",공공용,충청남도 계룡시 엄사면,충청남도 계룡시 금암동 482번지,36.163263,127.151221,242,200,Y,지하보도,042-840-2263,계룡시청,2019-06-24
"엄사네거리 문화쉼터(엄사지하보도)",공공용,충청남도 계룡시 엄사면,충청남도 계룡시 엄사면 엄사리 575번지,36.171848,127.143029,242,200,Y,지하보도,042-840-2263,계룡시청,2019-06-24
"우림루미아트아파트(전동지하)",공공용,충청남도 계룡시 장안로 75,충청남도 계룡시 금암동 167번지 1호,36.2703542,127.2483032,3393,2800,Y,주차장,042-840-0993,계룡시 아파트 관리사무소,2019-06-24
"신성 미소지움2차 아파트(진동지하)",공공용,충청남도 계룡시 대실남북로 36,충청남도 계룡시 금암동 74번지,36.2663042783,127.2569829204,3393,2800,Y,주차장,042-840-5522,계룡시 아파트 관리사무소,2019-06-24
"신성 미소지움1차 아파트(진동지하)",공공용,충청남도 계룡시 장안1길 9,충청남도 계룡시 금암동 190번지,36.2715744023,127.2467301730,3272,2700,Y,주차장,042-840-7001,계룡시 아파트 관리사무소,2019-06-24
