"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"공주대(자연과학대)",공공용,충청남도 공주시 공주대학로 56 (신관동),충청남도 공주시 신관동 182번지,36.4668497858,127.1386689374,802,972,Y,"회의, 교육",041-840-8656,공주시,2019-09-25
"공주대(중앙도서관)",공공용,충청남도 공주시 공주대학로 56 (신관동),충청남도 공주시 신관동 182번지,36.4668497858,127.1386689374,513,621,Y,"독서, 전시",041-840-8656,공주시,2019-09-25
"공주대(인사대)",공공용,충청남도 공주시 공주대학로 56 (신관동),충청남도 공주시 신관동 182번지,36.4668497858,127.1386689374,1518,1839,Y,"회의, 교육",041-840-8656,공주시,2019-09-25
"공주금강홍수통제소",공공용,"충청남도 공주시 금벽로 551 (신관동, 금강홍수통제소)",충청남도 공주시 신관동 112번지 7호,36.4611659036,127.1442012384,246,298,Y,기타,041-840-8656,공주시,2019-09-25
"민방위상설교육장",공공용,충청남도 공주시 백미고을길 9-8 (금성동),충청남도 공주시 금성동 182번지 2호,36.4650114821,127.122125,660,800,Y,교육장,041-840-8656,공주시,2019-09-25
"새뜸현대아파트",공공용,"충청남도 공주시 신금1길 72 (신관동, 새뜸현대3차아파트)",충청남도 공주시 신관동 1번지 22호,36.4766759683,127.1477515801,6165,7472,Y,지하주차장,041-840-8656,공주시,2019-09-25
"한아름아파트",공공용,"충청남도 공주시 의당로 3-8 (신관동, 유진한아름아파트)",충청남도 공주시 신관동 475번지 2호,36.4726004698,127.1278471067,975,1182,Y,지하주차장,041-840-8656,공주시,2019-09-25
"신관주공4단지아파트",공공용,"충청남도 공주시 신금2길 48 (신관동, 주공4단지아파트)",충청남도 공주시 신관동 19번지,36.4729069535,127.1436159934,6264,7593,Y,지하주차장,041-840-8656,공주시,2019-09-25
"비둘기(동진비둘기)아파트",공공용,충청남도 공주시 유구읍 창말길 34 (동진비둘기 아파트),충청남도 공주시 유구읍 648번지 14호,36.55362097,126.956698,1407,1700,Y,지하주차장,041-840-8656,공주시,2019-09-25
"삼성생명",공공용,"충청남도 공주시 웅진로 186 (산성동, 삼성생명)",충청남도 공주시 산성동 120번지 1호,36.4569230942,127.1251484785,1819,2204,Y,지하주차장,041-840-8656,공주시,2019-09-25
"대전지방법원 공주지원",공공용,"충청남도 공주시 한적2길 34-15 (금흥동, 대전지방법원 공주지원)",충청남도 공주시 금흥동 610번지 1호,36.4782577744,127.1423403849,278,336,Y,지하주차장,041-840-8656,공주시,2019-09-25
