"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"금산군청",공공용,충청남도 금산군 금산읍 군청길13,,36.10888851,127.4880058,829,1004,Y,구내식당,041-750-2883,금산군,2020-09-25
"금산인삼관",공공용,충청남도 금산군 금산읍 인삼광장로30,,36.1000256,127.5007304,1030,1248,Y,창고,041-750-2883,금산군,2020-09-25
"금산보건소",공공용,충청남도 금산군 금산읍 금산로1559,,36.11206754,127.4916373,336,407,Y,창고,041-750-2883,금산군,2020-09-25
"금산교육지원청",공공용,충청남도 금산군 금산읍 인삼로14,,36.10359435,127.4832289,250,303,Y,창고,041-750-2883,금산군,2020-09-25
"주공1단지아파트",공공용,충청남도 금산군 금산읍 비호산로5,,36.11078929,127.487751,2958,3586,Y,지하주차장,041-750-2883,금산군,2020-09-25
"대원칸다빌아파트",공공용,충청남도 금산군 금산읍 사직로150,,36.11064387,127.4792937072,16133,19555,Y,지하주차장,041-750-2883,금산군,2020-09-25
"대신아파트",공공용,충청남도 금산군 금산읍 금산로 1379,,36.09694524,127.4863905,775,939,Y,지하주차장,041-750-2883,금산군,2020-09-25
"대화아파트",공공용,충청남도 금산군 금산읍 방아동2길30,,36.09673482,127.487562,1726,2092,Y,지하주차장,041-750-2883,금산군,2020-09-25
"낙원아파트(101동)",공공용,충청남도 금산군 금산읍 약초로18,,36.09851685,127.4960436,752,911,Y,지하주차장,041-750-2883,금산군,2020-09-25
"낙원아파트(201동)",공공용,충청남도 금산군 금산읍 약초로20,,36.09864502,127.4964309,404,489,Y,지하주차장,041-750-2883,금산군,2020-09-25
"대원산마루아파트",공공용,충청남도 금산군 금산읍 동산3길27,,36.09793597,127.4926686,1900,2303,Y,지하주차장,041-750-2883,금산군,2020-09-25
"농협중앙회금산군지부",공공용,충청남도 금산군 금산읍 인삼로84,,36.10265532,127.4907613,481,583,Y,지하주차장,041-750-2883,금산군,2020-09-25
