"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"천년나무아파트2단지",공공용,충청남도 당진시 석문면 해명1로 200,충청남도 당진시 석문면 통정리 1733,36.9810551787,126.5875955867,8625,10454,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"롯데캐슬아파트",공공용,충청남도 당진시 송악읍 반촌로 108 (당진롯데캐슬),충청남도 당진시 송악읍 반촌리 987,36.9038726767,126.6953627958,9507,11523,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"힐스테이트1차아파트",공공용,충청남도 당진시 송악읍 틀모시로 738 (힐스테이트당진1차),충청남도 당진시 송악읍 기지시리 510,36.9012344231,126.6940179146,9853,11943,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"신평미소지움아파트",공공용,충청남도 당진시 신평면 거산3거리길 74-32 (신평신성미소지움아파트),충청남도 당진시 신평면 거산리 873,36.8821180470,126.7587498729,9230,11187,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"이안아파트",공공용,충청남도 당진시 무수동7길 78 (이안아파트),충청남도 당진시 읍내동 1096,36.8895511617,126.6407017055,9033,10949,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"푸르지오2차아파트",공공용,충청남도 당진시 북문로 16 (당진2차푸르지오),충청남도 당진시 읍내동 1486,36.9003119886,126.6272368850,9264,11229,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"신평코아루아파트",공공용,충청남도 당진시 신평면 거산3거리길 74-11 (당진신평코아루아파트),충청남도 당진시 신평면 거산리 875,36.8838202647,126.7574432983,1594,1932,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"풍림아이원아파트",공공용,충청남도 당진시 신평면 솔안말길 21 (당진 신평 풍림아이원),충청남도 당진시 신평면 거산리 880,36.8819582327,126.7581491371,1636,1983,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"리가아파트",공공용,충청남도 당진시 신평면 신평로 792 (당진신평LIG리가아파트),충청남도 당진시 신평면 금천리 1642,36.8828457557,126.7770092984,2534,3071,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"하늘채아파트",공공용,"충청남도 당진시 무수동7길 124 (읍내동, 하늘채아파트)",충청남도 당진시 읍내동 1061,36.8912599917,126.6408193436,1054,1277,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"당진푸르지오1차아파트",공공용,"충청남도 당진시 북문로 15 (읍내동, 당진1차푸르지오)",충청남도 당진시 읍내동 1451,36.8994578573,126.6249791561,7692,9323,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"당진시청",공공용,"충청남도 당진시 시청1로 1 (수청동, 당진시청)",충청남도 당진시 수청동 1002,36.8897399814,126.6459689074,131,158,Y,회의실,041-350-3281,충청남도 당진시,2020-06-30
"송악이편한세상아파트",공공용,충청남도 당진시 송악읍 반촌로 103 (송악e편한세상),충청남도 당진시 송악읍 반촌리 690,36.9044849074,126.6951628824,2795,3387,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"천년나무아파트1단지",공공용,충청남도 당진시 석문면 해명1로 199 (LH천년나무1단지아파트),충청남도 당진시 석문면 통정리 1725,36.9813278421,126.5851635851,8713,10561,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"순성농협",공공용,충청남도 당진시 순성면 순성로 495 (순성농협),충청남도 당진시 순성면 봉소리 90-2,36.8429214775,126.7138479649,89,107,N,지하창고,041-350-3281,충청남도 당진시,2020-06-30
"대희지센트아파트",공공용,충청남도 당진시 신평면 덕평로 1406-14 (당진대희지센트아파트),충청남도 당진시 신평면 거산리 178,36.8803415265,126.7519625064,673,815,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"우민늘사랑아파트",공공용,"충청남도 당진시 서해로 6216 (시곡동, 우민늘사랑아파트)",충청남도 당진시 시곡동 136-1,36.9017175902,126.6764005705,9265,11230,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"당진 엠코아파트",공공용,"충청남도 당진시 송산면 유곡로 20, 101동 (당진엠코타운)",충청남도 당진시 송산면 유곡리 861,36.9647642091,126.6868780803,6455,7824,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"당진종합운동장",공공용,충청남도 당진시 고대면 고대로 33 (당진종합운동장 관리사무소 지하),충청남도 당진시 고대면 진관리 349-20,36.9224421367,126.6015047830,596,722,Y,지하실,041-350-3281,충청남도 당진시,2020-06-30
"송악신성미소지움아파트",공공용,충청남도 당진시 송악읍 신복운로3길 28 (신성당진미소지움아파트),충청남도 당진시 송악읍 복운리 1629-3,36.9386574236,126.7817006685,1485,1800,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"홍인아이리스아파트",공공용,충청남도 당진시 합덕읍 운산로 116 (홍인아이리스아파트),충청남도 당진시 합덕읍 운산리 926-1,36.8058762170,126.7690209027,495,600,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"합덕도서관",공공용,충청남도 당진시 합덕읍 면천로 1578-1 (당진시립합덕도서관),충청남도 당진시 합덕읍 운산리 678-17,36.8115548156,126.7607197343,329,398,Y,지하실,041-350-3281,충청남도 당진시,2020-06-30
"삼성쉐르빌아파트",공공용,"충청남도 당진시 대호만로 23-13 (채운동, 삼성쉐르빌)",충청남도 당진시 채운동 1117,36.8968250630,126.6210652928,8789,10653,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"부경1차아파트",공공용,"충청남도 당진시 당진중앙2로 331-0 (원당동, 파크빌아파트)",충청남도 당진시 원당동 1226,36.8979442044,126.6401911473,6402,7760,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"남산공원휴먼빌아파트",공공용,"충청남도 당진시 무수동옛길 99 (읍내동, 남산공원휴먼빌아파트)",충청남도 당진시 읍내동 1448,36.8914253225,126.6359273084,7285,8830,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"대동다숲아파트",공공용,"충청남도 당진시 대호만로 30-17 (채운동, 대동다:숲아파트)",충청남도 당진시 채운동 1120,36.8990321546,126.6225802456,2670,3236,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"송산중명아파트",공공용,충청남도 당진시 송산면 송산로 809 (송산중명아파트),충청남도 당진시 송산면 유곡리 219-10,36.9588611886,126.6955346377,1330,1612,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"대상아파트",공공용,충청남도 당진시 송산면 송산로 164 (대상아파트),충청남도 당진시 송산면 금암리 11,36.9219436955,126.6603336146,4514,5471,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"페럼빌",공공용,충청남도 당진시 송산면 송산로 125 (페럼빌),충청남도 당진시 송산면 금암리 36-1,36.9228088142,126.6528776454,831,1007,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"합덕읍사무소",공공용,충청남도 당진시 합덕읍 예덕로 403 (합덕읍사무소),충청남도 당진시 합덕읍 운산리 675-172,36.8099070088,126.7640375386,112,135,Y,교육장,041-350-3281,충청남도 당진시,2020-06-30
"목화아파트",공공용,"충청남도 당진시 계성3길 56-23 (읍내동, 목화아파트)",충청남도 당진시 읍내동 310-10,36.9004161902,126.6340894326,500,606,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"벽산아파트",공공용,"충청남도 당진시 계성2길 51 (읍내동, 벽산아파트)",충청남도 당진시 읍내동 283,36.8977782165,126.6307317146,2092,2535,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"청구아파트",공공용,"충청남도 당진시 원당골길 31(원당동, 당진청구아파트)",충청남도 당진시 원당동 312,36.9076898481,126.6558142110,4777,5790,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"한중아파트",공공용,"충청남도 당진시 서부로 271 (채운동, 한중아파트)",충청남도 당진시 채운동 276-9,36.8952800070,126.6225807709,1313,1591,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"순성세안아파트",공공용,충청남도 당진시 순성면 순성로 454 (세안근로자복지아파트),충청남도 당진시 순성면 봉소리 205,36.8411021973,126.7097783670,99,120,Y,지하실,041-350-3281,충청남도 당진시,2020-06-30
"동부제강사원아파트",공공용,충청남도 당진시 송악읍 신평로 1469 (동부제강(주)사원임대아파트),충청남도 당진시 송악읍 중흥리 886,36.9316791841,126.7437146836,1280,1551,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
"수웅누리아파트",공공용,충청남도 당진시 송악읍 송악로 520 (수웅누리아파트),충청남도 당진시 송악읍 석포리 318-3,36.9321825852,126.7301493273,909,1101,Y,주차장,041-350-3281,충청남도 당진시,2020-06-30
