"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"머드린호텔",공공용,충청남도 보령시 해수욕장8길 28,충청남도 보령시 신흑동 2270-2,36.3137341,126.5121559,2858,3464,Y,주차장,041-930-4985,대천5동,2021-06-10
"한화리조트 대천파로스",공공용,충청남도 보령시 해수욕장3길 11-10,충청남도 보령시 신흑동 2017,36.3055158131,126.5198207055,3698,4482,Y,주차장,041-930-4985,대천5동,2021-06-10
"더퍼스트예미지아파트",공공용,충청남도 보령시 주공로 100,충청남도 보령시 명천동 1114,36.3388701669,126.6081915874,13488,16349,Y,주차장,041-930-4955,대천4동,2021-06-10
SK뷰아파트,공공용,충청남도 보령시 현충탑길 65,충청남도 보령시 궁촌동 369,36.3426132591,126.5986499008,4163,5046,Y,주차장,041-930-4955,대천4동,2021-06-10
"정은스카이빌아파트",공공용,충청남도 보령시 명천중앙길 20,충청남도 보령시 명천동 1008,36.3443563962,126.6022057035,5471,6632,Y,주차장,041-930-4955,대천4동,2021-06-10
"코아루아파트",공공용,충청남도 보령시 주공로 99,충청남도 보령시 명천동 1010,36.3406577162,126.6087619714,11400,13818,Y,주차장,041-930-4955,대천4동,2021-06-10
"보령시청",공공용,충청남도 보령시 성주산로 77,충청남도 보령시 명천동 269-4,36.3335756325,126.6127721900,544,659,Y,회의실/식당,041-930-4955,대천4동,2021-06-10
"명천주공5차아파트",공공용,충청남도 보령시 주공로 65,충청남도 보령시 명천동 389,36.34269119,126.6080673621,2512,3045,Y,주차장,041-930-4955,대천4동,2021-06-10
e편한세상보령,공공용,충청남도 보령시 한내로터리길 170,충청남도 보령시 동대동 1981,36.3529873307,126.6172172,16807,20372,Y,주차장,041-930-4924,대천3동,2021-06-10
"센트럴파크 새미래에뜨젠",공공용,충청남도 보령시 한내로터리길 165,충청남도 보령시 동대동 1979,36.35344492,126.6164833,16230,19673,Y,주차장,041-930-4924,대천3동,2021-06-10
"한성필하우스아파트",공공용,충청남도 보령시 한내로터리길 130,충청남도 보령시 동대동 1970,36.35052751,126.614987,11410,13830,Y,주차장,041-930-4924,대천3동,2021-06-10
"휴먼시아 3단지 주공아파트",공공용,충청남도 보령시 한내로터리길 92,충청남도 보령시 동대동 1966,36.3473650191,126.6113682455,2389,2896,Y,주차장,041-930-4924,대천3동,2021-06-10
"광명샤인빌아파트",공공용,충청남도 보령시 한내로터리길 119-11,충청남도 보령시 동대동 1963,36.35059502,126.6131125945,3434,4162,Y,주차장,041-930-4924,대천3동,2021-06-10
"동대동 현대아파트",공공용,충청남도 보령시 동현로 46,충청남도 보령시 동대동 339-1,36.34962492,126.6113485,1514,1835,Y,주차장,041-930-4924,대천3동,2021-06-10
"라온프라이빗",공공용,충청남도 보령시 대관초등길 100,충청남도 보령시 대천동 1482,36.3565603167,126.5841905342,7392,8960,Y,주차장,041-930-4894,대천2동,2021-06-10
"동부아파트",공공용,충청남도 보령시 중앙로 180,충청남도 보령시 대천동 372-1,36.3538119494,126.5851326254,4785,5800,Y,주차장,041-930-4894,대천2동,2021-06-10
"흥화아파트",공공용,충청남도 보령시 보령북로 195,충청남도 보령시 대천동 503-17,36.3579774311,126.5853892783,6523,7907,Y,주차장,041-930-4894,대천2동,2021-06-10
"아남아파트",공공용,충청남도 보령시 봉산1길 88,충청남도 보령시 대천동 137-70,36.3546267395,126.5994051,1985,2406,Y,주차장,041-930-4863,대천1동,2021-06-10
"태영아파트",공공용,충청남도 보령시 천변북길 3,충청남도 보령시 대천동 288-36,36.34566349,126.5917914,1254,1520,Y,주차장,041-930-4863,대천1동,2021-06-10
"시티타워",공공용,충청남도 보령시 원동1길 69,충청남도 보령시 대천동 618-34,36.3508026725,126.5992367461,7163,8682,Y,주차장,041-930-4863,대천1동,2021-06-10
"대우아파트",공공용,충청남도 보령시 봉황로 116,충청남도 보령시 죽정동 743,36.3593454231,126.5947969140,2069,2508,Y,주차장,041-930-4863,대천1동,2021-06-10
"성지리벨루스아파트",공공용,충청남도 보령시 지장골길 78,충청남도 보령시 죽정동 775-1,36.3620534943,126.6018222,3397,4118,Y,주차장,041-930-4863,대천1동,2021-06-10
"부경파크빌아파트",공공용,충청남도 보령시 지장골길 160,충청남도 보령시 죽정동 789,36.3629373640,126.5993538104,3471,4207,Y,주차장,041-930-4863,대천1동,2021-06-10
"죽정동 현대아파트",공공용,충청남도 보령시 현대로 26,충청남도 보령시 죽정동 675-5,36.3607723,126.6031543,1094,1326,Y,주차장,041-930-4863,대천1동,2021-06-10
"보령아산병원",공공용,충청남도 보령시 죽성로 136,충청남도 보령시 죽정동 1,36.3811494565,126.6228444599,834,1011,Y,주차장/식당,041-930-4863,대천1동,2021-06-10
"비체팰리스",공공용,충청남도 보령시 웅천읍 열린바다1길 78,충청남도 보령시 웅천읍 독산리 784-1,36.2392238243,126.5313054825,3736,4528,Y,주차장,041-930-4514,웅천읍,2021-06-10
