"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"국립부여박물관",공공용,"충청남도 부여군 부여읍 금성로 5, 국립부여박물관",충청남도 부여군 부여읍 동남리 16-1,36.27627721,126.9169766,331,401,Y,기계실,041-830-2333,충청남도 부여군청,2021-07-15
"부여우체국",공공용,"충청남도 부여군 부여읍 사비로 82, 부여우체국",충청남도 부여군 부여읍 구아리 259,36.27981469,126.9111294,256,310,Y,창고,041-830-2333,충청남도 부여군청,2021-07-15
"부여교육지원청",공공용,"충청남도 부여군 부여읍 금성로 69-10, 부여교육청",충청남도 부여군 부여읍 가탑리 413-4,36.27203775,126.9212686,458.09,555,Y,체력단련실,041-830-2333,충청남도 부여군청,2021-07-15
kt부여지사,공공용,"충청남도 부여군 부여읍 석탑로 33, KT부여지사",충청남도 부여군 부여읍 구아리 279,36.27948012,126.9126574,1140.86,1383,Y,주차장,041-830-2333,충청남도 부여군청,2021-07-15
"백제관광호텔",공공용,충청남도 부여군 부여읍 북포로 108,충청남도 부여군 부여읍 쌍북리 433,36.29149257,126.9218196,1152,1396,Y,지하식당,041-830-2333,충청남도 부여군청,2021-07-15
"금성빌딩",공공용,충청남도 부여군 부여읍 사비로100번길 12,충청남도 부여군 부여읍 구아리 209-1,36.28155667,126.9117173,547.38,663,Y,주차장,041-830-2333,충청남도 부여군청,2021-07-15
"여성문화회관",공공용,"충청남도 부여군 부여읍 사비로 32, 여성문화회관",충청남도 부여군 부여읍 동남리 692-1,36.27552009,126.9105611,330.53,401,Y,체력단련실,041-830-2333,충청남도 부여군청,2021-07-15
"부여군청 본관",공공용,"충청남도 부여군 부여읍 사비로 33, 부여군청",충청남도 부여군 부여읍 동남리 725,36.27573488,126.9097728,144,174,Y,지하식당,041-830-2333,충청남도 부여군청,2021-07-15
"부여읍사무소",공공용,"충청남도 부여군 부여읍 사비로 36, 부여읍사무소",충청남도 부여군 부여읍 동남리 692,36.27587398,126.9107972,329,398,Y,지하창고,041-830-2333,충청남도 부여군청,2021-07-15
"부여축협",공공용,충청남도 부여군 부여읍 성왕로 197,충청남도 부여군 부여읍 구아리 346-14,36.28207539,126.9094127,210.98,255,Y,주차장,041-830-2333,충청남도 부여군청,2021-07-15
"부여장로교회",공공용,충청남도 부여군 부여읍 성왕로 239-7,충청남도 부여군 부여읍 관북리 81-6,36.28373454,126.9137574,742.05,899,Y,교육관,041-830-2333,충청남도 부여군청,2021-07-15
"부여제일교회",공공용,충청남도 부여군 부여읍 반월로 11,충청남도 부여군 부여읍 구아리 132-1,36.28335956,126.9093778,435.5,528,Y,교육관,041-830-2333,충청남도 부여군청,2021-07-15
"부여관광유스텔",공공용,충청남도 부여군 부여읍 백제문화로 33,충청남도 부여군 부여읍 석목리 175,36.29149257,126.9218196,328.86,398,Y,지하식당,041-830-2333,충청남도 부여군청,2021-07-15
"군민회관",공공용,"충청남도 부여군 부여읍 사비로 41, 부여군민회관",충청남도 부여군 부여읍 동남리 722-3,36.27646618,126.9103485,469.35,568,Y,지하창고,041-830-2333,충청남도 부여군청,2021-07-15
"부여문화원",공공용,충청남도 부여군 부여읍 의열로 43,충청남도 부여군 부여읍 동남리 9-9,36.27861969,126.9177184,1565.46,1896,Y,소강당및다목적홀,041-830-2333,충청남도 부여군청,2021-07-15
"홍선아파트",공공용,충청남도 부여군 부여읍 성왕로328번길 18-7,충청남도 부여군 부여읍 쌍북리 734,36.28227869,126.9230309,4129.58,5006,Y,주차장,041-830-2333,충청남도 부여군청,2021-07-15
"강산아파트",공공용,"충청남도 부여군 규암면 흥수로 646, 강산아파트",충청남도 부여군 규암면 합송리 500,36.26847977,126.8536677,4833,5858,Y,주차장,041-830-2333,충청남도 부여군청,2021-07-15
"무지개 아파트",공공용,"충청남도 부여군 규암면 흥수로 771-5, 무지개아파트",충청남도 부여군 규암면 반산리 321,36.27293794,126.8667531,3300,4000,Y,주차장,041-830-2333,충청남도 부여군청,2021-07-15
"홍산비홍 아파트",공공용,"충청남도 부여군 홍산면 홍산시장로 14, 홍산덕암비홍아파트",충청남도 부여군 홍산면 남촌리 91-10,36.21148315,126.7598986,302,366,Y,주차장,041-830-2333,충청남도 부여군청,2021-07-15
"롯데부여리조트",공공용,"충청남도 부여군 규암면 백제문로 400, 롯데부여리조트",충청남도 부여군 규암면 합정리 578,36.30365775,126.9022677,11655,14127,Y,주차장,041-830-2333,충청남도 부여군청,2021-07-15
"부여군청 신관",공공용,"충청남도 부여군 부여읍 사비로 33, 부여군청",충청남도 부여군 부여읍 동남리 725,36.2755826,126.9098014,189,229,Y,주차장,041-830-2333,충청남도 부여군청,2021-07-15
"부여보건소",공공용,"충청남도 부여군 부여읍 성왕로 205, 부여군 보건소",충청남도 부여군 부여읍 구아리 136,36.28316184,126.910096,337.71,409,Y,기계실,041-830-2333,충청남도 부여군청,2021-07-15
"지하도",공공용,"충청남도 부여군 부여읍 계백로 238-6, 궁남초등학교",충청남도 부여군 부여읍 동남리 214-4,36.27569489,126.9064011,100,121,Y,지하보도,041-830-2333,충청남도 부여군청,2021-07-15
