"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"한화토탈성화생활관",공공용,충청남도 서산시 대산읍 망일산로812,충청남도 서산시 대산읍 대산리 90-1,36.9427247928,126.4390211186,1431,1735,Y,기타,041-660-2264,서산시청,2021-07-15
"엘지사원아파트",공공용,충청남도 서산시 대산읍 명지1로 259-14,충청남도 서산시 대산읍 기은리 598-63,36.9757684908,126.3864758092,5924,7180,Y,기타,041-660-2264,서산시청,2021-07-15
"휴먼시아아파트",공공용,충청남도 서산시 대산읍 망일산로 834-6,충청남도 서산시 대산읍 대산리 1437,36.9417434821,126.4379272891,1417,1717,Y,주차장,041-660-2264,서산시청,2021-07-15
"롯데케미칼사원아파트",공공용,충청남도 서산시 대산읍 물안1로 123,충청남도 서산시 대산읍 대로리 89-91,36.9679006261,126.4249902113,3074,3726,Y,기타,041-660-2264,서산시청,2021-07-15
"현대오일뱅크사원아파트",공공용,충청남도 서산시 대산읍 평신2로 26,충청남도 서산시 대산읍 화곡리 987-1,36.9929642621,126.4148179921,1246,1510,Y,주차장,041-660-2264,서산시청,2021-07-15
"한성필하우스아파트",공공용,충청남도 서산시 대산읍 정자동2로 16,충청남도 서산시 대산읍 대산리 1550,36.9399939472,126.4286927867,29886,36225,Y,주차장,041-660-2264,서산시청,2021-07-15
"서산시청",정부지원,충청남도 서산시 관아문길 1,충청남도 서산시 읍내동 492,36.7839636029,126.4495036128,1386,1680,Y,기타,041-660-2264,서산시청,2021-07-15
"부영아파트",공공용,충청남도 서산시 부춘1로 19,충청남도 서산시 읍내동 624-5,36.7843701214,126.4442971270,4316,5231,Y,주차장,041-660-2264,서산시청,2021-07-15
"동신아파트",공공용,충청남도 서산시 부춘2로 47,충청남도 서산시 읍내동 624-1,36.7860411776,126.4429786766,992,1202,Y,주차장,041-660-2264,서산시청,2021-07-15
"대림아파트",공공용,충청남도 서산시 부춘2로 47,충청남도 서산시 읍내동 624-1,36.7860411776,126.4429786766,1504,1823,Y,주차장,041-660-2264,서산시청,2021-07-15
"세창리베하우스아파트",공공용,충청남도 서산시 갓고개길 14,충청남도 서산시 갈산동 192,36.7867974549,126.4322634626,4091,4958,Y,기타,041-660-2264,서산시청,2021-07-15
"읍내동 현대아파트",공공용,충청남도 서산시 호수공원6로 19,충청남도 서산시 읍내동 55,36.7761607618,126.4458737573,13243,16051,Y,주차장,041-660-2264,서산시청,2021-07-15
"코아루아파트",공공용,충청남도 서산시 고운로 275-14,충청남도 서산시 동문동 71-1,36.7870637855,126.4642317599,5586,6770,Y,주차장,041-660-2264,서산시청,2021-07-15
"기산아파트",공공용,충청남도 서산시 대사동10로 22,충청남도 서산시 동문동 872-31,36.7853429666,126.4569234121,1495,1812,Y,기타,041-660-2264,서산시청,2021-07-15
"보령훼미리아파트",공공용,충청남도 서산시 서령로 42,충청남도 서산시 동문동 857,36.7862610074,126.4554641211,1825,2212,Y,주차장,041-660-2264,서산시청,2021-07-15
"신한미지엔아파트",공공용,충청남도 서산시 서령로 157,충청남도 서산시 동문동 1262,36.7936225789,126.4623202646,3816,4625,Y,주차장,041-660-2264,서산시청,2021-07-15
"현진에버빌아파트",공공용,충청남도 서산시 향교4로 8-13,충청남도 서산시 동문동 1257,36.7928159568,126.4564814401,12199,14786,Y,주차장,041-660-2264,서산시청,2021-07-15
"동아더프라임아파트",공공용,충청남도 서산시 안견로 91,충청남도 서산시 동문동 600,36.7904544160,126.4549604186,15410,18678,Y,주차장,041-660-2264,서산시청,2021-07-15
"동문동 한성필하우스",공공용,충청남도 서산시 서령로 36,충청남도 서산시 동문동 1266,36.7858019630,126.4548690175,349,423,Y,주차장,041-660-2264,서산시청,2021-07-15
"현대아파트",공공용,충청남도 서산시 율지6로 29,충청남도 서산시 동문동 137-2,36.7800225135,126.4627233388,1286,1558,Y,주차장,041-660-2264,서산시청,2021-07-15
"한정형외과",공공용,충청남도 서산시 율지8로 4,충청남도 서산시 동문동 306-1,36.7818445662,126.4597433240,221,268,Y,주차장,041-660-2264,서산시청,2021-07-15
"서인크리닉",공공용,충청남도 서산시 안견로 191,충청남도 서산시 동문동 294-1,36.7813631362,126.4596308709,397,480,Y,주차장,041-660-2264,서산시청,2021-07-15
