"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"신흥아파트지하주차장 비상대피시설",공공용,충청남도 서천군 장항읍 신창서로 81 (신흥아파트),충청남도 서천군 장항읍 화천리 303-7,36.01670016,126.6863269,2138,2591,Y,,,서천군청,2021-07-13
"정원아파트지하주차장 대피시설",공공용,충청남도 서천군 서천읍 사곡로75번길 7 (정원아파트),충청남도 서천군 서천읍 사곡리 117-3,36.0845669,126.6909206,1203,1458,Y,,,서천군청,2021-07-13
"문예의 전당",공공용,충청남도 서천군 서천읍 서천로14번길 20 (문예의전당),충청남도 서천군 서천읍 군사리 176-1,36.076309,126.698383,279,338,Y,,,서천군청,2021-07-13
"한솔제지 장항공장비상대피시설",공공용,충청남도 서천군 장항읍 장산로 149,충청남도 서천군 장항읍 신창리 399,36.01045188,126.6766301,726,880,Y,,,서천군청,2021-07-13
"금강아파트",공공용,충청남도 서천군 장항읍 성화로 194 (금강아파트),,36.014892,126.7050458,1387,1681,Y,,,서천군청,2021-07-13
"서천우체국 비상대피시설",공공용,충청남도 서천군 서천읍 서천로 59 (서천우체국),충청남도 서천군 서천읍 군사리 598-1,36.076246,126.692959,544,659,Y,,,서천군청,2021-07-13
KT 서천지점대피시설,공공용,충청남도 서천군 서천읍 사곡안길 1 (케이티서천지점),충청남도 서천군 서천읍 사곡리 313,36.08079055,126.6859704,544,527,Y,,,서천군청,2021-07-13
"천산스카이빌아파트지하주차장",공공용,충청남도 서천군 서천읍 서천로143번길 51 (천산스카이빌아파트),충청남도 서천군 서천읍 사곡리 386,36.08228827,126.6838772,10189,12350,Y,,,서천군청,2021-07-13
"서천학생수영장",공공용,충청남도 서천군 장항읍 성주길 6-21 (서천학생수영장),충청남도 서천군 장항읍 창선2리 43-5,36.019214,126.7004233,1168,1416,Y,,,서천군청,2021-07-13
"클래시움아파트 지하주차장",공공용,충청남도 서천군 서천읍 사곡로75번길 6 (서천클래시움아파트),충청남도 서천군 서천읍 사곡리 385,36.08420874,126.6918235,1261.55,1528,Y,,,서천군청,2021-07-13
"청소년문화센터",공공용,충청남도 서천군 서천읍 군청로 16-2,충청남도 서천군 서천읍 군사리 642-139,36.075344,126.6915872,271,327,Y,,,서천군청,2021-07-13
"장항원수 휴먼시아 지하 공동구",공공용,충청남도 서천군 장항읍 장항로 285,충청남도 서천군 장항읍 원수리 907,36.00704812,126.7070404,877,1063,Y,,,서천군청,2021-07-13
"서천사곡 휴먼시아 지하 공동구",공공용,충청남도 서천군 서천읍 사곡로 17 (휴먼시아아파트),충청남도 서천군 서천읍 사곡리 387,36.08530647,126.6855972,1941,2353,Y,,,서천군청,2021-07-13
"신영골든빌아파트",공공용,충청남도 서천군 서천읍 사곡로28번길 8 (신영골든빌아파트),충청남도 서천군 서천읍 사곡리 304-202,36.0831751,126.6852593,1733,2100,Y,,,서천군청,2021-07-13
"국립해양생물자원관",공공용,충청남도 서천군 장항읍 장산로101번길 75 (국립해양생물자원관),,36.01724346,126.6698224,1000,1212,Y,,,서천군청,2021-07-13
