"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"녹산빌딩",공공용,"충청남도 아산시 온천대로 1502-3 (온천동, 피자헛)",충청남도 아산시 온천동 87,36.7808025494,127.0047787227,753.72,913,Y,,,안전총괄과장,2020-09-14
KT,공공용,"충청남도 아산시 충무로 93 (권곡동, KT아산지점)",충청남도 아산시 권곡동 443,36.7893130710,127.0060847000,1408.27,1706,Y,,,안전총괄과장,2020-09-14
"라이프아파트",공공용,"충청남도 아산시 번영로206번길 32 (모종동, 라이프타운)",충청남도 아산시 모종동 578,36.7819034609,127.0121261068,11570.3,14024,Y,,,안전총괄과장,2020-09-14
"인정프린스아파트",공공용,"충청남도 아산시 어의정로183번길 15 (풍기동, 인정프린스아파트)",충청남도 아산시 풍기동 231,36.7768018099,127.0151264961,552.07,668,Y,,,안전총괄과장,2020-09-14
"제일타워",공공용,"충청남도 아산시 시민로 346 (온천동, 제일타워)",충청남도 아산시 온천동 196,36.7796448892,126.9992189799,1302.49,1578,Y,,,안전총괄과장,2020-09-14
"초원아파트",공공용,"충청남도 아산시 고불로 669 (좌부동, 초원설화타운(2단지))",충청남도 아산시 좌부동 84,36.7538666451,127.0305950567,14839.74,17987,Y,,,안전총괄과장,2020-09-14
"벽산아파트",공공용,충청남도 아산시 문화로 33-10 (방축동),충청남도 아산시 방축동 169,36.7889777689,126.9899640418,1996.7,2420,Y,,,안전총괄담당관,2020-09-14
"동아1차아파트",공공용,"충청남도 아산시 온천대로1333번길 7 (방축동, 동아나래1차아파트)",충청남도 아산시 방축동 140,36.7865530025,126.9867241558,2257.86,2736,Y,,,안전총괄과장,2020-09-14
"용화주공3단지아파트",공공용,"충청남도 아산시 온중로 22 (용화동, 주공3차아파트)",충청남도 아산시 용화동 712,36.7728067247,126.9967224041,6611.6,8014,Y,,,안전총괄과장,2020-09-14
"온양관광호텔",공공용,"충청남도 아산시 온천대로 1459 (온천동, 온양관광호텔)",충청남도 아산시 온천동 242,36.7832230404,126.9994451273,14092.63,17082,Y,,,안전총괄과장,2020-09-14
