"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"한전예산지점",공공용,충청남도 예산군 예산읍 금오대로 151,충청남도 예산군 예산읍 산성리 87-6,36.688683,126.8430537,548,452,Y,지하실,,충청남도 예산군청,2021-05-25
KT예산지사,공공용,충청남도 예산군 예산읍 예산로 122 KT,충청남도 예산군 예산읍 예산리 722-15,36.67834914,126.8386534,698,575,Y,지하실,,충청남도 예산군청,2021-05-25
"서오APT101동",공공용,충청남도 예산군 예산읍 역전로 150-6 101동,충청남도 예산군 예산읍 산성리 705,36.692308,126.8309885,1044,861,Y,지하실,,충청남도 예산군청,2021-05-25
"서오APT102동",공공용,충청남도 예산군 예산읍 역전로 150-6 102동,충청남도 예산군 예산읍 산성리 705,36.69190734,126.8310442,810,668,Y,지하실,,충청남도 예산군청,2021-05-25
"서오2차APT201동",공공용,충청남도 예산군 예산읍 역전로 150-13 서오2차아파트 201동,충청남도 예산군 예산읍 산성리 711,36.69229888,126.832319,693,571,Y,지하실,,충청남도 예산군청,2021-05-25
"서오2차APT202동",공공용,충청남도 예산군 예산읍 역전로 150-13 서오2차아파트 202동,충청남도 예산군 예산읍 산성리 711,36.691861,126.832125,605,499,Y,지하실,,충청남도 예산군청,2021-05-25
"한신APT301동(서오백송)",공공용,충청남도 예산군 예산읍 역전로160번길 16 서오백송아파트 301동,충청남도 예산군 예산읍 산성리 710,36.69329146,126.8316706,632,521,Y,지하실,,충청남도 예산군청,2021-05-25
"한신APT302동(서오백송)",공공용,충청남도 예산군 예산읍 역전로160번길 16 서오백송아파트 302동,충청남도 예산군 예산읍 산성리 710,36.69284762,126.8316464,817,674,Y,지하실,,충청남도 예산군청,2021-05-25
"한신APT303동(서오백송)",공공용,충청남도 예산군 예산읍 역전로160번길 16 서오백송아파트 303동,충청남도 예산군 예산읍 산성리 710,36.692825,126.832581,408,336,Y,지하실,,충청남도 예산군청,2021-05-25
"한신APT304동(서오백송)",공공용,충청남도 예산군 예산읍 역전로160번길 16 서오백송아파트 304동,충청남도 예산군 예산읍 산성리 710,36.69325889,126.8325351,530,437,Y,지하실,,충청남도 예산군청,2021-05-25
"한신APT지하주차장(P1.P2)",공공용,충청남도 예산군 예산읍 역전로 160번길 16,충청남도 예산군 예산읍 산성리 710,36.69305365,126.8323677,3690,3044,Y,주차장,,충청남도 예산군청,2021-05-25
"신례원현대APT2동",공공용,충청남도 예산군 예산읍 창신로 55,충청남도 예산군 예산읍 신례원리 582,36.72252557,126.8383417,585,482,Y,지하실,,충청남도 예산군청,2021-05-25
"신례원현대APT3동",공공용,충청남도 예산군 예산읍 창신로 55 신례원현대아파트 104동,충청남도 예산군 예산읍 신례원리 582,36.72247254,126.8384437,708,584,Y,지하실,,충청남도 예산군청,2021-05-25
"신례원현대APT4동",공공용,충청남도 예산군 예산읍 창신로 55 신례원현대아파트 104동,충청남도 예산군 예산읍 신례원리 582,36.72252557,126.8383417,537,443,Y,지하실,,충청남도 예산군청,2021-05-25
"신례원현대APT5동",공공용,충청남도 예산군 예산읍 아리랑로144번길 19 능금마을신성아파트 102동,충청남도 예산군 예산읍 예산리 12,36.722531,126.8383417,447,368,Y,지하실,,충청남도 예산군청,2021-05-25
"(능금마을)신성APT101동",공공용,충청남도 예산군 예산읍 아리랑로144번길 19 능금마을신성아파트 101동,충청남도 예산군 예산읍 예산리 12,36.68520974,126.8442893,560,462,Y,지하실,,충청남도 예산군청,2021-05-25
"(능금마을)신성APT102동",공공용,충청남도 예산군 예산읍 아리랑로144번길 19 능금마을신성아파트 102동,충청남도 예산군 예산읍 예산리 12,36.68493549,126.844743,269,221,Y,지하실,,충청남도 예산군청,2021-05-25
"(능금마을)신성APT103동",공공용,충청남도 예산군 예산읍 아리랑로144번길 19 능금마을신성아파트 103동,충청남도 예산군 예산읍 예산리 12,36.68469598,126.8442008,508,419,Y,지하실,,충청남도 예산군청,2021-05-25
"(능금마을)신성APT104동",공공용,충청남도 예산군 예산읍 아리랑로144번길 19 능금마을신성아파트 104동,충청남도 예산군 예산읍 예산리 12,36.68439477,126.8447105,508,419,Y,지하실,,충청남도 예산군청,2021-05-25
"(능금마을)신성APT105동",공공용,충청남도 예산군 예산읍 아리랑로144번길 19 능금마을신성아파트 105동,충청남도 예산군 예산읍 예산리 12,36.68418244,126.8442802,560,462,Y,지하실,,충청남도 예산군청,2021-05-25
"석탑APT지하주차장(P-1)",공공용,충청남도 예산군 예산읍 아리랑로 43,충청남도 예산군 예산읍 주교리 179-1,36.68670039,126.8337633,3898,3215,Y,주차장,,충청남도 예산군청,2021-05-25
"까치마을APT지하주차장(P-2)",공공용,충청남도 예산군 예산읍 아리랑로 43,충청남도 예산군 예산읍 주교리 179-1,36.68668375,126.8347535,3933,3244,Y,주차장,,충청남도 예산군청,2021-05-25
"하나은행",공공용,충청남도 예산군 예산읍 예산로 200,충청남도 예산군 예산읍 예산리 438-6,36.67950271,126.846919,403,332,Y,주차장,,충청남도 예산군청,2021-05-25
"국민은행예산지점",공공용,충청남도 예산군 예산읍 예산로 201,충청남도 예산군 예산읍 예산리 526-3,36.67998218,126.8469849,563,464,Y,주차장,,충청남도 예산군청,2021-05-25
"세광엔리치타워아파트(P1,P2)",공공용,충청남도 예산군 예산읍 아리랑로 93-8,충청남도 예산군 예산읍 산성리 95-1,36.68757725,126.8407265,8097,6680,Y,주차장,,충청남도 예산군청,2021-05-25
"발연계룡리슈빌아파트(P1,P2)",공공용,충청남도 예산군 예산읍 벚꽃로155번길 36,충청남도 예산군 예산읍 발연리 253-1,36.6960384,126.8322046,6475,5341,Y,주차장,,충청남도 예산군청,2021-05-25
"아름채아파트(P1)",공공용,충청남도 예산군 예산읍 창신로 51-7 아름채 아파트 101동,충청남도 예산군 예산읍 신례원리 589,36.723589,126.838175,3484,2874,Y,주차장,,충청남도 예산군청,2021-05-25
"산성주공아파트(P1,P2)",공공용,충청남도 예산군 예산읍 아리랑로 77-4,충청남도 예산군 예산읍 산성리 103-1,36.68772092,126.838673,3236,2669,Y,주차장,,충청남도 예산군청,2021-05-25
"남선APT",공공용,충청남도 예산군 삽교읍 두리학교길 28,충청남도 예산군 삽교읍 두리 550-4,36.68701264,126.7448869,1608,1326,Y,주차장,,충청남도 예산군청,2021-05-25
"봉림APT",공공용,충청남도 예산군 삽교읍 삽교로 131-7,충청남도 예산군 삽교읍 두리 563-6,36.686578,126.742858,513,423,Y,지하실,,충청남도 예산군청,2021-05-25
"양우APT",공공용,충청남도 예산군 삽교읍 두리3길 29,충청남도 예산군 삽교읍 두리 575-8,36.687894,126.738764,257,212,Y,지하실,,충청남도 예산군청,2021-05-25
"우방유쉘아파트(P1,P2)",공공용,충청남도 예산군 예산읍 벚꽃로 175-17 예산우방유쉘아파트 105동,충청남도 예산군 예산읍 발연리 90-1,36.69532219,126.8355631,7109,5864,Y,주차장,,충청남도 예산군청,2021-05-25
"써니밸리아파트",공공용,충청남도 예산군 덕산면 덕산온천로 413-26,충청남도 예산군 덕산면 읍내리 200-1,36.70401427,126.6650995,2642.6,2180,Y,주차장,,충청남도 예산군청,2021-05-25
