"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"부영1단지아파트",공공용,충청남도 천안시 동남구 목천읍 삼성5길 42 (부영아파트),충청남도 천안시 동남구 목천읍 9번지 12호,36.453237,127.1772494997,1990,2412,Y,,,천안시 동남구청,2020-12-15
"부영2단지아파트",공공용,충청남도 천안시 동남구 목천읍 삼성5길 41 (원앙마을 부영아파트),충청남도 천안시 동남구 목천읍 9번지 6호,36.454237,127.103716,1990,2412,Y,,,천안시 동남구청,2020-12-15
"신도브래뉴2차아파트",공공용,충청남도 천안시 동남구 목천읍 목천안터2길 19 (신도브래뉴2차아파트),충청남도 천안시 동남구 목천읍 166번지 36호,36.464001,127.2112000997,16648,20179,Y,,,천안시 동남구청,2020-12-15
"농협은행 대흥동지점 앞",공공용,충청남도 천안시 동남구 영성로 103 (문화동),충청남도 천안시 동남구 문화동 61번지 3호,36.482989,127.090017,2047,2481,Y,,,천안시 동남구청,2020-12-15
"병천면 신세계아파트",공공용,충청남도 천안시 동남구 병천면 병천2로 86 (신세계아파트),충청남도 천안시 동남구 병천면 43번지 5호,36.7677205938,127.181952,756,916,Y,,,천안시 동남구청,2020-12-15
"아우내아파트",공공용,충청남도 천안시 동남구 병천면 아우내장터1길 7 (아우내아파트),충청남도 천안시 동남구 병천면 308번지,36.453778,127.174288,475,575,Y,,,천안시 동남구청,2020-12-15
"레이크팰리스아파트",공공용,충청남도 천안시 동남구 병천면 충절로 1896 (레이크펠리스),충청남도 천안시 동남구 병천면 109번지 1호,36.455304,127.185767,2901,3516,Y,,,천안시 동남구청,2020-12-15
"봉명청솔3차아파트",공공용,"충청남도 천안시 동남구 봉서8길 13 (봉명동, 청솔3차아파트)",충청남도 천안시 동남구 봉명동 494번지,36.483922,127.075649,8202,9941,Y,,,천안시 동남구청,2020-12-15
"북면 중앙아파트",공공용,충청남도 천안시 동남구 북면 충절로 1456 (중앙아파트),충청남도 천안시 동남구 북면 91번지 6호,36.461272,127.160589,3064,3713,Y,,,천안시 동남구청,2020-12-15
"천안예술의전당",공공용,충청남도 천안시 동남구 성남면 종합휴양지로 185 (천안예술의전당),충청남도 천안시 동남구 성남면 710번지,36.452157,127.133269,2073,2512,Y,,,천안시 동남구청,2020-12-15
