"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"문화체육센터",공공용,충청남도 청양군 청양읍 칠갑산로 221 (청양군문화체육센타),충청남도 청양군 청양읍 읍내리 191-5,36.45158546,126.8011264,717.36,868,Y,문화체육시설,041-940-2453,청양군청,2020-12-21
"청양농협",공공용,충청남도 청양군 청양읍 칠갑산로 220 (청양농협회관),충청남도 청양군 청양읍 읍내리 187-10,36.45101522,126.800704,449,544,Y,창고,041-940-2453,청양군청,2020-12-21
"원향빌딩",공공용,충청남도 청양군 청양읍 중앙로9길 7,충청남도 청양군 청양읍 읍내리 197-4,36.4513615,126.8022158,826.45,1000,Y,볼링장,041-940-2453,청양군청,2020-12-21
"우체국",공공용,충청남도 청양군 청양읍 칠갑산로 249 (청양우체국),충청남도 청양군 청양읍 읍내리 174-1,36.45115817,126.8043133,244.63,296,Y,주차장,041-940-2453,청양군청,2020-12-21
"천강아파트",공공용,충청남도 청양군 청양읍 청산로 29 (천강아파트),충청남도 청양군 청양읍 읍내리 377-5,36.44536307,126.8028466,2466.13,2989,Y,주차장,041-940-2453,청양군청,2020-12-21
"세아아파트",공공용,충청남도 청양군 청양읍 중앙로 80-1 (세아아파트),충청남도 청양군 청양읍 읍내리 376- 8,36.44621752,126.8029337,1133.89,1374,Y,주차장,041-940-2453,청양군청,2020-12-21
"장안아파트",공공용,충청남도 청양군 청양읍 청산로 35 (장안아파트),충청남도 청양군 청양읍 읍내리 376-11,36.4462868,126.803432,1196.7,1450,Y,주차장,041-940-2453,청양군청,2020-12-21
"청양감리교회",공공용,충청남도 청양군 청양읍 중앙로12길 43 (청양교회),충청남도 청양군 청양읍 읍내리 29-4,36.4529766,126.8078248,762,923,Y,주차장,041-940-2453,청양군청,2020-12-21
"청양군청",공공용,충청남도 청양군 청양읍 문화예술로 222 (청양군청),충청남도 청양군 청양읍 송방리 100,36.45824167,126.802341,1242,1505,Y,창고,041-940-2453,청양군청,2020-12-21
"청양복지타운",공공용,충청남도 청양군 청양읍 칠갑산로9길 32,충청남도 청양군 청양읍 읍내리 14-1,36.4533356,126.8066593,681.03,825,Y,창고,041-940-2453,청양군청,2020-12-21
