"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"충청남도 태안군청",공공용,충청남도 태안군 태안읍 군청로 1,충청남도 태안군 태안읍 남문리 90,36.74591739,126.2984035403,724,878,Y,주차장,041-670-2114,충청남도 태안군청,2020-12-01
"태안도서관",공공용,충청남도 태안군 태안읍 원이로 20,충청남도 태안군 태안읍 남문리 417-2,36.7595928,126.2906723,279,338,Y,주차장,041-673-1369,태안도서관,2020-12-01
"진흥아파트",공공용,충청남도 태안군 태안읍 군청10길 14,충청남도 태안군 태안읍 남문리 90-10,36.74641294,126.2968527,5684,6890,Y,아파트 지하주차장,041-673-2061,진흥아파트,2020-12-01
"주공아파트",공공용,충청남도 태안군 태안읍 동문7길 20,충청남도 태안군 태안읍 동문리 92-1,36.7480133,126.307301,1983,2404,Y,아파트 지하주차장,041-674-6068,주공아파트,2020-12-01
"평천휴먼시아아파트",공공용,충청남도 태안군 태안읍 동평로 42,충청남도 태안군 태안읍 동문리 59-1,36.75089079,126.309305,3345,4055,Y,아파트 지하주차장,041-672-3471,평천휴먼시아아파트,2020-12-01
"태안남문코아루아파트",공공용,충청남도 태안군 태안읍 후곡로 16,충청남도 태안군 태안읍 남문리 787,36.75111864,126.2953541,11326,2064,Y,아파트 지하주차장,041-673-9888,태안남문코아루아파트,2020-12-01
"새빛마을아파트",공공용,충청남도 태안군 태안읍 동평로 16,충청남도 태안군 태안읍 동문리 932,36.74678428,126.3091752,19828,2952,Y,아파트 지하주차장,041-674-2301,새빛마을아파트,2020-12-01
"태안교육지원청",공공용,충청남도 태안군 태안읍 원이로 28,충청남도 태안군 태안읍 남문리 387-4,36.76046349,126.2908785,331,401,Y,주차장,041-670-8282,태안교육지원청,2020-12-01
"한주아파트",공공용,충청남도 태안군 태안읍 백화로 136,충청남도 태안군 태안읍 동문리 386-2,36.755393,126.3050535,942,1142,Y,아파트 지하주차장,041-675-5329,한주아파트,2020-12-01
"초원아파트",공공용,충청남도 태안군 태안읍 한양길 61-28,충청남도 태안군 태안읍 동문리 410-1,36.75663518,126.3023901,1147,1390,Y,아파트 지하주차장,041-675-5329,초원아파트,2020-12-01
"태안읍사무소",공공용,충청남도 태안군 태안읍 백화로 54,충청남도 태안군 태안읍 남문리 300-6,36.7576285,126.2963108,608,737,Y,주차장,041-670-2611,태안읍사무소,2020-12-01
"충청남도 태안군청소년수련관",공공용,충청남도 태안군 태안읍 백화로 199,충청남도 태안군 태안읍 동문리 4-2,36.75642098,126.3132958,362,439,Y,주차장,041-670-2490,충청남도 태안군청소년수련관,2020-12-01
