"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"괴산군청",정부지원,"충청북도 괴산군 괴산읍 임꺽정로 90, 괴산군청",충청북도 괴산군 괴산읍 서부리 125,36.8157489764,127.7875330237,694,841,Y,,,괴산군청,2021-06-28
"태광아파트",공공용,"충청북도 괴산군 괴산읍 읍내로4길 51, 101동",충청북도 괴산군 괴산읍 서부리 277-5,36.8080791891,127.7885267720,2390,2897,Y,,,태광아파트,2021-06-28
"두진백로 아파트",공공용,충청북도 괴산군 괴산읍 읍내로 111-1,충청북도 괴산군 괴산읍 대사리 177-1,36.79828443,127.7821167,1907,2311,Y,,,두진백로 아파트,2021-06-28
"문무아파트 1단지",공공용,,충청북도 괴산군 괴산읍 서부리 902,36.80095898,127.7891235,3273,3967,Y,,,문무아파트 1단지,2021-06-28
"문무아파트 2단지",공공용,,충청북도 괴산군 괴산읍 대덕리 557,36.82222167,127.8033575,4410,5345,Y,,,문무아파트 2단지,2021-06-28
"칠성면사무소",정부지원,충청북도 괴산군 칠성면 도정로 61,,36.78813245,127.8636186,25,30,Y,,,칠성면사무소,2021-06-28
"괴산읍사무소",정부지원,충청북도 괴산군 괴산읍 읍내로 13길 50,,36.81185074,127.7906627,397,481,Y,,,괴산읍사무소,2021-06-28
"보건소",정부지원,충청북도 괴산군 괴산읍 동진천길 43,,36.80799723,127.7966873,706,855,Y,,,보건소,2021-06-28
"괴산농협",공공용,충청북도 괴산군 괴산읍 읍내로 16길 19,,36.81005319,127.7974999,1772,2147,Y,,,괴산농협,2021-06-28
"동부주공아파트",공공용,충청북도 괴산군 괴산읍 남산1길 25,,36.80512719,127.7940712,2000,2424,Y,,,동부주공아파트,2021-06-28
