"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"보은군청",공공용,충청북도 보은군 보은읍 군청길 38,충청북도 보은군 보은읍 이평리 45,36.48970363,127.7297482,225,273,y,지하창고,043-540-3487,보은군청,2021-05-06
"보은교육지원청",공공용,충청북도 보은군 보은읍 장신로 26,충청북도 보은군 보은읍 장신리 32-1,36.48125282,127.7134337,306,371,y,지하창고,043-540-5514,보은교육지원청,2021-05-06
"동진아파트",공공용,충청북도 보은군 보은읍 보은로 235,충청북도 보은군 보은읍 교사리 174-6,36.49523868,127.7170129,590,715,y,지하주차장,043-540-3487,보은군청,2021-05-06
"보은교회",공공용,충청북도 보은군 보은읍 보은로 136,충청북도 보은군 보은읍 삼산리 151-1,36.48617495,127.7185229,158,192,y,지하창고,043-542-1973,보은교회,2021-05-06
"거성아파트",공공용,충청북도 보은군 보은읍 남부로 4515,충청북도 보은군 보은읍 교사리 35-5,36.48592561,127.7210159,612,720,y,지하주차장,043-540-3487,보은군청,2021-05-06
"보은중앙교회",공공용,충청북도 보은군 보은읍 보청대로 1899,충청북도 보은군 보은읍 교사리 88-7,36.48831186,127.716824,187,226,y,지하창고,043-543-6447,보은중앙교회,2021-05-06
"에스엠아파트",공공용,충청북도 보은군 보은읍 향교1길 8,충청북도 보은군 보은읍 교사리 402-3,36.48854794,127.712905,208,252,y,지하주차장,043-540-3487,보은군청,2021-05-06
"보은국토관리사무소",공공용,충청북도 보은군 보은읍 장신로 54,충청북도 보은군 보은읍 장신리 135-2,36.48102841,127.7093564,76,92,y,지하창고,043-540-2371,보은국토관리사무소,2021-05-06
"로얄팔레스",공공용,충청북도 보은군 보은읍 뱃들로 29,충청북도 보은군 보은읍 이평리 132-1,36.48809073,127.7259731,869,1053,y,지하창고,043-540-3487,보은군청,2021-05-06
"신한헤센아파트",공공용,충청북도 보은군 보은읍 보청대로 1966,충청북도 보은군 보은읍 장신리 183,36.48525929,127.7107162,9774,11847,y,지하주차장,043-544-8188,신한헤센아파트,2021-05-06
"보은군공공실버주택",공공용,충청북도 보은군 보은읍 군청길 110-17,충청북도 보은군 보은읍 이평리 152-6,36.485641,127.723431,742,899,y,지하주차장,043-540-3487,보은군청,2021-05-06
