"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"영동군청",공공용,충북 영동군 영동읍 동정로 1,충북 영동군 영동읍 계산리 210-1,,,247.5,300,y,구내식당,043-740-3913,영동군청,2020-12-09
"영동경찰서",공공용,충북 영동군 영동읍 영산로 32,충북 영동군 영동읍 계산리 473-1,,,165,200,y,주차장,043-740-5221,영동경찰서,2020-12-09
"영산타워",공공용,충북 영동군 영동읍 영산로 48,충북 영동군 영동읍 계산리 445-3,,,412.5,500,y,주차장,043-744-2025,영산타워 관리사무소,2020-12-09
"현대아파트 주차장",공공용,충북 영동군 영동읍 동정로 39-27,충북 영동군 영동읍 동정리 68-1,,,1322,1602,y,주차장,043-743-3960,현대아파트 관리사무소,2020-12-09
"서한감고을아파트",공공용,충북 영동군 영동읍 기골로 7,충북 영동군 영동읍 계산리 213-1,,,1812,2196,y,주차장,043-743-0116,서한감고을아파트 관리사무소,2020-12-09
"조한아파트",공공용,충북 영동군 영동읍 새심길 18,충북 영동군 영동읍 매천리 81-1,,,2412,2923,y,주차장,043-744-8228,조한아파트 관리사무소,2020-12-09
"더웰아파트1차",공공용,충북 영동군 영동읍 상부용로 7-50,충북 영동군 영동읍 부용리 417,,,1662,2014,y,주차장,043-742-2500,더웰아파트1차 관리사무소,2020-12-09
"더웰아파트2차",공공용,충북 영동군 영동읍 상부용로 20,충북 영동군 영동읍 부용리 416-1,,,2931,3552,y,주차장,043-744-5990,더웰아파트2차 관리사무소,2020-12-09
"남성대아파트",공공용,충북 영동군 영동읍 학산영동로 1216,충북 영동군 영동읍 부용리 27,,,8000,9696,y,주차장,043-742-0544,남성대아파트 관리사무소,2020-12-09
"이든팰리스",공공용,충북 영동군 영동읍 동정로 56-12,충북 영동군 영동읍 동정리 93,,,1885,2284,y,주차장,043-745-4330,이든팰리스 관리사무소,2020-12-09
