"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"마암현대아파트 비상대피시설",공공용,충청북도 옥천군 옥천읍 성암1길 30,충청북도 옥천군 옥천읍 삼양리 174,36.29551375,127.5704995,321,389,N,회의및 교육장,043-730-3046,충청북도 옥천군청,2021-05-27
"가화현대아파트 비상대피시설",공공용,충청북도 옥천군 옥천읍 가화3길 18,충청북도 옥천군 옥천읍 문정리 439,36.304179,127.560977,627,760,Y,기타,043-730-6612,충청북도 옥천군청,2021-05-27
"옥천군청 비상대피시설",공공용,충청북도 옥천군 옥천읍 중앙로 99,충청북도 옥천군 옥천읍 죽향리 153-2,36.306228,127.5718112,1749,2083,Y,지하주차장,043-730-3046,충청북도 옥천군청,2021-05-27
"옥천읍사무소  비상대피시설",공공용,충청북도 옥천군 옥천읍 동부로 15,충청북도 옥천군 옥천읍 문정리 374,36.307271,127.574891,1462,1772,Y,지하주차장,043-730-3046,충청북도 옥천군청,2021-05-27
"옥향아파트 비상대피시설",공공용,충청북도 옥천군 옥천읍 성왕로 1274,충청북도 옥천군 옥천읍 문정리 376,36.31650152,127.5787757,2247,2723,Y,지하주차장,043-730-3046,충청북도 옥천군청,2021-05-27
"문정주공아파트 2단지 비상대피시설",공공용,충청북도 옥천군 옥천읍 문장로2길 9,충청북도 옥천군 옥천읍 문정리 467-5,36.30288528,127.5768102,2452,2972,Y,지하주차장,043-730-3046,충청북도 옥천군청,2021-05-27
"문정주공아파트 3단지 비상대피시설",공공용,충청북도 옥천군 옥천읍 문장로2길 10,충청북도 옥천군 옥천읍 마암리 16,36.30182933,127.5772299,1828,2215,N,기타,043-730-3046,충청북도 옥천군청,2021-05-27
"진달래아파트 비상대피시설",공공용,충청북도 옥천군 옥천읍 관성로1길 18,충청북도 옥천군 옥천읍 금구리 235-1,36.3032818,127.572958,2491,3019,N,기타,043-730-3046,충청북도 옥천군청,2021-05-27
"장야주공아파트 1단지 비상대피시설",공공용,충청북도 옥천군 옥천읍 장야2길 6,충청북도 옥천군 옥천읍 장야리 313,36.2966219,127.5769466,6198,7512,N,기타,043-730-3046,충청북도 옥천군청,2021-05-27
"다산금빛아파트 비상대피시설",공공용,충청북도 옥천군 옥천읍 가화3길 6,충청북도 옥천군 옥천읍 금구리 235-25,36.30409852,127.5624745,1538,1864,Y,지하주차장,043-730-3046,충청북도 옥천군청,2021-05-27
"하늘빛아파트  비상대피시설",공공용,충청북도 옥천군 옥천읍 동부로 16,충청북도 옥천군 옥천읍 문정리 430-1,36.30569707,127.5744427,6500,7878,Y,지하주차장,043-730-3046,충청북도 옥천군청,2021-05-27
