"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"삼보아파트",공공용,충청북도 음성군 음성읍 시장로 45,충청북도 음성군 음성읍 읍내리 350-1,36.93153547,127.6934268,3688,4470,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"유수장미아파트",공공용,충청북도 음성군 금왕읍 무극로 243,충청북도 음성군 금왕읍 무극리 503,36.99192482,127.5887116,5777,7002,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"주공1차아파트",공공용,충청북도 음성군 금왕읍 대금로 1457-7,충청북도 음성군 금왕읍 무극리 34-1,36.9889164,127.5935454,2151,2607,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"신천 휴먼시아 아파트",공공용,충청북도 음성군 음성읍 중앙로40번길16,충청북도 음성군 음성읍 신천리 1058,36.92718298,127.6913133,2943,3567,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"금광포란재아파트",공공용,충청북도 음성군 음성읍 반기문로45-15,충청북도 음성군 음성읍 신천리 149,36.91997918,127.6880027,9985,12103,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"금왕 주공3차아파트",공공용,충청북도 음성군 금왕읍 무극로324번길 15,충청북도 음성군 금왕읍 무극리 93,36.99359474,127.5985739,2459,2980,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"두진하트리움3차아파트",공공용,충청북도 음성군 금왕읍 대금로 1458-5,충청북도 음성군 금왕읍 금석리 340-7,36.98807256,127.5943521,7728,9367,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"덕일한마음아파트",공공용,충청북도 음성군 감곡면 음성로 2650-22,충청북도 음성군 감곡면 오향리 568,37.11147384,127.6448679,2313,2803,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"음성금석LH아파트",공공용,충청북도 음성군 금왕읍 대금로 1557-13,충청북도 음성군 금왕읍 금석리 467,36.99101821,127.6020314,10233,12403,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
LH이노밸리아파트,공공용,충청북도 음성군 맹동면 학예로 55,충청북도 음성군 맹동면 동성리 246,36.91403324,127.5430909,25705,31157,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
LH쌍용예가아파트,공공용,충청북도 음성군 맹동면 사예로 20,충청북도 음성군 맹동면 동성리445,36.91101982,127.5407624,23808,28858,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"천년나무1단지아파트",공공용,충청북도 음성군 맹동면 이수로 31,충청북도 음성군 맹동면 동성리 228,36.9149942,127.5449695,10577,12820,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"대소두진하트리움아파트",공공용,충청북도 음성군 대소면 대금로 552-12,충청북도 음성군 대소면 태생리 756,36.96556241,127.4991549,1612,1953,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"음성삼성휴먼시아아파트",공공용,충청북도 음성군 삼성면 덕정로 29-7,충청북도 음성군 삼성면 덕정리 1507,37.01880416,127.494208,2869,3477,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"음성감곡휴먼시아아파트",공공용,충청북도 음성군 감곡면 오향로 31,충청북도 음성군 감곡면 오향리 1181,37.10965288,127.645685,1888,2288,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"지평더웰아파트",공공용,충청북도 음성군 음성읍 설성공원길 23-7,충청북도 음성군 음성읍 읍내리 950,36.93194589,127.6897939,7247,8784,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"영무예다음3차아파트",공공용,충청북도 음성군 맹동면 장성1길 9,충청북도 음성군 맹동면 동성리 523,36.91050998,127.5371501,27907,33826,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"음성지평더웰2차아파트",공공용,충청북도 음성군 음성읍 설성공원길 33-9,충청북도 음성군 음성읍 읍내리 951,36.93290212,127.6896049,3718,4506,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"대소부영아파트",공공용,충청북도 음성군 대소면 대청로 17,충청북도 음성군 대소면 대풍리 621,36.99154056,127.4499887,4385,5315,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"대소웰메이드타운",공공용,충청북도 음성군 대소면 대화1길 44-8,충청북도 음성군 대소면 태생리 765,36.96396501,127.4958791,10884,13192,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"금왕시티프라디움",공공용,충청북도 음성군 금왕읍 대금로 1557-14,충청북도 음성군 금왕읍 금석리 482,36.9923599140,127.6046533687,23794,28841,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
"음성군청 지하",공공용,충청북도 음성군 음성읍 중앙로 173,충청북도 음성군 음성읍 읍내리 621-1,36.9402813205,127.6905138005,221.62,268,Y,지하,043-871-3263,충청북도 음성군,2020-12-22
"이안음성대소아파트",공공용,충청북도 음성군 대소면 대금로 686-1,충청북도 음성군 대소면 소석리 626,36.9695200807,127.5120523298,20182,24463,Y,주차장,043-871-3263,충청북도 음성군,2020-12-22
