"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"교동두진아파트",공공용,"충청북도 제천시 독순로23길 19(교동, 두진아파트)",충청북도 제천시 교동 1,37.13782269,128.2203583,1857,2247,Y,지하주차장,043-641-4365,충청북도 제천시청,2020-12-19
"장락주공1단지아파트",공공용,"충청북도 제천시 죽하로 30(장락동, 장락주공아파트1단지)",충청북도 제천시 장락동 1029,37.15516552,128.2255674,4827,5839,Y,지하주차장,043-641-4365,충청북도 제천시청,2020-12-19
"장락주공2단지아파트",공공용,"충청북도 제천시 죽하로 48(장락동, 장락주공아파트2단지)",충청북도 제천시 장락동 1026,37.15557728,128.2254795,1967,2383,Y,지하주차장,043-641-4365,충청북도 제천시청,2020-12-19
"롯데캐슬아파트",공공용,"충청북도 제천시 신축하로 83-24(장락동, 장락롯데캐슬)",충청북도 제천시 장락동 1046,37.15924578,128.2220265,7345,8903,Y,지하주차장,043-641-4365,충청북도 제천시청,2020-12-19
"파라디아아파트",공공용,"충청북도 제천시 내토로57길 19(장락동, 파라디아아파트)",충청북도 제천시 장락동 325,37.14896213,128.2239095,5984,7253,Y,지하주차장,043-641-4365,충청북도 제천시청,2020-12-19
"장락로즈웰아파트",공공용,"충청북도 제천시 장락로 169(장락동, 로즈웰아파트)",충청북도 제천시 장락동 536,37.15774194,128.2263069,1517,1836,Y,지하주차장,043-641-4365,충청북도 제천시청,2020-12-19
"장락e-편한세상아파트",공공용,"충청북도 제천시 장락로 62(장락동, 장락e-편한세상)",충청북도 제천시 장락동 678,37.1474164,128.2231186,6557,7947,Y,지하주차장,043-641-4365,충청북도 제천시청,2020-12-19
"모산로즈웰아파트",공공용,"충청북도 제천시 신죽하로 165(모산동, 로즈웰아파트)",충청북도 제천시 모산동 543,37.16003798,128.2119165,1898,2300,Y,지하주차장,043-641-4403,충청북도 제천시청,2020-12-19
"보미파란채아파트",공공용,"충청북도 제천시 용두천로46길 12(고암동, 보미파란채)",충청북도 제천시 고암동 1254,37.15792614,128.218583,5870,7115,Y,지하주차장,043-641-4403,충청북도 제천시청,2020-12-19
"유안타증권",공공용,충청북도 제천시 의림대로 167(의림동),충청북도 제천시 의림동 7,37.1425133,128.2126497,1227,1336,Y,지하주차장,043-641-4426,충청북도 제천시청,2020-12-19
"제천시민회관",공공용,"충청북도 제천시 의림대로 125(중앙로2가, 제천시민회관)",충청북도 제천시 중앙로2가 26,37.13923285,128.2107742,330,400,Y,"회의,교육장",043-641-4426,충청북도 제천시청,2020-12-19
"농협중앙회제천시지부",공공용,"충청북도 제천시 풍양로 92(명동, 농협중앙회제천시지부)",충청북도 제천시 명동 1,37.13746463,128.2099357,545,660,Y,지하주차장,043-641-4426,충청북도 제천시청,2020-12-19
"한국전력공사제천지점",공공용,"충청북도 제천시 풍양로 57(의림동, 한국전력제천지점)",충청북도 제천시 의림동 117,37.13930026,128.2066382,1448,1756,Y,지하주차장,043-641-4426,충청북도 제천시청,2020-12-19
"건양빌딩",공공용,충청북도 제천시 독순로 64(중앙로2가),충청북도 제천시 중앙로2가 29,37.13902992,128.2101767,194,235,Y,지하주차장,043-641-4426,충청북도 제천시청,2020-12-19
"동현현대아파트",공공용,"충청북도 제천시 독순로 140(동현동, 현대아파트)",충청북도 제천시 동현동 2,37.1362581,128.2186495,677,820,Y,지하주차장,043-641-4457,충청북도 제천시청,2020-12-19
"서울병원",공공용,충청북도 제천시 숭문로 57(서부동),충청북도 제천시 서부동 177,37.13873644,128.2064402,206,250,Y,병원,043-641-4494,충청북도 제천시청,2020-12-19
"제천역지하도",공공용,충청북도 제천시 의림대로 1(영천동),충청북도 제천시 영천동 1381,37.12845259,128.2041118,132,160,Y,지하도,043-641-4494,충청북도 제천시청,2020-12-19
"제천시청",공공용,충청북도 제천시 내토로 295(천남동),충청북도 제천시 천남동 12,37.13301301,128.1914992,490,594,Y,지하식당,043-641-4494,충청북도 제천시청,2020-12-19
"코아루아파트",공공용,"충청북도 제천시 원뜰로 14(천남동, 코아루아파트)",충청북도 제천시 천남동 9,37.13161544,128.1953574,6340,7684,Y,지하주차장,043-641-4494,충청북도 제천시청,2020-12-19
"고암두진백로아파트",공공용,"충청북도 제천시 용두천로 384(고암동, 고암두진백로아파트)",충청북도 제천시 고암동 1101,37.15924183,128.2192616,5445,6600,Y,지하주차장,043-641-4403,충청북도 제천시청,2020-12-19
"휴먼시아아파트",공공용,"충청북도 제천시 청풍호로7길 20(영천동, 휴먼시아1단지아파트)",충청북도 제천시 영천동 2227,37.12471179,128.2058664,5400,6545,Y,지하주차장,043-641-4494,충청북도 제천시청,2020-12-19
"세명대학교",공공용,"충청북도 제천시 세명로 65(신월동, 세명대학교)",충청북도 제천시 신월동 579,37.17380696,128.196148,992,1202,Y,강의실,043-641-4524,충청북도 제천시청,2020-12-19
"대원대학교",공공용,"충청북도 제천시 대학로 316(신월동, 대원대학)",충청북도 제천시 신월동 599,37.17579528,128.1905314,754,914,Y,식당,043-641-4524,충청북도 제천시청,2020-12-19
