"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"증평군청",공공용,충청북도 증평군 증평읍 광장로 88,충청북도 증평군 증평읍 창동리 100,36.78537913,127.5815198,350,424,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"삼일무지개A",공공용,충청북도 증평군 증평읍 진지내6길 20,충청북도 증평군 증평읍 증천리 436,36.78347097,127.5929967,895,1084,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"삼일A",공공용,충청북도 증평군 증평읍 장뜰로 110,충청북도 증평군 증평읍 장동리 255,36.78700268,127.5874533,3109,3768,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"지평더웰A",공공용,충청북도 증평군 증평읍 송산로 11,충청북도 증평군 증평읍 송산리 721,36.78916215,127.5729179,7000,8484,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"파라디아1차A",공공용,충청북도 증평군 증평읍 충청대로 1746,충청북도 증평군 증평읍 창동리 822,36.78562051,127.5789569,7400,8969,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"파라디아2차A",공공용,충청북도 증평군 증평읍 창신로 8-1,충청북도 증평군 증평읍 초중리 45-4,36.78335409,127.5737613,2403,2912,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"한라비발디A",공공용,충청북도 증평군 증평읍 초중6길 8,충청북도 증평군 증평읍 초중리 533-1,36.77560174,127.5690666,7300,8848,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"휴먼시아1단지A",공공용,충청북도 증평군 증평읍 송산로 35,충청북도 증평군 증평읍 송산리 720,36.78955566,127.5744315,3580,4339,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"동진A",공공용,충청북도 증평군 증평읍 삼일로5길 4,충청북도 증평군 증평읍 증평리 378,36.78064744,127.5838746,1136,1376,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"휴먼시아2단지A",공공용,충청북도 증평군 증평읍 송산로 53,충청북도 증평군 증평읍 송산리 717,36.79025507,127.5766169,4063,4924,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"대성베르힐A",공공용,충청북도 증평군 증평읍 북부두름길 80,충청북도 증평군 증평읍 장동리 930,36.78928811,127.5888815,8000,9696,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"천년나무3단지A",공공용,충청북도 증평군 증평읍 송산로4길 14,충청북도 증평군 증평읍 송산리 820-1,36.79172487,127.5834867,2414,2926,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
"대광로제비앙A",공공용,충청북도 증평군 증평읍 송산로 105,충청북도 증평군 증평읍 송산리 762,36.79304719,127.5799398,23589,28592,Y,지하주차장 및 대피소,043-835-4722,증평군청,2021-05-28
