"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"영무2차아파트",공공용,충청북도 진천군 덕산읍 대하로 195,충청북도 진천군 덕산읍 두촌리 2456,36.9063201,127.5397963,19639,23804,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"천년나무7단지아파트",공공용,충청북도 진천군 덕산읍 연미로 131,충청북도 진천군 덕산읍 두촌리 2402,36.90586892,127.5296267,19634,23798,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"천년나무4단지아파트",공공용,충청북도 진천군 덕산읍 연미로 87,충청북도 진천군 덕산읍 두촌리 2494,36.90403822,127.528243,24612,29832,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"진천군청",공공용,충청북도 진천군 진천읍 상산로 13,충청북도 진천군 진천읍 읍내리 463,36.8553694,127.4356936,862,1045,Y,대피시설,043-539-3692,충청북도 진천군,2021-03-03
"터미널 지하대피소",공공용,충청북도 진천군 진천읍 중앙북1길 3,충청북도 진천군 진천읍 벽암리 569,36.85963968,127.4383951,1322,1602,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"진도쇼핑 지하주차장",공공용,충청북도 진천군 진천읍 중앙동로 91,충청북도 진천군 진천읍 읍내리 136,36.85794917,127.4442345,714,865,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"우주동백3차 아파트 지하주차장",공공용,충청북도 진천군 진천읍 덕금로 55,충청북도 진천군 진천읍 성석리 327,36.86628529,127.4549323,2060,2497,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"교성주공아파트 지하주차장",공공용,충청북도 진천군 진천읍 중앙서로 89,충청북도 진천군 진천읍 교성리 144,36.85148989,127.4413894,7934,9617,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"우주동백2차 아파트 지하 비상대피시설",공공용,충청북도 진천군 진천읍 장관2길 153,충청북도 진천군 진천읍 장관리 3-1,36.87065167,127.4392072,1322,1602,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"진천읍사무소",공공용,충청북도 진천군 진천읍 상산로 65,충청북도 진천군 진천읍 읍내리 370-1,36.85498297,127.441275,165,200,Y,대피시설,043-539-3692,충청북도 진천군,2021-03-03
"덕산읍사무소",공공용,충청북도 진천군 덕산읍 덕금로 829,충청북도 진천군 덕산읍 용?리 637,36.91373821,127.5091993,120,145,Y,대피시설,043-539-3692,충청북도 진천군,2021-03-03
"이월면사무소",공공용,충청북도 진천군 이월면 진광로 729,충청북도 진천군 이월면 노원리 683-4,36.9258027,127.4284088,89,108,Y,대피시설,043-539-3692,충청북도 진천군,2021-03-03
"광혜원면사무소",공공용,충청북도 진천군 광혜원면 화랑길 86,충청북도 진천군 광혜원면 광혜원리 542-10,36.99347623,127.4358202,275,333,Y,대피시설,043-539-3692,충청북도 진천군,2021-03-03
"영화블렌하임아파트",공공용,충청북도 진천군 진천읍 농다리로 1422,충청북도 진천군 진천읍 신정리 377-2,36.84755242,127.4570412,2560,3103,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"남해오네뜨아파트",공공용,충청북도 진천군 진천읍 장관2길 159,충청북도 진천군 진천읍 장관리 2-1,36.87205292,127.4400474,5490,6655,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"벽암휴먼시아",공공용,충청북도 진천군 진천읍 문화로 237-19,충청북도 진천군 진천읍 벽암리 581,36.86095606,127.437205,3289,3987,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"광혜원코아루아파트",공공용,충청북도 진천군 광혜원면 구암길 11,충청북도 진천군 광혜원면 광혜원리 1085,36.99063401,127.4368599,10435,12648,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"대명루첸아파트",공공용,충청북도 진천군 진천읍 문화2길 36,충청북도 진천군 진천읍 교성리 616,36.85200976,127.4459941,45672,55360,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"부영1차아파트",공공용,충청북도 진천군 진천읍 장관2길 139,충청북도 진천군 진천읍 장관리 884,36.87195027,127.437954,13336,16164,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"부영2차아파트",공공용,충청북도 진천군 진천읍 진광로 97-13,충청북도 진천군 진천읍 장관리 880,36.8736409,127.4398569,16241,19686,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"지안스필유아파트",공공용,충청북도 진천군 진천읍 대촌1길 16,충청북도 진천군 진천읍 성석리 976,36.86233648,127.4469109,3517,4263,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"영무1차아파트",공공용,충청북도 진천군 덕산읍 대하로 87,충청북도 진천군 덕산읍 두촌리 2718,36.90234751,127.5304282,26572,32208,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
"우미린스테이아파트",공공용,충청북도 진천군 덕산읍 대하로 150,충청북도 진천군 덕산읍 두촌리 3147,36.90385935,127.5364886,5326,6456,Y,지하주차장,043-539-3692,충청북도 진천군,2021-03-03
