"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"상당지하도1",공공용,"충청북도 청주시 상당구 사직대로 지하 370-5, 대현프리몰 (영동)",,36.6368769098,127.4885329686,264,185,Y,,043-201-5015,청주시 상당구청,2020-07-17
ABL생명빌딩,공공용,충청북도 청주시 상당구 교서로 1 (영동),,36.6369021555,127.4858853674,621,434,Y,,043-201-5015,청주시 상당구청,2020-07-17
"대현지하상가",공공용,"충청북도 청주시 상당구 사직대로 지하 367-1 (영동, 대현프리몰)",,36.6369432927,127.4881666369,1454,1017,Y,,043-201-5015,청주시 상당구청,2020-07-17
"현대아파트 지하주차장",공공용,"충청북도 청주시 상당구 탑동로 78 (탑동, 현대아파트)",,36.6319863156,127.5022275310,1498,1048,Y,,043-201-5015,청주시 상당구청,2020-07-17
"우성아파트 103동 지하주차장",공공용,충청북도 청주시 상당구 용담로63번길 33 (대성동),,36.6330275404,127.4997700277,825,577,Y,,043-201-5015,청주시 상당구청,2020-07-17
"우성아파트 108동 지하주차장",공공용,"충청북도 청주시 상당구 용담로63번길 33 (대성동, 우성아파트)",,36.6330275404,127.4997700277,825,577,Y,,043-201-5015,청주시 상당구청,2020-07-17
"삼진화랑아파트(102동 옆 지하주차장)",공공용,충청북도 청주시 상당구 영운천로83번길 25 (영운동),,36.6202019839,127.5059116952,1162.33,813,Y,,043-201-5015,청주시 상당구청,2020-07-17
"미림아파트(103동 옆 지하주차장)",공공용,충청북도 청주시 상당구 수영로101번길 49 (영운동),,36.6178430802,127.4951245240,589.68,412,Y,,043-201-5015,청주시 상당구청,2020-07-17
"장미아파트(나동 옆 지하주차장)",공공용,"충청북도 청주시 상당구 꽃산서로8번길 15 (금천동, 장미아파트)",,36.6248705595,127.5057409702,495,346,Y,,043-201-5015,청주시 상당구청,2020-07-17
"삼일아파트(102동,103동 지하주차장)",공공용,충청북도 청주시 상당구 수영로 136 (영운동),,36.6167214462,127.5004517328,1818.18,1271,Y,,043-201-5015,청주시 상당구청,2020-07-17
"두산하이츠타운아파트(지하주차장)",공공용,"충청북도 청주시 상당구 단재로95번길 40 (영운동, 두산하이츠타운)",,36.6210423356,127.4989548287,585.85,410,Y,,043-201-5015,청주시 상당구청,2020-07-17
"경희아파트(101동 앞 지하주차장)",공공용,충청북도 청주시 상당구 꽃산동로 4-2 (금천동),,36.6266484348,127.5089276860,1118,782,Y,,043-201-5015,청주시 상당구청,2020-07-17
"수정아파트(101동 옆 지하주차장 )",공공용,충청북도 청주시 상당구 꽃산동로 40 (금천동),,36.6232046937,127.5075724579,1100,769,Y,,043-201-5015,청주시 상당구청,2020-07-17
"뉴타운아파트(104동,105동사이 지하주차장)",공공용,충청북도 청주시 상당구 꽃산동로 41 (금천동),,36.6221812505,127.5083617130,2435,1703,Y,,043-201-5015,청주시 상당구청,2020-07-17
"덕성아파트(지하주차장)",공공용,"충청북도 청주시 상당구 꽃산동로 15-1 (금천동, 덕성아파트)",,36.6247312413,127.5096752978,705,493,Y,,043-201-5015,청주시 상당구청,2020-07-17
"한화생명보험(주)",공공용,"충청북도 청주시 상당구 상당로 195 (북문로3가, 한화생명빌딩)",,36.6457992597,127.4891216102,4446,3109,Y,,043-201-5015,청주시 상당구청,2020-07-17
"용암지하도",공공용,충청북도 청주시 상당구 1순환로 1265 (용암동),,36.6091302975,127.5055800542,336,235,Y,,043-201-5015,청주시 상당구청,2020-07-17
"현대1차아파트",공공용,"충청북도 청주시 상당구 월평로 189 (용암동, 용암현대1차아파트)",,36.6105719131,127.5064747311,871,609,Y,,043-201-5015,청주시 상당구청,2020-07-17
"현대2차아파트",공공용,"충청북도 청주시 상당구 원봉로 41 (용암동, 용암현대2차아파트)",,36.6129389995,127.5092668137,1039,727,Y,,043-201-5015,청주시 상당구청,2020-07-17
"세원아파트(지하주차장 )",공공용,충청북도 청주시 상당구 무농정로 90 (용암동),,36.6093841890,127.5111257201,3234,2262,Y,,043-201-5015,청주시 상당구청,2020-07-17
"소라아파트(104동 106동 사이 주차장)",공공용,"충청북도 청주시 상당구 원봉로 21 (용암동, 용암소라아파트)",,36.6121224120,127.5097264419,1659,1160,Y,,043-201-5015,청주시 상당구청,2020-07-17
"형석아파트(105동 106동 사이 주차장)",공공용,"충청북도 청주시 상당구 월평로 207 (용암동, 용암형석아파트)",,36.6087934566,127.5076568431,1419,992,Y,,043-201-5015,청주시 상당구청,2020-07-17
"효성아파트(101~103동 사이 주차장)",공공용,"충청북도 청주시 상당구 월평로 221 (용암동, 효성아파트)",,36.6084164622,127.5081551152,1603,1121,Y,,043-201-5015,청주시 상당구청,2020-07-17
"중앙상가아파트 남동",공공용,"충청북도 청주시 상당구 중앙로 18 (북문로2가, 중앙상가 아파트)",,36.6388277514,127.4892161880,850,594,Y,,043-201-5015,청주시 상당구청,2020-07-17
"태암수정아파트(101동 앞 지하주차장)",공공용,충청북도 청주시 상당구 영운천로51번길 26 (영운동),,36.6185289016,127.5043491517,5815,4066,Y,,043-201-5015,청주시 상당구청,2020-07-17
"신라송림아파트(지하주차장)",공공용,충청북도 청주시 상당구 단재로77번길 21-22 (영운동),,36.6227406037,127.4971010549,6379,4461,Y,,043-201-5015,청주시 상당구청,2020-07-17
"한진신세대아파트(지하주차장)",공공용,충청북도 청주시 상당구 영운천로119번길 7 (영운동),,36.6207094278,127.5103240370,3325.44,2325,Y,,043-201-5015,청주시 상당구청,2020-07-17
"현대3차아파트",공공용,"충청북도 청주시 상당구 중흥로 70 (용암동, 용암현대3차아파트)",,36.6112557803,127.5041587109,1716,1200,Y,,043-201-5015,청주시 상당구청,2020-07-17
"태산아파트(103동 105동 사이 주차장)",공공용,"충청북도 청주시 상당구 원봉로 20 (용암동, 태산그린아파트)",,36.6136332652,127.5112789568,1947,1362,Y,,043-201-5015,청주시 상당구청,2020-07-17
"덕성아파트(105동 맞은편 주차장)",공공용,"충청북도 청주시 상당구 용암로 3 (용암동, 덕성그린타운)",,36.6093990739,127.5093329573,1633,1142,Y,,043-201-5015,청주시 상당구청,2020-07-17
"현대아파트(1103동 1104동 사이 주차장)",공공용,"충청북도 청주시 상당구 용암로 23 (용암동, 현대홈타운)",,36.6108052804,127.5083853985,1625,1136,Y,,043-201-5015,청주시 상당구청,2020-07-17
"모드니아파트",공공용,"충청북도 청주시 상당구 용담로105번길 70 (용담동, 용담모드니아파트)",,36.6366417889,127.5008846728,372,260,Y,,043-201-5015,청주시 상당구청,2020-07-17
"임광아파트",공공용,"충청북도 청주시 상당구 용암로 35 (용암동, 용암임광아파트)",,36.6115579477,127.5068522805,924,646,Y,,043-201-5015,청주시 상당구청,2020-07-17
"부영아파트(101~103동 사이 주차장)",공공용,충청북도 청주시 상당구 월평로 243 (용암동),,36.6073022697,127.5107766683,2060,1441,Y,,043-201-5015,청주시 상당구청,2020-07-17
"청주시청(후관)",공공용,"충청북도 청주시 상당구 상당로 155 (북문로3가, 청주시청)",,36.6416121644,127.4896721331,1187,830,Y,,043-201-5015,청주시 상당구청,2020-07-17
"상당지하도2",공공용,충청북도 청주시 상당구 상당로91번길 2 (북문로1가),,36.6364849365,127.4900645765,264,185,Y,,043-201-5015,청주시 상당구청,2020-07-17
"충북도청",공공용,"충청북도 청주시 상당구 상당로 82 (문화동, 충청북도청)",,36.6353871605,127.4914262030,825,577,Y,,043-201-5015,청주시 상당구청,2020-07-17
"청주시청 제2청사",공공용,"충청북도 청주시 상당구 상당로69번길 38, 청주시청 제2청사 (북문로1가)",,36.6346498187,127.4884115699,489,342,Y,,043-201-5015,청주시 상당구청,2020-07-17
"홈플러스",공공용,충청북도 청주시 상당구 사직대로 346 (서문동),,36.6360158146,127.4857948240,1650,1154,Y,,043-201-5015,청주시 상당구청,2020-07-17
"효성아파트(101동 옆 지하주차장)",공공용,충청북도 청주시 상당구 수영로 204 (금천동),,36.6224461581,127.5036994386,1633,1142,Y,,043-201-5015,청주시 상당구청,2020-07-17
"장자마을현대아파트(정문 옆 지하주차장)",공공용,"충청북도 청주시 상당구 수영로 328 (금천동, 장자마을현대아파트)",,36.6326270076,127.5092353384,2098,1467,Y,,043-201-5015,청주시 상당구청,2020-07-17
"장자마을부영7단지(702,706동사이지하주차장)",공공용,"충청북도 청주시 상당구 중고개로 288 (금천동, 장자마을7단지부영아파트)",,36.6288124576,127.5086199237,2395,1675,Y,,043-201-5015,청주시 상당구청,2020-07-17
"장자마을부영5단지아파트(504동,505동사이 주차장)",공공용,"충청북도 청주시 상당구 수영로 306 (금천동, 장자마을5단지부영아파트)",,36.6314884947,127.5074255297,1710,1196,Y,,043-201-5015,청주시 상당구청,2020-07-17
"장자마을부영9단지아파트(903동 뒤 지하주차장)",공공용,"충청북도 청주시 상당구 중고개로 286 (금천동, 장자마을9단지부영아파트)",,36.6286239121,127.5097232899,2100,1469,Y,,043-201-5015,청주시 상당구청,2020-07-17
"장자마을부영10단지(1003,1005동사이 지하주차장)",공공용,"충청북도 청주시 상당구 호미로233번길 74 (금천동, 장자마을부영아파트)",,36.6276365186,127.5105083366,1600,1119,Y,,043-201-5015,청주시 상당구청,2020-07-17
"장자마을부영8단지(정문 좌측 지하주차장)",공공용,"충청북도 청주시 상당구 호미로 261 (금천동, 장자마을부영아파트)",,36.6289604872,127.5102487427,2392,1673,Y,,043-201-5015,청주시 상당구청,2020-07-17
"가좌마을 부영2단지아파트",공공용,"충청북도 청주시 상당구 호미로 329 (용담동, 가좌마을2단지부영아파트)",,36.6357954608,127.5083706339,2640,1846,Y,,043-201-5015,청주시 상당구청,2020-07-17
"가좌마을부영5단지아파트",공공용,"충청북도 청주시 상당구 산성로116번길 23 (용담동, 가좌마을5단지부영아파트)",,36.6329377132,127.5056818763,1442,1008,Y,,043-201-5015,청주시 상당구청,2020-07-17
"건영아파트",공공용,"충청북도 청주시 상당구 중흥로 71 (용암동, 건영아파트)",,36.6119960868,127.5038326666,3451,2413,Y,,043-201-5015,청주시 상당구청,2020-07-17
"금천동주민센터(지하 1층)",공공용,"충청북도 청주시 상당구 쇠내로 50 (금천동, 금천동주민센터)",,36.6244249954,127.4994282867,158.4,111,Y,,043-201-5015,청주시 상당구청,2020-07-17
"세영첼시빌아파트",공공용,"충청북도 청주시 상당구 수영로 327 (용담동, 가좌마을용담세영첼시빌)",,36.6331385089,127.5093147341,1874,1310,Y,,043-201-5015,청주시 상당구청,2020-07-17
"가좌마을용담e-편한세상아파트",공공용,"충청북도 청주시 상당구 호미로 330 (용담동, 가좌마을용담이-편한세상)",,36.6357576135,127.5096361022,1228,859,Y,,043-201-5015,청주시 상당구청,2020-07-17
"가좌마을 부영e그린타운아파트",공공용,"충청북도 청주시 상당구 호미로 317 (용담동, 가좌마을부영그린타운1차)",,36.6344543094,127.5092786699,1247,872,Y,,043-201-5015,청주시 상당구청,2020-07-17
"용암1동 주민센터",공공용,충청북도 청주시 상당구 중흥로 29 (용암동),,36.6088384673,127.5012815720,752,526,Y,,043-201-5015,청주시 상당구청,2020-07-17
