"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"주덕(백남진달래아파트)",공공용,충청북도 충주시 주덕읍 장터뒷길 48 (백남진달래아파트),충청북도 충주시 주덕읍 신양리 179-2,36.97512761,127.801306,254,601,Y,지하주차장,043-848-8501,아파트관리실,2021-06-30
"대소원(코아루퍼스트아파트)",공공용,충청북도 충주시 대소원면 첨단산업4로 24,충청북도 충주시 대소원면 본리 645,36.98749612,127.8288082,2388,2894,Y,지하주차장,043-850-8248,대소원면사무소,2021-06-30
"중앙탑(e편한세상아파트)",공공용,충청북도 충주시 중앙탑면 원앙9길 15,충청북도 충주시 중앙탑면 용전리 661,37.01571511,127.8259187707,5762,6984,Y,지하주차장,043-850-6282,중앙탑면사무소,2021-06-30
"중앙탑(충주시티자이아파트)",공공용,충청북도 충주시 중앙탑면 원앙4길 51,충청북도 충주시 중앙탑면 용전리 721,37.016941,127.8304853,6320,7661,Y,지하주차장,043-850-6282,중앙탑면사무소,2021-06-30
"성내충인(현대쇼핑타운)",공공용,"충청북도 충주시 성서1길 50 (성서동, 성서동현대아파트)",충청북도 충주시 성서동 163,36.97158363,127.9309089,2805,3400,Y,지하주차장,043-850-2435,성내충인동,2021-06-30
"엘리시아@",공공용,"충청북도 충주시 국원초1길 48 (안림동, 충주엘리시아아파트)",충청북도 충주시 안림동 1166,36.98037088,127.9441205,1310,1588,Y,지하주차장,043-850-8974,교현안림동,2021-06-30
"중흥S클레스@",공공용,충청북도 충주시 금봉8길 23 (교현동),충청북도 충주시 교현동 1358,36.96787081,127.9414821,1703,2064,Y,지하주차장,043-850-8974,교현안림동,2021-06-30
"교현안림(안림LG아파트)",공공용,충청북도 충주시 금봉대로 397 (안림동),충청북도 충주시 안림동 1119,36.96997998,127.9459281,1802,2184,Y,지하주차장,043-850-8974,교현안림동,2021-06-30
"교현안림(푸르지오2차아파트)",공공용,충청북도 충주시 봉현로 366,충청북도 충주시 안림동 1171,36.9763912,127.9432941,3267,3960,Y,지하주차장,043-850-8975,교현안림동,2021-06-30
"교현안림(안림LH천년나무1단지)",공공용,충청북도 충주시 봉현로 365,충청북도 충주시 안림동 1167,36.97767993,127.9453046,8793,10658,Y,지하주차장,043-850-8976,교현안림동,2021-06-30
"안림동 보성꿈에본 아파트",공공용,충청북도 충주시 금봉대로 425 (안림동),충청북도 충주시 안림동 1051,36.97262428,127.946031,1027,1245,Y,지하주차장,043-850-8974,교현안림동,2021-06-30
"신원아침도시@",공공용,"충청북도 충주시 만리산10길 15 (안림동, 아침도시아파트)",충청북도 충주시 안림동 1083-3,36.9715002708,127.9439435,802,972,Y,지하주차장,043-850-8974,교현안림동,2021-06-30
"교현2(청주지방검찰청충주지청)",공공용,"충청북도 충주시 계명대로 101 (교현동, 청주지방검찰청충주지청)",충청북도 충주시 교현동 720-2,36.98315869,127.9255913,281,340,Y,휴게실(탁구장),043-850-2457,교현2동,2021-06-30
"교현2(성원아파트)",공공용,"충청북도 충주시 삼원로 163 (교현동, 성원임대아파트)",충청북도 충주시 교현동 1309,36.98008231,127.9239952,1188,1440,Y,주차장,043-850-2457,교현2동,2021-06-30
"남산동일하이빌아파트",공공용,"충청북도 충주시 염밭로 22 (용산동, 남산동일하이빌)",충청북도 충주시 용산동 2627,36.95998347,127.9444109393,2208,2676,Y,주차장,043-850-8372,용산동,2021-06-30
"용산(용산주공3단지)",공공용,"충청북도 충주시 남산로 114(용산동, 용산주공3단지)",충청북도 충주시 용산동 1680,36.96114009,127.9466766,6849,8302,Y,주차장,043-850-8373,용산동,2021-06-30
"용산(용산주공2단지)",공공용,"충청북도 충주시 남산로 125 (용산동, 용산주공(2)단지아파트)",충청북도 충주시 용산동 1678,36.962947,127.945983,2574,3120,Y,주차장,043-850-8374,용산동,2021-06-30
"용산(영진아파트)",공공용,"충청북도 충주시 용산로 33 (용산동, 영진보람아파트)",충청북도 충주시 용산동 335,36.96649914,127.9371892,2079,2520,Y,주차장,043-850-8375,용산동,2021-06-30
"금빛마을",공공용,충청북도 충주시 청운로 50 (지현동),충청북도 충주시 지현동 1017,36.96483056,127.9293714,1620,1963,Y,주차장,043-850-2474,지현동,2021-06-30
"문화동 호수마을아파트",공공용,"충청북도 충주시 사직로 114 (문화동, 호수마을아파트)",충청북도 충주시 문화동 2305,36.966783,127.924717,1287,1463,Y,주차장,043-850-2486,문화동,2021-06-30
"문화동(럭키아파트)",공공용,"충청북도 충주시 중원대로 3379 (문화동, 럭키문화아파트)",충청북도 충주시 문화동 2274,36.968558,127.9216636,2680,3248,Y,주차장,043-850-2486,문화동,2021-06-30
"호암(예성세경아파트)",공공용,"충청북도 충주시 신촌3길 21 (호암동, 예성세경아파트)",충청북도 충주시 호암동 542-18,36.95958713,127.9302014,2033,2464,Y,지하주차장,043-850-8904,호암직동주민센터,2021-06-30
"호암(현대호반아파트)",공공용,"충청북도 충주시 신촌2길 29 (호암동, 현대호반아파트)",충청북도 충주시 호암동 547-6,36.96027335,127.9291004,1234,1496,Y,지하주차장,043-850-8904,호암직동주민센터,2021-06-30
"호암(진도아파트)",공공용,"충청북도 충주시 호암중앙2로 27 (호암동, 진도아파트)",충청북도 충주시 호암동 135,36.95579823,127.9399233,538,652,Y,지하주차장,043-850-8904,호암직동주민센터,2021-06-30
"호암(부강아파트)",공공용,"충청북도 충주시 호암중앙2로 31 (호암동, 부강아파트)",충청북도 충주시 호암동 152,36.95599324,127.9403299,1030,1248,Y,지하주차장,043-850-8904,호암직동주민센터,2021-06-30
"호암(충주호암1단지아파트)",공공용,"충청북도 충주시 호암수청1로 56(호암동, 충주호암1단지아파트)",충청북도 충주시 호암동 1066,36.9554585474,127.9270724942,12193,14780,Y,지하주차장,043-857-8825,호암직동주민센터,2021-06-30
"달천(신한강변APT 지하주차장)",공공용,충청북도 충주시 풍동동막길 50,충청북도 충주시 풍동 408-7,36.93960533,127.8993136,455,552,Y,지하주차장,043-850-2704,달천동,2021-06-30
"충주푸르지오아파트",공공용,"충청북도 충주시 봉계1길 5 (봉방동, 충주푸르지오관리사무소)",충청북도 충주시 봉방동 1046,36.978025,127.912247,23295,28236,Y,지하주차장,043-853-8400,아파트관리사무소,2021-06-30
SJ오피스텔,공공용,"충청북도 충주시 상방5길 11 (봉방동, 에스제이오피스텔)",충청북도 충주시 봉방동 407-4,36.974111,127.910642,560,679,Y,지하주차장,043-845-6700,오피스텔관리사무소,2021-06-30
"봉방(현대자동차)",공공용,"충청북도 충주시 애향로 10 (봉방동, 현대빌딩)",충청북도 충주시 봉방동 408-1,36.97482984,127.9110841,826,1002,Y,지하주차장,043-843-3383,현대자동차,2021-06-30
