facility,cate,addr_load,addr_num,lat,long,area,capacity,openOrnot,normal_use,manage_phone,management,date,region,region2
신사지하철역,공공용,"서울특별시 강남구 도산대로 지하 102 (신사동, 신사역)",서울특별시 강남구 신사동 667,37.51643147,127.0203289,3730.0,4521.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
현대백화점,공공용,서울특별시 강남구 압구정로 165 (현대백화점본점),서울특별시 강남구 압구정동 429,37.5273268,127.0274265,8844.0,10720.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
신사동주민센터,공공용,"서울특별시 강남구 압구정로 128 (신사동, 신사동주민센터)",서울특별시 강남구 신사동 548-1,37.52397421,127.0227971,66.0,80.0,Y,기계실,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
신구초등학교 복합화시설,공공용,"서울특별시 강남구 압구정로18길 28 (신사동, 신구초등학교)",서울특별시 강남구 신사동 550-11,37.5233613,127.0239915,4964.0,6017.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
광림교회 사회봉사관,공공용,"서울특별시 강남구 논현로163길 33 (신사동, 교회)",서울특별시 강남구 신사동 568-2,37.52389436,127.0255797523,12027.0,14578.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
래미안 신사,공공용,"서울특별시 강남구 압구정로2길 20 (신사동, 래미안 신사)",서울특별시 강남구 신사동 506-9,37.52010408,127.0196195,2814.0,3410.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
디아이빌딩,공공용,"서울특별시 강남구 논현로 703 (논현동, DI빌딩)",서울특별시 강남구 논현동 58-6,37.5143895,127.0301238,627.0,760.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
삼주빌딩,공공용,"서울특별시 강남구 강남대로 606 (논현동, 삼주빌딩)",서울특별시 강남구 논현동 1,37.51586927,127.0201568,1617.0,1960.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
논현빌딩,공공용,"서울특별시 강남구 강남대로 556 (논현동, 논현빌딩)",서울특별시 강남구 논현동 50-1,37.51156583,127.0215537,1287.0,1560.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
법무사회관,공공용,"서울특별시 강남구 논현로 651 (논현동, 법무사회관)",서울특별시 강남구 논현동 151-25,37.5117835,127.031281,726.0,880.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
삼익악기빌딩,공공용,"서울특별시 강남구 학동로 171 (논현동, 삼익악기 빌딩)",서울특별시 강남구 논현동 58-3,37.51404727,127.0295491,5452.0,6608.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
건우빌딩,공공용,"서울특별시 강남구 강남대로 548 (논현동, 건우빌딩)",서울특별시 강남구 논현동 120,37.51103598,127.0218883,825.0,1000.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
유현빌딩,공공용,"서울특별시 강남구 논현로 627 (논현동, 유현빌딩)",서울특별시 강남구 논현동 175-10,37.50955953,127.0323568,660.0,800.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
거평타운,공공용,"서울특별시 강남구 봉은사로 129 (논현동, 거평타운)",서울특별시 강남구 논현동 203-1,37.5059169,127.0283154,1815.0,2200.0,Y,"주차장,복도,기타",,서울특별시 강남구청,2021-08-09,서울특별시,강남구
신사역,공공용,"서울특별시 강남구 도산대로 지하 102 (신사동, 신사역)",서울특별시 강남구 신사동 667,37.51643147,127.0203289,3729.0,4520.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
논현1동주민센터,공공용,"서울특별시 강남구 학동로20길 25 (논현동, 논현1동주민센터)",서울특별시 강남구 논현동 133-13,37.51150308,127.0285346,1535.0,1861.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
논현역,공공용,"서울특별시 강남구 학동로 지하 102 (논현동, 논현역)",서울특별시 강남구 논현동 279-67,37.5111982,127.0216576,5997.0,7269.0,Y,지하철승강장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
호텔더 디자이너스리즈 강남프리미어,공공용,"서울특별시 강남구 봉은사로 113 (논현동, 호텔더디자이너스리즈강남프리미어)",서울특별시 강남구 논현동 201-4,37.50526513,127.0258767,921.0,1116.0,Y,"주차장, 기타",,서울특별시 강남구청,2021-08-09,서울특별시,강남구
서울세관,공공용,"서울특별시 강남구 언주로 721 (논현동, 서울세관)",서울특별시 강남구 논현동 71,37.5183005811,127.0337768,5240.0,6352.0,Y,"대피소,식당",,서울특별시 강남구청,2021-08-09,서울특별시,강남구
건설회관,공공용,"서울특별시 강남구 언주로 711 (논현동, 건설회관)",서울특별시 강남구 논현동 71-2,37.5170773891,127.0334263882,4062.0,4924.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
송암빌딩,공공용,"서울특별시 강남구 언주로 709 (논현동, 송암빌딩)",서울특별시 강남구 논현동 84,37.51679206,127.0349299,4010.0,4861.0,Y,주차장,,서울특별시 강남구청,2021-08-09,서울특별시,강남구
